荆芥,防风,独活
当归,川芎,藁本
蝎梢
刘寄奴,威灵仙
地龙
山萸
王不留行
75,酒精
地龙
川断,鹿角霜,伸筋草
桂枝
樟丹
蜈蚣
桂枝,木瓜,干地龙,蜈蚣
桂枝
大豆,白酒
地龙
地龙
淡干姜,蜈蚣
地龙
江米酒
鸡血藤
鸡血藤
鸡血藤
红花,红花
红花,木瓜
芎劳
桂枝
钩藤,蜈蚣,赤芍
鸡血藤
瓜蒌根,红花,桃仁
威灵仙
王不留行,刘寄奴
鸡血藤
桂枝
桂枝,红花,归尾,赤芍
桂枝
桂枝
地龙,威灵仙
茜草,干地龙,五灵脂
赤芍,红花
黄耆,党参,桂枝
桂枝,片姜黄
黄芪,当归,白芍
明矾,蛇床子,白凤仙花,陈米醋
红花
黄芪,赤芍,益母草
桂枝,干地龙,木瓜
归尾,赤芍,片姜黄,伸筋草
赤芍,红花
归尾,红花,透骨草
地龙
红花,钩藤,刘寄奴
当归,丹参,没药
当归,丹参,没药
地龙
赤芍,红花
刘寄奴
威灵仙
透骨草,伸筋草,茜草,刘寄奴
桂枝
桃仁,赤芍
木瓜
金铃子,元胡,黄连,吴萸,香缘皮,煅瓦楞
威灵仙,桃仁
橘络,片姜黄,透骨草
天麻,羌活
羌活,天麻,川芎,天南星,当归
茜草
桂枝
白芍,当归
杭白芍,黄连,蜈蚣
桃仁,益母草
党参
威灵仙
鹿角霜,桃仁
鸡血藤
地龙,威灵仙
白芍,红花
木瓜,锁阳,远志
白芍,黄耆,锁阳,木瓜
瓜蒌根
威灵仙
黄耆,党参,赤芍
地龙
地龙
黄耆,木瓜,鹿角霜
桃仁
黄连,赤芍,红花
白芍,木瓜
茜草,王不留行,木瓜
白芍,大力子
地龙
鹿角霜,水蛭
白芍,当归,党参
乌头
乌梢蛇,桂枝,蜈蚣
威灵仙
威灵仙
党参,干姜
鸡血藤,威灵仙
威灵仙
当归,川芎,乌药,羌活
黄连,桃仁,红花
赤芍,桃仁,桂枝
桃仁,红花,赤芍
桃仁,红花
赤芍,桃仁,红花,牛子,白芥子
蜈蚣,赤芍,木瓜
真辽人参,柿霜饼
野芋头等量
党参
赤芍,红花,白酒
红花,蒲公英,赤芍
党参,黄芪,白芍,蜈蚣
鸡血藤
当归,黄芪
大豆,赤芍,干地龙
威灵仙
赤芍,红花
红花,桃仁
五灵脂,三七
橘络,蒲公英
红花,木瓜,透骨草
鸡血藤
天麻,蝎梢
天麻,羌活,当归
金铃子,赤芍
地龙,鸡血藤
鸡血藤
乌梢蛇
赤芍,桃仁,红花,丝瓜络
地龙,威灵仙
桃仁
桂枝
蚯蚓
桂枝,木瓜
老君髯,白花草
晚蚕沙,赤小豆
桂枝,地龙,五灵脂
鸡血藤
鹿角霜,水蛭
党参,桃仁
桂枝,益母草
芍药,川芎,当归
夜交藤,白糖
木瓜
地龙
赤芍,五味子
5条
当归,没药
桃仁,红花
地龙,威灵仙
鸡血藤,地龙,威灵仙
