麦冬,百部
贝母,杏仁,枇杷叶
杏仁,紫菀,五味子,半夏
半夏,紫苏,麻黄,杏仁,桑白皮
麦冬,五味子,款冬花,紫菀
杏仁,贝母,苏子
川芎,芍药,半夏,贝母
天南星,半夏
天南星,半夏
青粱米
粳米
豆豉,杏仁
柴胡,半夏,生姜
柴胡
柴胡,紫菀,丹砂,马兜铃
贝母,麦冬,款冬花
贝母,蜂蜜
贝母,枇杷叶,白糖,杏仁
贝母,枇杷叶
贝母
贝母,冰糖
诃子,诃子
诃子,诃子
侧耳根,矮茶风,墨旱莲,五味子
贝母,猪脱氧胆酸,人工竺黄
贝母,粳米
粳米,贝母
贝母,紫菀,百部,杏仁
贝母,五味子,款冬花,杏仁
贝母,紫菀,杏仁
贝母
杏仁,紫菀,半夏
百部
百部,杏仁
杏仁,粳米,白糖
麦冬,贝母
河南真绿豆粉,白檀香,白硼砂,玄明粉,柿霜,白粉霜
冰糖
瓜蒌子
半夏,郁李仁
白砂糖
冰糖
檀香,北沙参,拳参,白葡萄干
檀香,北沙参,拳参,白葡萄干
麦冬,天冬,贝母,五味子
百部,乌梅,诃子,花粉,白糖
杏仁,枇杷叶,贝母
麻黄,杏仁,五味子,杏仁
麻黄,五味子
麦冬,贝母,杏仁
马兜铃,杏仁
紫菀,百部,枇杷叶,杏仁
半夏,广皮
贝母,半夏
天冬,麦冬,百部
麦冬,贝母
蜂蜜
五味子,乌梅
半夏
百部
矮地茶,铁包金
杏仁
贝母,五味子,半夏
平地木
地骨皮,半夏,益智,萆薢
萝卜
桂枝,生姜,半夏,杏仁
拣桂,干生姜,红皮
拣桂,干生姜,红皮
诃子,杏仁
诃子
蛤蚧,成炼钟乳,款冬花
半夏,天冬,贝母,杏仁,桑白皮,苏子,蛤蚧
蛤蚧,诃子
白糖
皂角
紫菀25公斤,细辛12,五倍子12,明矾10公斤,猪牙皂角7,甘草7
麻黄,杏仁,桑白皮
麻黄,杏仁,桑白皮
蒌仁,天南星,清夏,元芩,海浮石
天南星,半夏
紫苏,杏仁,半夏,贝母
紫苏,杏仁,半夏,贝母
平地木
橘饼
贝母,半夏,杏仁,款冬花,紫菀
贝母,杏仁,五味子,半夏,紫菀
半夏,杏仁,紫菀,款冬花,贝母,麦冬
粳米
桂心,人参,白术
麦冬
鱼腥草,四季青,麻黄,紫菀
款冬花,百部
杏仁,五味子
麻黄,杏仁,栝楼,半夏
白术,半夏,五味子
五味子,天冬,麦冬,款冬花,贝母,桑白皮
炙桑白皮
百部
石灰华,红景天,榜嘎,高山辣根菜,檀香,洪连
石灰华,红景天,榜嘎,高山辣根菜,檀香,洪连
款冬花,半夏,杏仁,贝母
半夏,五味子,白术,款冬花,紫菀
枇杷叶,五皮半
麻黄,杏仁,紫苏,牛蒡
款冬花,紫菀,五味子,杏仁
粳米
粳米,冰糖
粳米
新鲜白萝卜
贝母,天冬,杏仁,桑白皮,枇杷叶,麦冬
柿饼
桑白皮,清夏,蒌仁,杏仁
半夏,杏仁
大梨
麻黄,杏仁
半夏,杏仁
蜂蜜
杏仁
枇杷叶不拘多少
枇杷叶
粳米
粳米
半夏,贝母,杏仁
贝母,半夏,桑白皮,紫菀,杏仁
麻黄,牛蒡,杏仁
贝母,花粉
贝母,杏仁,鱼腥草,紫菀
麻黄,五味子,半夏
贝母
粳米
苏子,杏仁
桑白皮,杏仁,半夏,贝母
红糖
五味子,紫菀,半夏,款冬花
杏仁,苦梗,苇根
桑白皮
杏仁,贝母
桑白皮,牛蒡,杏仁,贝母
紫菀,款冬花
杏仁
檀香,高山辣根菜,悬钩子茎,野姜,石灰华,诃子,诃子,余甘子
杏仁
皂角,半夏,杏仁
贝母,杏仁,紫菀,五味子
牛蒡,杏仁,贝母
苏子,半夏,栝楼,浮石
紫菀,饴糖
桑白皮,杏仁
沙棘膏,白葡萄干
粳米,冰糖
麦冬,贝母,杏仁
半夏,苏叶,杏仁,桑白皮
地骨皮,桑白皮
苏叶,半夏,生姜,杏仁
半夏,官桂,五味子
杏仁,百部
麻黄,半夏,五味子
麻黄,五味子,半夏
麻黄,半夏,五味子
钩藤,天南星,神曲,麦芽
牛蒡,杏仁
饴糖
麻黄,生姜,半夏
百部,贝母
五味子,天冬,麦冬,贝母
百部,半夏,紫菀,杏仁,贝母
天冬,麦冬,百部,贝母
半夏,罂粟壳
生鸡内金,牛蒡
信砒
款冬花,杏仁,贝母,半夏
紫菀
紫菀,贝母
紫菀,五味子,杏仁
五味子,杏仁
紫苏,半夏,生姜
贝母,款冬花,百部,杏仁
猪肺,食盐味精
贝母
半夏,款冬花,紫菀,麦冬,杏仁
紫菀,百部,五味子
