人参,半夏,白术,芡实,茯苓,薏仁,白芥子,肉桂,诃黎勒,益智
珍珠,水牛角浓缩粉,丹参,冰片,白芍,党参,黄芪,川芎,黄芩,甘松,薄荷,郁金
丹参,腻粉,朱砂,生犀末,脑子,铅白霜,天南星,铁粉,川甜消,金箔,银箔
白矾,天竺黄,天南星,腻粉,丹参,生龙脑,金箔
蛤粉,牙消,朱砂,龙脑,金箔,银箔,丹参
丹参,天南星,天竺黄,琥珀,全蝎,僵蚕,朱砂
丹参,龙脑,天竺黄,朱砂,真珠
麦冬,桔梗,甘草,花粉,陈皮,元参,百部
陈皮,瓜蒌,远志,半夏,贝母
天麻,陈皮,僵蚕,远志,麦门冬,辰砂,半夏,天南星,白附子,郁金,丹参,金箔
米壳,杏仁,紫菀,桔梗,五味子,葶苈,半夏,紫苏,陈皮
紫苏,五味子,陈皮,半夏,杏仁,缩砂仁,桔梗
桔梗,半夏,陈皮,前胡,千葛,茯苓,紫苏,麻黄,杏仁
麦冬,五味子,天冬,款冬花,紫菀,桔梗,牛膝
茯神,远志,陈皮,半夏,杏仁,菖蒲,麦冬,桔梗
琥珀,远志,天麻,花蛇肉,白附子,真珠末,白僵蚕,全蝎,朱砂,金箔,银箔
黑附子,白附子,天南星,白术,茯苓
葛根,金银花,枇杷叶,桑叶,小木通,贝母,甘草,薄荷
陈皮,桔梗,枳实,川芎,芍药,半夏,神曲,山楂,贝母
陈茶叶,粳米
槟榔,术香,砂仁,半夏,丁香,全蝎
菖蒲,远志,山芋,铁粉,麦门冬,天麻,半夏,天南星,白附子,辰砂
川芎,麝香,辰砂,白附子,天麻,天南星,二
川芎,麝香,辰砂,白附子,天麻,天南星
白矾,辰砂,天南星,半夏
神曲,陈皮,白矾,皂角,天南星,半夏
辰砂,天南星,白矾,半夏
辰砂,白矾,天南星,半夏,白附子
草果仁,茯苓,缩砂仁,桔梗,甘草,生姜
茶叶,粳米,白糖
黄连,陈皮,半夏,茯苓,神曲,茱萸,砂仁,甘草
陈皮,半夏,黄连,茯苓,茱萸
沉香,石斛,茯苓,菟丝子,山芋,麦门冬,肉苁蓉,五味子,百合,陈皮,枸杞,巴戟天,柏子仁,牛膝
柴胡,陈皮,半夏,甘草,生姜
芍药,柴胡,黄连,半夏,桔梗,夏枯草,贝母,黄芩
柴胡,黄芩,半夏,甘草,赤芍,红花,薄荷,苏叶,山栀
贝母,麻黄,葶苈,蜂蜜
贝母,枇杷叶,桔梗,白糖,柠檬酸5厘,薄荷5厘,苯甲酸,尼泊金,杏仁,杨梅香精
贝母,桔梗,枇杷叶,薄荷
贝母,杏仁,蜂蜜
川芎,钩藤,菊花,薏仁,白蔻,半夏,赤芍,牛膝
川芎,龙脑,薄荷,七十五,两细辛,二十,桔梗,甘草,三十
川芎,薄荷,细辛,150克,780克,3,12千克,1,09千克
吃力伽,光明砂,诃梨勒皮,香附,沉香,丁子香,安息香,白檀香,犀角,熏陆香,苏合香,脑香
贝母,猪脱氧胆酸,沉香,人工竺黄,青礞石,硼砂
贝母,粳米,冰糖
粳米,砂糖,贝母
贝母,瓜蒌,花粉,茯苓,陈皮,桔梗
贝母,紫菀,五味子,百部,杏仁
贝母,五味子,款冬花,知母,杏仁
贝母,百合,杏仁,茯苓,麻黄,石膏,柴胡
贝母,桔梗,紫菀,杏仁
桑白皮,地黄,人参,紫菀,黄耆,五味子
黄芪,川芎,远志,菖蒲,茯神,当归,杭白芍,半夏,胆南星
黄芪,桔梗,杏仁,紫菀,百合,半夏
白檀,荆芥,薄荷,栝楼,甘草,盐,缩砂仁
薄荷,川芎,三,缩砂仁,桔梗,甘草,四
薄荷,川芎,桔梗,缩砂仁,甘草
薄荷,川芎,桔梗,甘草,缩砂仁
荆芥,盐,鸡苏叶,瓜蒌根十,缩砂仁,甘草
荆芥,盐,鸡苏叶,瓜蒌根,缩砂仁,甘草
缩砂仁,瓜蒌根,甘草,鸡苏叶,荆芥,盐
百部,麻黄,杏仁
象牙末,丹参5厘,黄连,熊胆,梅片,人参,珍珠,朱砂,象皮,麝香5厘
麻黄,生山栀,五爪红,葶苈,杏仁,五味子,制桑白皮,清夏,石膏,紫菀,制覆花
贝母,柴胡,上肉桂,巴豆,真麝香,冰片,神金,辰砂
当归,白芍,桔梗,元参,贝母,麦冬,百合
百合,麦冬,贝母,当归,白芍,桔梗,甘草
雷丸末,甘遂末,牵牛,龙脑,粉霜,轻粉
石膏,贝母,桑叶,连翘,牛蒡,板蓝根,银花,麦冬,黄芩
茯苓,人参,麦门冬,枣仁,甘草,朱砂,生龙脑
白矾,地黄,知母,贝母
半夏,白术,人参,甘草,干姜
天南星,白僵蚕,地龙干,全蝎
茯苓,远志,辰砂,天麻,菖蒲,川芎,天南星,麝1字
琥珀,天竺黄,檀香,枳实,辰砂,天南星,金箔
琥珀,辰砂,胆南星,僵蚕,全蝎,丹参,天竺黄
郁金,天竺黄,雄黄,白矾
半夏,枳实,石膏,杏仁,茶叶,麻黄,瓜蒌霜,生姜
紫苏,贝母,桔梗,天南星,陈皮,杏仁,青黛,花粉,山楂,丹参
黄芩,天南星,半复
黑附子,半夏,生姜
半夏,茯苓,苍术,厚朴,广皮,甘草
半夏,瓜萎仁,贝母,桔梗,枳亮,知母
半夏,杏仁
半夏,茯苓,陈皮,芍药,旋复花,芎藭,桔梗,生姜
升麻,柴胡,藁本,茯苓,神曲,半夏,生姜,甘草
