苦楝皮
牛蒡
地肤子
白鲜皮
威灵仙,白鲜皮
威灵仙,白鲜皮
蛇床子
轻粉
自然铜
酒精
枯矾
蛇床子
白蔹面
威灵仙,苦参,全虫,白鲜皮
炉甘石
蛇床子
苏叶
全虫,米醋
蛇床子
槿皮
槿皮
炉甘石
冰片
凡士林
芥菜花1味
白花蛇
丹皮,黑参
大黄粉
黄柏
蛇床子
槿皮
枯矾
丹参
枯矾
雄黄
槿皮
蛇床子
苦参,白鲜皮,地肤子
轻粉
蛇床子
枯矾
冰片,黄柏
轻粉
马齿苋
五倍子末
新米糠
蛇床子
炉甘石
胡椒
橄榄核
凡士林
氧化锌
白蔹
凡士林
蜂蜜
五倍子末
轻粉
蛇床子
蛇床子
黄精,皂矾,醋
黄精,皂矾,醋
威灵仙,牛蒡
红花,赤芍
红信,棉子油
干胭脂粉,片脑
威灵仙,苦参
槐角
丹参,水银
冰片
蛇床子
扁蓄
轻粉
苦参,细辛,乌蛇
浮萍,牛蒡
牛蒡
枯矾,冰片
枯矾
荆芥,桃仁
水银
斑蝥虫,江子,文火化开,将药放入,炸枯,滤清
川椒
白鲜皮
白藓皮,丹皮
白鲜皮,黄连
苦参,威灵仙,白鲜皮
蛇床子
蛇床子
凡士林
黄柏,轻粉
苦参,百部
蛇床子
蛇床子
氧化锌
糠馏油
糠焦油,液化酚
白鲜皮
苦参,威灵仙
胆草
水银
蛇床子
丹参
丹参
丹参
地肤子,白鲜皮
炉甘石
浮萍
浮萍,白藓皮
浮萍,白鲜皮
马齿苋
黄柏
螵蛸,冰片
乌梢蛇,白鲜皮
荆芥,赤芍,丹皮
荆芥,苦参
瓦松,马齿苋
水银
水银
蛇床子
蛇床子
百部,土荆皮,枫子肉
轻粉
地肤子,白酒
凡士林
白酒
五倍子末
牛蒡
黄柏,苦参等量
冰片
蛇床子
蜈蚣
金环蛇,乌梢蛇,钻地风,75度纯粮酒
蝉衣,防风,银花
僵虫,丹参
枯矾,水银,枫子肉
蛇床子
轻粉
牛蒡
蛇床子
苦参
蛇床子
蛇床子
水银
地肤子,乌梢蛇
蛇床子
轻粉,冰片
防风,蝉衣
防风,荆芥,桃仁
苦参,明矾,枯矾,枫子肉,水银
苦参
苦参,白藓皮,地肤子
桃仁,皂刺,山甲
