雄黄,冰片
山栀仁,郁金,牛黄
朱砂,冰片,胆南星
黄酒
绿豆粉
薄荷,连翘
白酒
地龙
水牛角浓缩粉,珍珠,冰片
水牛角浓缩粉,珍珠,冰片
郁金,犀角
大青叶,板蓝根,败酱草
土茯苓,丹皮,金银花,连翘,地丁
冰片
轻扮,枯矾,朱砂
地丁草,天花粉,松节油
板蓝根,白花蛇舌草,连翘
天花粉,干葛,连翘,牛蒡子
紫地丁,三颗针,野菊花,郁金,法半夏
西瓜霜
山豆根,冰片
侧耳根,矮茶风,墨旱莲
连翘,野菊花
芥穗,牛角,龙胆草,辛荑
贯众,大青叶
连翘,牛蒡子,陈枳壳,紫草茸
金银花,连翘,牛蒡子
青黛,寒水石
鲜马齿苋
生石膏,桑叶,连翘,牛蒡子,板蓝根,金银花
板蓝根,山豆根,紫花地丁,金银花,连翘
野菊花,三颗针,白花蛇舌草
白英,半枝莲
板蓝根,山豆根
秦皮
乌嘴白雄鸭,玄参,地龙
板蓝根
白糖
白及,花粉,射干,雄黄,山甲,冰片,川连
九里明,射干
玄明粉,鹿角霜,冰片
冰片
冰片
八角金盘,冬葵子
金银花,当归尾,玄参
金银花,牛蒡子,山豆根,土牛膝
连翘,川连,紫草茸,人中黄,丹皮
皂刺
胆南星,滑石粉,芒硝
白酒
生地榆粉,麻油50毫升
金银花,连翘,半枝莲,蒲公英
苦参,连翘,山豆根,牛蒡子
白及
山豆根,板蓝根,玄参
金银花,川牛膝
珍珠,朱砂
蜂房,马钱子,槐花,胡连,苦参
大黄,芒硝,滑石,连翘
连翘,牛蒡子,玄参
芙蓉叶,冰片
川贝母,金银花,连翘
半枝莲,金银花
生石膏,牛蒡子,鱼腥草
金银花,蒲公英,连翘
板蓝根,连翘,金银花
马齿苋,蒲公英
马齿苋
蒲公英,大青叶
红藤,紫花地丁,连翘,金银花
红藤,三颗针,金银花,芒硝
板蓝根,连翘
川楝子,生大黄,蒲公英
车前草
马齿苋
金银花
郁金,玄参,茵陈,板蓝根,败酱草
乳香,金银花
萝卜
西瓜霜,山豆根,青黛,冰片
牛蒡子,花粉,连翘,皂刺,金银花
牛蒡子
双花,连翘
板蓝根,连翘
金钱风,土牛膝,毛冬青
冰片
黑乌蛇
连翘,丹皮,玄参
金银花,牛蒡子
西瓜霜
五倍子
连翘,金银花,甘草节
连翘,姜黄,玄参,天花粉
枯矾,五倍子,百部,雄黄,朱砂,白凤仙花,陈米醋
板蓝根
冰片
板蓝根,蒲公英
川朴消,淡竹叶,蓝叶,栀子,朱砂,苏枋
红藤,金银花,连翘
青黛
獾油
板蓝根,金银花,玄参
玄参,蒲公英,土茯苓
天花粉,姜黄
薄荷叶,京赤芍
槐花,金银花,滑石,升麻
山慈菇,黄酒
土茯苓,金银花
败酱草,蒲公英,金银花
化毒散
人中黄,连翘,玄参,牛蒡子
生石膏,川黄连
双花
蒲公英,红藤
金果榄,黄精,谷精草,急性子
金银花
金银花
连翘,生石膏,牛蒡子,金银花,天花粉,玄参,青黛,玄明粉
海金沙
生石膏,丹皮,连翘
珍珠
金银花,秦皮
蒲公英,野菊花,大青叶
连翘,冰片
连翘,赤芍
金银花,玄参,蒲公英,紫花地丁
金银花,连翘,天花粉
鸡血藤,金银花,郁金,玄参
生石膏,蒲公英,山豆根,连翘
连翘,板蓝根,僵蚕,川楝子
金银花,连翘,蒲公英
金银花,连翘
金银花,连翘,蒲公英
绿豆,连翘,天花粉,雄黄,山慈菇
犀角,紫草茸,牛蒡子
连翘,金银花,蒲公英,败酱草,甘草节
黑玄参,干生地,双花,蒲公英
板蓝根
虎杖,蒲公英,鱼腥草,败酱草
金银花,白头翁,秦皮
麦冬,升麻,犀角
连翘,牛蒡子,玄参
连翘,金银花
金银花,连翘,射干,板蓝根,天花粉
炉甘石,冰片
水牛角浓缩粉,冰片
冰片,熊胆,孩儿茶
栀子,薄荷叶
粳米
川黄连
金银花,连翘,牛蒡子,山豆根,板蓝根
蒲公英,郁金,蜂房
