莲子心,川芎,当归,甘草,丹参
粳米
乳香
栀子,薄荷,连翘
鲜仙人掌,白酒
黄柏,乳香
艾曲,椒目
活鲤鱼,葱,油
香油,白蜡,冰片面,青黛面
甘遂,葶苈,乳香,没药,大戟
丛枝蓼
车前子
粳米
赤小豆,辣椒,活鲤鱼1尾,葱,鸡汤
大腹子,紫苏
蟾酥,铜绿,乳香,没药,血竭
蟾酥,铜绿,乳香,没药
花椒,青盐,李仁,铜绿
菖蒲,秦艽,茱萸
粳米
乳香,没药,赤芍,川军,冰片
琥珀,紫苏,葶苈
桑白皮
黑牵牛,续随子,甘遂
板蓝根,连翘
蓖麻子仁
酒炒破故纸,青盐,煨三棱,煨莪术,橘核,荔枝核
冰片
西丹参,西瓜霜
大梅片
西月石,玄明粉
山豆根,冰片,硼砂
贝母,人指甲,硼砂
大梅片
紫荆皮,赤豆,白芷
川紫荆皮,白芷,木蜡
苍耳子,白芷,液状石腊
黄柏,透骨草,三七,蒲公英,赤芍,自然铜,土鳖虫
乳香,没药,自然铜,五倍子,赤芍
乳香
鲜败酱草
蓖麻子
黑丑
铅丹,麝香
鲫鱼
硼砂,食盐
蓖麻子
白蜡,黄丹,油,油
乳香,没药,白蜡
乳香,白蜡,冰片
冰片
熊胆,冰片,炉甘石
李子树胶,白锡粉
紫苏,木瓜,大腹皮
乳香,没药
板蓝根,糖粉
黄蘖,寒水石
白蜡,乳香,没药,铜绿
木鳖子,血竭,乳香,没药,香油
连翘,木鳖子,赤芍,金银花,乳香,没药,血竭,儿茶,樟脑,红粉
白芷,黄丹,赤小豆
芙蓉叶,五倍子,赤芍,赤小豆
乳香,没药,冰片
黄柏,寒水石
无名异,黄柏,木鳖子
九里明,一点红
黄丹,乳香
大戟
半夏
黄柏,玄明粉,冰片
黄柏,玄明粉,冰片
硼砂,冰片
冰片
鸡蛋,冰片
珠粉,西丹参,冰片,熊胆
炉甘石,梅片,硼砂
乳香,冰片
冬瓜皮,车前子
乳香,没药,血竭,冰片
没药,血竭,香油,三七,冰片
三七,赤芍,血竭,乳香,没药,姜黄,自然铜,土鳖虫
血竭,没药,乳香,马钱子
乳香,土鳖虫,三七,没药,血竭,赤芍
乳香,没药
银花,连翘,刺猬皮,大麻仁,乳香,没药
芥菜花1味
麻黄素,葡萄糖粉
核桃仁
核桃仁
蓖麻子仁,乳香,没药
白胶香,乳香
白芷,矾石
十,一十
滑石,木通,栀子
桑白皮
紫苏,木瓜,砂仁,大腹皮
芙蓉叶,白芷
官桂,山柰,麝香
瓜子
瓜子
葶苈
蒲公英,木鳖子,银花,乳香,赤芍
麻子仁,白酒
杉木节,大麻仁,白酒
野菊花,银花,连翘,蒲公英
熊胆,冰片,黄柏,白菊花,木鳖子
熊胆,冰片,炉甘石,硼砂,苍耳子,车前子,银花,连翘
香油
天南星
月石
蜂房,马钱子,穿山甲,胡连,刺猬皮
秦皮,朱砂
黄柏,栀子
粳米
炒白芍,黄苓,栀子
芙蓉叶,榆面
芙蓉叶,冰片
芙蓉叶,冰片
绿豆,秦皮,连翘
绿豆,秦皮,连翘
赤芍,穿山甲
蒲公英,赤芍
肿节风浸膏
红藤,银花,薏仁
两背针,食用乙醇,苏木
金银花,连翘,赤小豆,赤芍,车前子
太子参,车前子,猪苓
甘草3寸半,连翘
抱鸡蛋壳
葶苈
白酒
冬瓜皮
炉甘石,梅片,硼砂,熊胆
乳香,没药,血竭,冰片
西瓜霜,硼砂,山豆根,冰片
连翘,皂刺,金银花
没药,乳香
牛蒡
蒲公英,没药
岗梅,金钱风,毛冬青
赤芍
甘草
冰片
铜绿,甘石,新针
金银花,皂刺,赤芍
草乌,乳没,冰片
五倍子
黄柏,银花,牛蒡,赤芍
黄柏,青盐,赤小豆
赤芍,连翘,金银花
赤芍,连翘,花粉,黄柏,银花
食盐
冬瓜皮,茯苓皮,生姜皮
零陵香,黄蜡,清油
甘遂,麦蘖,大戟,陈曲
黄柏,栀子
黄丹,枯矾,五倍子,白芷,白凤仙花,陈米醋
甘石,冰片,儿茶
马钱子
连翘,木通,茵陈,贝母
粳米
冬瓜皮
橘核,荔枝核,昆布,乳香,穿山甲
金银花,薏仁
白酒
75,酒精
冰片
赤芍
硼砂,鸡内金,冰片
冰片
元明粉,西瓜霜,冰片
血竭
天南星,白芷
木鳖子,白芷,垂柳枝,黄丹,油
琥珀,砂仁,破故纸,桑白皮
熊胆,梅片,儿茶
乳香,没药,黑丑
獾油
獾油
乳香,没药
乳香,没药,血竭,香油,冰片
三七,乳香,冰片
乳香,三七
土鳖虫,血竭,乳香,没药,儿茶,自然铜,冰片
贴敷患处,6次,外盖纱布
金钱草,车前子,茯苓皮,炮甲
穿山甲,连翘,乳香,没药,金银花
姜黄,白芷
赤芍
槐角,地榆
乳香,没药
五倍子
人指甲,冰片,西瓜霜,熊胆,玄明粉
赤芍,贝母,乳香,没药
