丹参
牛蒡,粳米,白糖
乳香
木香,薄荷,连翘
白酒
黄柏,乳香
艾曲,干姜,细辛,椒目,黑附子
葱,油
香油,白蜡,黄柏,冰片面
甘遂,泽泻,葶苈,乳香,没药,大戟
丛枝蓼,白花败酱草,辅料
车前子,青粱米
车前子,粳米
赤小豆,葱
大腹子,紫苏,人参
蟾酥,乳香,没药,枯矾,血竭
蟾酥,枯矾,乳香,没药
花椒,铜绿
粳米,白糖
冰片
茯苓,泽泻,紫苏,葶苈
黑牵牛,续随子,甘遂
板蓝根,连翘,射干
白胶香,蓖麻子仁
酒炒破故纸,煨莪术,橘核,荔枝核
枯矾,冰片
西丹参,西瓜霜,西月石
瓜制枪消,真熊胆,大梅片,珍珠
西月石,玄明粉,飞辰砂,梅冰
冰片
人中白,琥珀,青鱼胆,珍珠,人指甲,马勃,硼砂
瓜制枪消,珍珠,真熊胆,大梅片
紫荆皮,赤豆,白芷
川紫荆皮,白芷,木蜡
苍耳子,白芷,辛夷,冰片粉,麻油,液状石腊
蒲公英
乳香,没药,五倍子
乳香
鲜败酱草
蓖麻子
黑丑,香附
鲫鱼
朱砂,硼砂,食盐
蓖麻子
柳白皮,白蜡,油,油,商陆根
乳香,没药,白蜡
冰片
冰片
冰片
可铁刺,阿飞勇,李子树胶,白锡粉
紫苏,木瓜,香附,大腹皮
乳香,没药
板蓝根,淀粉,糖粉,菠萝香精油
石膏,黄蘖,寒水石
白蜡,乳香,没药,铜绿
木鳖子,血竭,乳香,没药,香油
连翘,木鳖子,金银花,乳香,没药,血竭
白芷,黄丹,赤小豆
芙蓉叶
冰片
石膏,黄柏,寒水石
花粉,黄柏,木鳖子
九里明,一点红,射干
黄丹,乳香
大戟,甘遂
冰片
冰片
冰片
冰片
冰片
冰片
炉甘石,梅片,硼砂,琥珀
冰片
冬瓜皮,车前子
冰片
冰片
血竭,乳香,没药
血竭,没药,乳香,马钱子
乳香,没药,血竭
乳香,没药
银花,连翘,乳香,没药
芥菜花1味
麻黄素,葡萄糖粉
核桃仁
核桃仁
乳香,没药
白胶香,乳香
地黄,木通,十,一十
泽泻,茯苓,白术,紫苏
芙蓉叶
官桂,山柰,麝香,红花,升麻
大黄,牡丹,桃仁,瓜子
大黄,牡丹,桃仁,瓜子
木通,葶苈
蒲公英,银花
白酒
白酒
银花,蒲公英
冰片
冰片,银花
核桃仁,香油
月石,海浮石,胖大海
白蒺藜,马钱子
犀角屑,羚羊角,细辛,秦皮,朱砂
茯苓,粳米
炒白芍,地黄,白术,泽泻,黄苓
芙蓉叶
芙蓉叶,冰片
芙蓉叶,冰片
泽兰,秦皮,连翘,白芷
泽兰,秦皮,连翘,白芷
赤芍,川芎,穿山甲
蒲公英
肿节风浸膏,薄荷,薄荷
红藤,银花,薏仁
两背针,50,食用乙醇,红花,高粱酒
金银花,连翘,赤小豆
