阿胶,糯米,红糖
艾叶,粳米,红糖
艾叶,生姜,鸡蛋
生地,茜草,旱莲草
白茅根,龙骨,牡蛎,三七
活鲤鱼,苎麻根,糯米,葱,姜,油,盐
夏枯草,槐花,甘草
三七,象皮,龙骨,儿茶
大黄,郁金,降香,三七
黑附子lt,炮裂,黄芩,阿胶,地黄
蚕豆花
晚蚕蛾,当归,陈石灰
生地,龟版,丹皮,白芍
苍术,地榆
陈皮,黄连,黄芩
石榴皮
臭椿白皮,苍术,枳壳
真胆矾不拘多少
侧柏叶,人参
人参,白术,三七,五味子
地黄苗,青蒿,芍药,艾叶
石灰,刺蓟,马齿,韭
地黄汁200毫升,黄牛乳200毫升,藕汁200毫升,干柿,清酒200毫升,秦艽末,杏仁
百合,熟地,白芍,桔梗
白蔹,白及,碧芦皮
鲜白荷花瓣
白芷,白蔹,芎藭,川椒,黑附子
白及粉,糯米,枣仁,蜂蜜
白及,白蔹,紫参,黄芩,龙骨
侧柏叶
干姜,阿胶,三七
小蓟,人参,蒲黄,芎藭
蒲黄
白芍,藕节,黄芩,陈皮,生地1
侧柏叶,陈皮,黄芩,香墨
墨面,冰片,熊胆,冰糖,阿胶
石灰,细辛,旋覆根,新葛叶,青蒿,猪膏
五倍子,白芷,石灰,堇泥
黄芩,地榆,防风
羌活,细辛,蛇含石,厚桂,降香,花蕊石
多年老石灰,血竭,松香,没药
黄芩
大人参
狗脊,明矾,血竭
白芍,荆芥,三七
黄芩,地榆,槐花,黄连
地黄,当归,黄酒
槐花,厚朴,陈皮,藿香
生地,白芷,白芍,蒲黄,小蓟根
晚蚕蛾不以多少
似锦,倚松子,豫吞,半两铜钱
地菘苗,石灰末,旋覆苗,葛叶,青蒿苗,麦门冬苗
阿胶,糯米
蒲黄
女贞子,墨旱莲
风化石灰末,干姜,生栗子末,白药末
番泻叶
青蒿,芍药,石灰,黄丹
地榆,蒲黄,生槐角
蓍草,七叶一枝花,高良姜,枯矾,木香
皂矾,西洋参,海马,肉桂,核桃仁
生地,地榆,黄芩
生地,地榆,黄芩
党参,熟地,川断,干姜炭,鹿角霜,十灰散
乌贼,甘松,草叩,元胡,生麦芽,贝母,生草
苋菜,甘草,旱莲草,蜂蜜10毫升
滑石,甘草,朱砂面,冰片
川断,白芍,熟地,侧柏叶
黄芩,白芍,龟版,椿树根皮
人参,熟地,茱萸,麦冬
人参,黄耆,煨姜,白芍
旱莲草,侧柏叶,地榆
大黄,巴豆,半两钱,羊胫炭
矾金,半夏,风化石灰
黄连,茱萸
生地,荆芥
黄芩
黑附子,阿胶,黄芩,灶中黄土
黑附子,阿胶,黄芩,灶中黄土
荆芥,薄荷,茜草,白茅根
新鲜荷叶,粳米,冰糖
藕节,小蓟,黄芩,棕榈,白茅根,白芍
藕节,黄芩,白茅根,白芍
花蕊石,丹参
花蕊石
胡粉,麝香
琥珀,京三棱,延胡索,没药,大黄
新石灰,韭菜,苎麻叶,小秦王草
古窑石灰,紫矿
多年陈石灰,鸡子清
乳香,没药
地榆,黄芩,防风
地榆,防风,黄芩
炒槐角,枳壳,陈皮
槐花,银花,柴胡,黄芩
槐花,荆芥,枳壳
厚朴,陈皮,槐花
槐花
槐花,百草霜
槐花,荆芥,枳壳
旱莲草,枣仁
旱莲草
生赭石,半夏,蒌仁,生杭芍,牛蒡
花蕊石,三七,血余炭
赤芍,茜草,三七,降香
鸡冠花,米酒
石灰,韭菜叶
漂冬丹
石灰,细辛,旋覆根,青蒿
老松香不拘多少
龙骨,无名异
钓掉根,芎,龙骨
生地,款冬花,陈皮,茜草
银末,血竭,发灰,人指甲,珍珠
嫩老鼠,不拘多少,韭菜根与老鼠一般多
马前子,枳壳
龙眼核
松香,夏果,刘寄奴
白芍,黑栀,柴胡
白芍
白芍,黄连,黄芩,地榆
丹砂,草乌,生乌豆
射干,京赤芍,丹皮,焦山栀,淡竹叶
小蓟,童便,墨汁,藕汁100毫升
丹参,炉甘石,黄丹,冰片
远年石灰,大黄,血竭
熟地,龙胆肉,鹿角胶,伏龙肝,黑附子,黄芩
槐花,地榆,旱莲草,黄芩
芍药,地黄,白茅根,蒲黄
黄芩,侧柏叶,阿胶,白芍
泡参,杜仲,续断,阿胶,蕲艾,寄生
地黄,白芍,白茅根,藕节
槐花,地黄
当归,黄耆,三七
黄芩,香附,蒲黄,侧柏叶
紫藤香,白占,三七,半夏,血竭
金樱叶,桑叶,嫩苎叶
矿石灰,生韭菜
百部,白及,黄精,玉竹,穿心莲,葎草
