阿胶,糯米,红糖
艾叶,粳米,红糖
艾叶,鸡蛋
益母草,茜草,旱莲草
白茅根,三七
活鲤鱼,糯米,葱,油
槐花
三七,龙骨
三七,当归
黑附子lt,炮裂,去皮,黄芩,白术,阿胶
蚕豆花
晚蚕蛾,陈石灰
龟版,白芍
苍术,地榆
石榴皮
真胆矾不拘多少
侧柏叶,人参
三七,五味子
地黄苗,地菘,青蒿,苍耳苗,艾叶
石灰
地黄汁200毫升,生姜汁100毫升,黄牛乳200毫升,藕汁200毫升,干柿,清酒200毫升,秦艽末,杏仁
百合,熟地,白芍,寸冬
白及,碧芦皮
鲜白荷花瓣
白蔹,芎藭,川椒
白及粉,糯米,蜂蜜
白及,白蔹,乌鱼骨,紫参,龙骨
侧柏叶
干姜,三七
小蓟,人参,蒲黄
蒲黄,螺儿清
荷叶,白芍,藕节,百合,陈皮
侧柏叶,生地炭,陈皮
墨面,冰糖,阿胶
石灰,青蒿
石灰,堇泥
地榆,防风
乌药,蛇含石,檀香,寄生尾,花蕊石
血竭,松香
黄芩
大人参
狗脊,明矾,血竭
三七,茯苓
白芍,三七
生地炭,地榆,槐花
地黄,黄酒
槐花,厚朴
白芍,川芎,蒲黄
晚蚕蛾不以多少
似锦,倚松子,豫吞,半两铜钱
地菘苗,葛叶,青蒿苗,麦门冬苗
阿胶,糯米
蒲黄,半
女贞子,墨旱莲
风化石灰末,干姜,生栗子末,白药末
茯苓,槟榔,地榆
茯苓,生麦门冬,竹叶
番泻叶
青蒿,石灰
地榆,生槐角
蓍草,七叶一枝花
皂矾,西洋参,海马,肉桂,核桃仁
地榆
地榆
党参,熟地,干姜炭,十灰散
乌贼,甘松,草叩,生麦芽,贝母,生草
苋菜,旱莲草
滑石,朱砂面
白芍,侧柏叶
白芍,龟版,黄柏,椿树根皮
人参,煨姜,白芍
白及,旱莲草,地榆
半两钱,羊胫炭
矾金,半夏,风化石灰
生地,荆芥
黄芩
白术,阿胶,黄芩,灶中黄土
白术,阿胶,黄芩,灶中黄土
茜草,白茅根
新鲜荷叶,粳米,冰糖
藕节,小蓟,白茅根
荷叶,藕节,白茅根
花蕊石,丹参
花蕊石
胡粉
京三棱,延胡索,没药
新石灰,韭菜,小秦王草
古窑石灰,紫矿
多年陈石灰,鸡子清
没药
地榆,防风
地榆,防风
炒槐角,陈皮
槐花,柴胡
槐花,柏叶
厚朴,槐花
槐花
槐花,百草霜
槐花,柏叶
槐花,地榆,茯苓
旱莲草,枣仁
旱莲草
生赭石,半夏,蒌仁,生杭芍,牛蒡
三七
茜草,三七
鸡冠花,米酒
石灰,韭菜叶
漂冬丹
石灰,青蒿
老松香不拘多少
龙骨,熟白矾,没药,无名异
钓掉根,龙骨
龙骨,白矾,无名异
百合,茜草
血竭
嫩老鼠,不拘多少,韭菜根与老鼠一般多
马前子
龙眼核
夏果,刘寄奴
白芍,黑栀,柴胡
白芍,黄连
地榆
丹砂,生乌豆
犀角粉,射干,板蓝根,京赤芍,生山栀,焦山栀,干芦根,淡竹叶
小蓟
炉甘石,火消,黄丹
大黄,血竭
熟地,鹿角胶,黄芪,白术,阿胶
三七,茯苓
茯苓,旱莲草
槐花,地榆,旱莲草
白茅根,蒲黄
侧柏叶,白芍
泡参,阿胶,蕲艾,寄生
白芍,白茅根,藕节
黄连2,槐花
黄耆,三七
川芎,蒲黄,侧柏叶
三七,半夏
金樱叶,桑叶,嫩苎叶
矿石灰,生韭菜
百部,白及
白及粉,蜂蜜
龙骨,枯矾,没药,轻粉,黄丹
鹿角胶,油头发灰,没药
地黄,蒲黄
龙眼核
地榆,白术
黄连,蒲黄,槐角
黄连,枳壳
三七
生芍,双花炭,椿皮炭,陈皮
牛,羊角及蹄甲,白及
赤小豆,桂心
茜草
地黄,腊月猪板脂
刘寄奴
槐角,地榆
淡黄丹,没药,龙骨
蒲黄,当归
蒲黄,石榴花
蒲黄,郁金
蒲黄,龙骨,艾叶
鲜荠菜,粳米
茜草,防风
黄芪,白芍,甘松,鹿角胶
白术,茜草,三七
黄芩
白茅根,茜草,旱莲草
侧柏叶,白茅根
血竭,红花
血竭,红花
大黄,真秋石
旱莲草,藕节,川芎
阿胶,川芎,蒲黄
茜草,槐花
鲜柿叶,白糖
白木槿花,白豆腐,白砂糖
生荷叶,艾叶,生柏叶,地黄
侧柏叶,槐子
乌鲗骨,芦茹
清酒
小蓟,白茅根
小蓟,白茅根
马钱子,枳壳
白茅根,地榆,茜草
桃仁,没药,银花
好石灰,清油30毫升
天门冬,杏仁,黄连,阿胶珠,蒲黄,京墨
三七,人参
螵蛸,陈皮油
茜草,地榆,槐花
乌梅,红糖
白茅根
芎藭,阿胶,艾叶,芍药
白茅根
五倍子,射干,炮山甲,牡蛎,火麻仁
桑白皮,三七
地黄,蒲黄,淡竹叶,藕节
小蓟,木通,藕节
百部,蔓荆子茎及叶
鲜野苋草全草,白糖
羊胆干膏,百部,白及
地榆,砂仁
石斛,花蕊石
炒白芍,柴胡
黄连,黄芩
陈皮炒,粳米,大麦仁
槐角,槐花,地榆
槐角,槐花,地榆
琥珀屑,降真香末,血竭
竹茹,阿胶,黄酒
象皮,血竭,辰砂
黄芪,藕节,茜草
象皮,龙骨,血竭
人参,白芍
