阿胶,糯米,红糖
艾叶,粳米,红糖
艾叶,鸡蛋
生地,茜草,旱莲草
三七
活鲤鱼,糯米,葱,油,盐
槐花
三七
三七
芍药,黑附子lt,炮裂,去皮,黄芩,阿胶
蚕豆花
晚蚕蛾,当归,陈石灰
生地,龟版,石斛,丹皮,白芍
苍术,地榆
石榴皮
臭椿白皮,苍术,枳壳
真胆矾不拘多少
侧柏叶,人参,荆芥
三七,五味子
地黄苗,地菘,青蒿,苍耳苗,艾叶
石灰
地黄汁200毫升,黄牛乳200毫升,藕汁200毫升,干柿,清酒200毫升,秦艽末
骨皮,兜铃,紫菀,白芍
白及,碧芦皮
鲜白荷花瓣
白蔹,芎藭
白及粉,糯米,枣仁,蜂蜜
白及,乌鱼骨,黄芩,龙骨
侧柏叶
干姜,三七
地黄,小蓟,人参,蒲黄,芎藭
蒲黄
荷叶,石斛,香墨,白芍,藕节,陈皮
侧柏叶,棕榈炭,石斛,陈皮,香墨
冰片,冰糖,阿胶
石灰,猪膏
石灰,堇泥
枳壳,地榆,防风
降香,檀香,寄生尾,花蕊石
血竭
黄芩
大人参
狗脊,血竭
三七,茯苓
三七
黄芩,槐花
地黄,黄酒
槐花,厚朴,枳壳
生地,白芍,蒲黄
晚蚕蛾不以多少
似锦,倚松子,豫吞,半两铜钱
地菘苗,麦门冬苗
阿胶,糯米
蒲黄
女贞子,墨旱莲
风化石灰末,干姜,生栗子末,白药末
防风,槟榔,地榆
茯苓,紫菀,生麦门冬,竹叶
番泻叶
地黄苗,苍耳苗,石灰
茯苓,柴胡,白芍,蒲黄,血余炭,艾碳
地榆,蒲黄
蓍草,七叶一枝花,肉桂
皂矾,西洋参,海马,核桃仁
桑叶,生地,地榆,黄芩
桑叶,生地,地榆,黄芩
党参,熟地,川断,干姜炭,鹿角霜,十灰散
乌贼,甘松,草叩,生麦芽,贝母,生草
旱莲草
朱砂面,冰片
白芍,侧柏叶
黄芩,白芍,龟版,椿树根皮
人参,熟地,茱萸,麦冬,丹皮
人参,黄耆,煨姜,白芍
旱莲草,侧柏叶,地榆
半两钱,羊胫炭
矾金,半夏,风化石灰
黄连,茱萸
生地,荆芥
黄芩
阿胶,黄芩,灶中黄土
阿胶,黄芩,灶中黄土
夏枯草4,茜草,白茅根
新鲜荷叶,粳米,冰糖
藕节,小蓟,白茅根
藕节,白茅根,白芍
花蕊石,丹参
花蕊石
胡粉
琥珀,京三棱,延胡索,没药
新石灰,韭菜,苎麻叶,小秦王草
古窑石灰,紫矿
多年陈石灰,鸡子清
乳香,没药
地榆,枳壳,防风
地榆,防风,枳壳
炒槐角,枳壳,陈皮
槐花,柴胡
槐花,枳壳
厚朴,枳壳,槐花
槐花,栀子
槐花
槐花,枳壳
槐花,茯苓
旱莲草
旱莲草
生赭石,半夏,蒌仁,生杭芍,牛蒡
三七
茜草,三七
鸡冠花,米酒
石灰
漂冬丹,石膏
石灰,猪膏
老松香不拘多少
龙骨,生五倍子,没药,无名异
钓掉根,续断,龙骨
