甘桑椹,黄精,枸杞,麦门冬,天门冬,牛膝,地黄
远志,巴戟,菖蒲,肉苁蓉,枸杞,山药,地黄
朱砂,蓝叶,苏枋,麝香,人参,羚羊角,淡竹叶
朱砂,远志,琥珀,菖蒲,丹参,白芍,人参
茯神,枣仁,朱砂,远志,琥珀,菖蒲,人参
朱砂,檀香,天竺黄,琥珀,天南星,山药,枳实
朱砂,天竺黄,琥珀,丹参,天南星,僵蚕,麝香
朱砂,天竺黄,珍珠,琥珀,钩藤,丹参,天麻
茯神,远志,菖蒲,天南星,人参,茯苓,大辰砂
茯神,枣仁,远志,琥珀,辰砂,地黄,犀角
茯神,远志,人参,羚羊角,真琥珀,甘草
茯神,枣仁,朱砂,远志,琥珀,沉香,当归
茯神,枣仁,远志,巴戟,琥珀,辰砂,菖蒲
琥珀,辰砂,麝香,乳香,没药
茯神,远志,金箔,辰砂,丹参,山药,滑石
朱砂,珍珠,琥珀,丹参,麝香,龙涎香,羚羊角
红糖,合欢花,粳米
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,天南星,山药,僵蚕,蜈蚣
茯神,朱砂,金箔,天竺黄,丹参,僵蚕,山药
茯神,朱砂,远志,天竺黄,金箔,铁粉,青龙齿
金箔,辰砂,丹参,天麻,麝香,防风,犀角
天竺黄,金箔,铁粉,丹参,龙齿,麝香,龙脑
茯神,朱砂,远志,金箔,铁粉,丹参,麦门冬
天竺黄,金箔,辰砂,皂荚仁,半夏,白矾,二
天竺黄,金箔,辰砂,皂荚仁,半夏,白矾,生白龙脑
茯神,远志,金箔,辰砂,菖蒲,丹参,乌梅肉
茯神,枣仁,合欢花,丹参,山栀,沉香,白芍
辰砂,明矾,天南星,半夏
茯神,枣仁,朱砂,远志,菖蒲,人参,乳香
枣仁,远志,丹参,麦门冬,阿胶,白芍,丹皮
枣仁,远志,麦冬,丹参,泽兰,丹皮,熟地
朱砂,琥珀,钩藤,丹参,天麻,僵蚕,胆南星
土鳖虫,熟军,钱,2钱,自然铜,乳香,当归
朱砂,减半,山栀仁,雄黄,黄芩,黄柏,黄连
随风子,大腹子,谷蘖,枇杷叶,薏仁,沉香,石斛
川姜,天南星,天麻,白附子,半夏,白僵蚕,川乌
茯神,远志,钩藤,菖蒲,麦冬,丹参,胆南星
枣仁,远志,竹茹,五味子,地黄,半夏,人参
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,朱砂,远志,菖蒲,柏子仁,地黄,人参
茯神,远志,半夏,茯苓,厚朴,紫苏,甘草
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞,熟地
川姜,天南星,天麻,白附子,半夏,白僵蚕,川乌
茯神,枣仁,远志,麦冬,石斛,白芍,丹皮
茯神,远志,麦冬,犀角,羚羊角,当归,知母
茯神,巴戟,肉苁蓉,阳起石,黑附子,沉香,牛膝
肉桂心,生川连
琥珀,茯苓,香附
檀香,石灰华,红景天,高山辣根菜,榜嘎,洪连,丹参
檀香,石灰华,红景天,高山辣根菜,榜嘎,洪连,丹参
珍珠母,太子参,山药,女贞子,五味子,地黄,菟丝子
远志,菖蒲,龙骨,龟甲
茯神,远志,麦门冬,天门冬,龙齿,山药,地黄
枣仁,远志,琥珀,菖蒲,桂枝,牡蛎,龙骨
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,丹参,沉香,郁金,广皮
磁石,用药同水酒入银石器内煮半日,面,椒等洗,复以葱,新莲肉,入先洗猪肚内
巴戟,钟乳,灵砂,肉蔻,金铃子,葫芦芭,阳起石
辰砂,蝎梢,真麝香1字,蜈蚣,白僵蚕,半夏,人参
干百合,蜂蜜
茯神,枣仁,五味子,半夏,人参,当归,陈皮
茯神,枣仁,远志,金箔,琥珀,辰砂,菖蒲
茯神,枣仁,远志,当归,陈皮,黄耆,茯苓
茯神,天竺黄,钩藤,胆南星,防风,贝母,薄荷
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,麝香,人参,茯苓
茯神,枣仁,朱砂,远志,麦门冬,龙齿,天门冬
茯神,远志,菖蒲,麦冬,丹参,丹参,黄芩
茯神,肉苁蓉,芡实,紫石英,枸杞,韭子,地黄
枣仁,珍珠母,钩藤,合欢皮,丹参,夏枯草,甘草
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,水牛角,板蓝根,胆酸,猪脱氧胆酸,金银花,黄芩
枣仁,沉香,牛心粉,枫香脂,丁香,木香,肉豆蔻
菖蒲,乌梅肉,地黄,人参,当归,芍药,川芎
茯神,枣仁,朱砂,远志,牡蛎,人参,茯苓
枣仁,知母,茯苓,甘草,芎藭
枣仁,粳米
枣仁,丹参,夜交藤,炒柏子仁,生地,龙骨
光明砂,磁石,神曲
琥珀,辰砂,麝香,滴乳,当归,没药,木香
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,钩藤,菖蒲,麦冬,丹参
远志,肉苁蓉,巴戟天,山药,白酒,牛膝,五味子
枣仁,山药,人参急者用30克,白术,干姜,当归,甘草
朱砂,琥珀,天南星
朱砂,远志,琥珀,胆南星,五味子,白芍,人参
朱砂,檀香,琥珀,诃子,天麻,僵蚕,降香
朱砂,檀香,琥珀,诃子,丹参,天麻,僵蚕
茯神,枣仁,远志,辰砂,柏子仁,紫石英,龙齿
枣仁,檀香,石灰华,诃子,诃子,高山辣根菜,沉香
朱砂,金箔,琥珀,天南星,半夏,白附子,枯矾
茯神,远志,金箔,铁粉,丹参,丹参,麝香
远志,巴戟,牛膝,地黄,菟丝子,杜仲,车前子
檀香,三,白芷,甘草,桔梗,川芎
枣仁,远志,丹参,麦门冬,柏子仁,五味子,地黄
茯神,枣仁,远志,菖蒲,丹参,柏子仁,麦门冬
枣仁,朱砂,远志,菖蒲,麦冬,丹参,柏子仁
枣仁,山药,五味子,山萸,破故纸60宽,党参,茯苓
枣仁,远志,麦门冬,半夏,人参,萆薢,茯苓
葱,乌灵参,酒,鸡,盐,姜
朱砂,丹参,郁金,黄芩,栀子,黄连
枣仁,丹参,柏子仁,丹皮,莲子心,玄参
茯神,麦门冬,龙齿,人参,犀角屑,黄芩,甘草
辰砂,琥珀,枸杞,青龙齿,白芍,党参,柴胡
茯神,珍珠母,钩藤,合欢皮,丹参,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,真珠,脑,胆南星,半夏,人参,茯苓
天竺黄,菖蒲,飞朱砂,珠粉,煅青礞石,胆南星,胡连
远志,辰砂,牡蛎,肉苁蓉,人参,干姜,茯苓
茯神,枣仁,远志,柏子仁,紫石英,白芍,人参
朱砂,钩藤,人参,白术,茯苓,甘草
枣仁,远志,麦门冬,胆南星,地黄,人参,淡竹叶
葱,白糖,花椒,味精,猪心,玉竹,食盐
枣仁,合欢皮,女贞子,浮小麦,何首乌,灵芝,甘草
枣仁,白糖,粳米,夜交藤
远志,茯苓X克,五味子,地黄,陈皮,人参,白术
枣仁,麦冬,山药,薏仁,桂圆肉,大热地,大茴
茯神,枣仁,柏子仁,丹参,丹皮,枳壳,当归
茯神,枣仁,远志,柏子仁,紫石英,龙齿,阿胶
寒水石,丁子香,黄金,磁石,沉香,滑石,犀角
朱砂,肉苁蓉,柏子仁,紫石英,麝香,人参,龙骨
茯神,枣仁,远志,地黄,人参,羚羊角,当归
