肉苁蓉,枸杞,拣人参,乌犀角,麦门冬,天门冬,山药
甘桑椹,黄精,麦门冬,天门冬,枸杞,牛膝,地黄
远志,巴戟,菖蒲,肉苁蓉,枸杞,山药,地黄
朱砂,苏枋,蓝叶,麝香,羚羊角,枳壳,人参
朱砂,远志,琥珀,菖蒲,丹参,白芍,煅磁石
茯神,朱砂,枣仁,远志,琥珀,菖蒲,乳香
朱砂,檀香,琥珀,天竺黄,山药,天南星,枳实
朱砂,琥珀,天竺黄,丹参,天南星,麝香,僵蚕
朱砂,琥珀,天竺黄,丹参,珍珠,钩藤,天麻
茯神,远志,菖蒲,天南星,茯苓,大辰砂,人乳
茯神,枣仁,远志,琥珀,辰砂,犀角,地黄
茯神,远志,羚羊角,真琥珀,人参,甘草
茯神,朱砂,枣仁,远志,琥珀,沉香,当归
茯神,枣仁,远志,琥珀,巴戟,菖蒲,辰砂
琥珀,辰砂,麝香,乳香,没药
茯神,金箔,远志,辰砂,丹参,山药,黄耆
朱砂,琥珀,丹参,珍珠,麝香,羚羊角,薄荷
粳米,红糖,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,山药,蜈蚣,天南星,麝香
茯神,金箔,朱砂,天竺黄,丹参,胆南星,山药
茯神,朱砂,金箔,远志,天竺黄,铁粉,犀角
金箔,辰砂,丹参,天麻,犀角,麝香,防风
金箔,天竺黄,铁粉,龙齿,丹参,龙脑,麝香
茯神,金箔,朱砂,远志,铁粉,麦门冬,龙齿
金箔,天竺黄,辰砂,白矾,生白龙脑,半夏,皂荚仁
金箔,天竺黄,辰砂,白矾,生白龙脑,半夏,皂荚仁
茯神,金箔,远志,菖蒲,辰砂,丹参,乌梅肉
茯神,枣仁,合欢花,郁金,丹参,山栀,白芍
辰砂,明矾,天南星,半夏
茯神,朱砂,枣仁,远志,菖蒲,当归,乳香
枣仁,远志,麦门冬,丹参,阿胶,白芍,熟地
枣仁,远志,麦冬,丹参,熟地,丹皮,泽兰
朱砂,琥珀,丹参,牵牛,钩藤,天麻,胆南星
2钱,土鳖虫,自然铜,钱,熟军,当归,乳香
朱砂,减半,山栀仁,雄黄,黄芩,黄柏,黄连
大腹子,随风子,谷蘖,枇杷叶,薏仁,半夏,五味子
川姜,天麻,天南星,白附子,半夏,干蝎,白僵蚕
茯神,远志,菖蒲,麦冬,丹参,钩藤,胆南星
枣仁,远志,竹茹,五味子,半夏,地黄,枳实
茯神,枣仁,远志,菖蒲,柏子仁,人参
朱砂,枣仁,远志,菖蒲,柏子仁,地黄,当归
茯神,远志,半夏,茯苓,紫苏,甘草,厚朴
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞,龙骨
川姜,天麻,天南星,白附子,半夏,干蝎,白僵蚕
茯神,枣仁,远志,麦冬,白芍,石斛,丹皮
茯神,远志,麦冬,犀角,羚羊角,当归,知母
茯神,巴戟,阳起石,肉苁蓉,黑附子,牛膝,沉香
生川连,肉桂心
