枸杞,拣人参,乌犀角,肉苁蓉,麦门冬,天门冬,牛膝
甘桑椹,枸杞,黄精,天门冬,麦门冬,牛膝,地黄
远志,巴戟,菖蒲,肉苁蓉,枸杞,牛膝,五味子
朱砂,苏枋,蓝叶,麝香,枳壳,羚羊角,人参
朱砂,远志,琥珀,菖蒲,丹参,白芍,人参
茯神,枣仁,朱砂,远志,琥珀,菖蒲,人参
朱砂,檀香,琥珀,天竺黄,枳实,天南星,山药
朱砂,琥珀,天竺黄,麝香,丹参,天南星,雄黄
朱砂,琥珀,天竺黄,珍珠,钩藤,天麻,丹参
茯神,远志,菖蒲,天南星,人参,大辰砂,人乳
茯神,枣仁,远志,琥珀,辰砂,地黄,犀角
茯神,远志,羚羊角,人参,真琥珀,甘草
茯神,枣仁,远志,朱砂,琥珀,沉香,香附
茯神,枣仁,远志,巴戟,琥珀,菖蒲,辰砂
琥珀,辰砂,麝香,乳香,没药
茯神,金箔,远志,辰砂,丹参,山药,香附
朱砂,琥珀,珍珠,麝香,丹参,龙涎香,羚羊角
红糖,粳米,合欢花
鸡蛋,芡实,去芯莲子,山药
朱砂,铁粉,蛇黄,麝香,天南星,蜈蚣,脑子
茯神,金箔,朱砂,天竺黄,丹参,防风,山药
茯神,金箔,朱砂,远志,天竺黄,铁粉,青龙齿
金箔,辰砂,天麻,麝香,丹参,防风,羌活
金箔,天竺黄,铁粉,龙齿,丹参,麝香,铅霜
茯神,金箔,朱砂,远志,铁粉,麦门冬,龙齿
金箔,天竺黄,辰砂,生白龙脑,皂荚仁,白矾,半夏
金箔,天竺黄,辰砂,生白龙脑,皂荚仁,白矾,半夏
茯神,金箔,远志,菖蒲,辰砂,丹参,乌梅肉
茯神,枣仁,合欢花,山栀,丹参,郁金,白芍
辰砂,明矾,天南星,半夏
茯神,枣仁,远志,朱砂,菖蒲,人参,乳香
枣仁,远志,阿胶,麦门冬,丹参,白芍,丹皮
枣仁,远志,麦冬,丹参,蝉蜕,丹皮,泽兰
朱砂,琥珀,天麻,钩藤,丹参,牵牛,胆南星
熟军,土鳖虫,2钱,钱,自然铜,乳香,血竭
朱砂,减半,雄黄,山栀仁,黄柏,黄芩,黄连
随风子,谷蘖,大腹子,枇杷叶,薏仁,石斛,五味子
川姜,天麻,白附子,天南星,半夏,白僵蚕,干蝎
茯神,远志,菖蒲,麦冬,钩藤,丹参,贝母
枣仁,远志,竹茹,枳实,五味子,地黄,半夏
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,朱砂,远志,菖蒲,柏子仁,地黄,人参
茯神,远志,半夏,厚朴,茯苓,紫苏,甘草
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞,熟地
川姜,天麻,白附子,天南星,半夏,白僵蚕,干蝎
茯神,枣仁,远志,麦冬,石斛,白芍,丹皮
茯神,远志,麦冬,犀角,羚羊角,当归,知母
茯神,巴戟,肉苁蓉,阳起石,黑附子,牛膝,破故纸
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,洪连,红景天,榜嘎,丹参,高山辣根菜
檀香,石灰华,洪连,红景天,榜嘎,丹参,高山辣根菜
珍珠母,太子参,地骨皮,五味子,地黄,山药,女贞子
远志,菖蒲,龟甲,龙骨
茯神,远志,天门冬,麦门冬,龙齿,五味子,地黄
枣仁,远志,琥珀,菖蒲,牡蛎,桂枝,龙骨
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,丹参,郁金,沉香,灯心100厘米
磁石,洗去蜜酒令尽,醋,缝定,研为细末,复以葱,入先洗猪肚内
巴戟,灵砂,钟乳,葫芦芭,肉蔻,金铃子,阳起石
辰砂,蝎梢,真麝香1字,蜈蚣,半夏,白僵蚕,人参
干百合,蜂蜜
茯神,枣仁,五味子,半夏,人参,陈皮,当归
茯神,金箔,枣仁,远志,琥珀,菖蒲,辰砂
茯神,枣仁,远志,黄耆,陈皮,罗参,茯苓
茯神,天竺黄,钩藤,贝母,防风,胆南星,薄荷
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,麝香,山药,人参,茯苓
茯神,枣仁,远志,朱砂,天门冬,麦门冬,龙齿
茯神,远志,菖蒲,麦冬,丹参,丹参,花粉
茯神,肉苁蓉,韭子,紫石英,枸杞,芡实,牛膝
珍珠母,枣仁,合欢皮,钩藤,丹参,夏枯草,甘草
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,板蓝根,水牛角,猪脱氧胆酸,胆酸,金银花,栀子
枣仁,牛心粉,沉香,枫香脂,丁香,木香,肉豆蔻
菖蒲,乌梅肉,地黄,人参,芍药,当归,川芎
茯神,枣仁,朱砂,远志,牡蛎,人参,益智
枣仁,茯苓,知母,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,丹参,龙骨,生地,炒柏子仁
光明砂,磁石,神曲
琥珀,辰砂,麝香,滴乳,当归,没药,木香
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,菖蒲,麦冬,辰砂,钩藤,丹参
远志,肉苁蓉,巴戟天,牛膝,白酒,泽泻,五味子
枣仁,山药,人参急者用30克,白术,干姜,莲肉,当归
朱砂,琥珀,天南星
朱砂,远志,琥珀,白芍,五味子,胆南星,人参
檀香,朱砂,琥珀,诃子,天麻,麝香,降香
檀香,朱砂,琥珀,诃子,天麻,丹参,郁金
茯神,枣仁,远志,辰砂,阿胶,柏子仁,紫石英
枣仁,檀香,石灰华,诃子,诃子,高山辣根菜,紫檀香
金箔,朱砂,琥珀,天南星,白附子,羌活,真铁粉
茯神,金箔,远志,铁粉,丹参,丹参,麝香
远志,巴戟,牛膝,地黄,菟丝子,杜仲,车前子
檀香,三,白芷,川芎,桔梗,甘草
枣仁,远志,麦门冬,柏子仁,丹参,地黄,五味子
茯神,枣仁,远志,菖蒲,天门冬,麦门冬,柏子仁
枣仁,朱砂,远志,菖蒲,麦冬,柏子仁,丹参
枣仁,五味子,破故纸60宽,山药,山萸,党参,茯苓
枣仁,远志,麦门冬,半夏,桂心,人参,萆薢
葱,乌灵参,酒,鸡,姜,盐
朱砂,丹参,郁金,黄芩,栀子,黄连
枣仁,柏子仁,丹参,丹皮,莲子心,玄参
茯神,麦门冬,龙齿,人参,犀角屑,黄芩,甘草
琥珀,辰砂,枸杞,白芍,青龙齿,香附,党参
茯神,珍珠母,合欢皮,钩藤,丹参,夏枯草
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,真珠,脑,胆南星,半夏,人参,麝
菖蒲,天竺黄,西丹参,麝香,飞朱砂,贝母,煅青礞石
远志,辰砂,肉苁蓉,牡蛎,人参,干姜,茯苓
茯神,枣仁,远志,柏子仁,紫石英,白芍,人参
朱砂,钩藤,人参,白术,茯苓,甘草
枣仁,远志,麦门冬,地黄,胆南星,黄耆,人参
葱,白糖,花椒,玉竹,猪心,香油,味精
枣仁,合欢皮,女贞子,灵芝,浮小麦,何首乌,甘草
枣仁,夜交藤,白糖,粳米
远志,五味子,茯苓X克,地黄,黄耆,桂心,陈皮
枣仁,麦冬,薏仁,大茴,山药,桂圆肉,建莲肉
茯神,枣仁,柏子仁,丹参,丹皮,香附,枳壳
茯神,枣仁,远志,阿胶,柏子仁,紫石英,龙齿
寒水石,丁子香,黄金,磁石,羚羊角,沉香,犀角
朱砂,柏子仁,肉苁蓉,紫石英,麝香,人参,龙骨
茯神,枣仁,远志,地黄,羚羊角,人参,当归
