荸荠,雪梨,白萝卜,生藕,麦冬,白茅根,生地
胆南星,天麻,淡全蝎,芥穗,薄荷,人参,独活
半夏,胆南星,钩藤,党参,天麻,橘络,全蝎
贝母,天竺黄,天南星,远志,桔梗,钩藤,陈皮
贝母,半夏,胆南星,焦三仙,钩藤,陈皮,天麻
贝母,胆南星,朱砂,钩藤,陈皮,梅片,天麻
天南星,辰砂,天麻,僵蚕,全蝎,琥珀,白附子
半夏,天南星,皂角,白矾,生姜
贝母,琥珀,莲肉,五味子,麦门冬,薏仁,白芍
半夏,杏仁,豆
半夏,甘菊,干蝎,独活,川芎,防风
半夏,陈皮,京三棱,黑牵牛,槟榔,木香,青皮
半夏,天南星,黑牵牛,白矾,猪牙皂角
天南星,木香
半夏,天南星,干姜
贝母,紫菀,杏仁,百部,瓜蒌仁,桔梗,玄明粉
半夏,蝎尾,胡椒,干姜
半夏,桔梗,僵蚕,活蝎子,麻黄,蝉蜕,黄连
杏仁,款冬花,远志,代赭石,苏子,胡桃肉,五味子
贝母,杏仁,葶苈,陈皮,僵蚕,代赭石,苏子
半夏,杏仁,款冬花,苏子,黄芩,麻黄,白果
半夏,杏仁,款冬花,苏子,黄芩,麻黄,白果
杏仁,陈皮,石膏,五味子,砂仁,麻黄,甘草
陈皮,桔梗,石膏,五味子,麻黄,木香
贝母,半夏,莱菔,白芥子,杏仁,陈皮,苏子
天竺黄,银箔,真珠末,远志,生犀角,金箔,龙脑
玄明粉,姜汁,煅金礞石,生硼砂,竹沥膏,朱砂面,郁金
半夏,陈皮,麦芽,川丁皮,广荗,荜澄茄,茯苓
半夏,款冬花,枳实,五味子,人参,苦梗,麻黄
半夏,天南星,薄荷,藿香,寒水石,人参,白蛤粉
半夏,天南星,薄荷,藿香,寒水石,蛤粉,人参
半夏,杏仁,巴豆,马兜铃
贝母,杏仁,陈皮,旋复花,麦冬,石斛,赭石
天南星,真珠末,天麻,龙脑,白附子,丹参,犀角
天竺黄,天麻,龙脑,丹参,人参,茯苓,丹砂
真珠,龙脑,瑇瑁,犀角,丹砂,麝香,阿胶
贝母,陈皮,菖蒲,五味子,麦门冬,丹参,当归
半夏,姜黄,白檀香,丁香,人参,白术,生姜
半夏,紫团参,鳖甲,阿胶,甘草
贝母,半夏,杏仁,葶苈,青礞石,陈皮,紫苏
半夏,广皮,茯苓,甘草,羌活,防风
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,陈皮,胆草,茯苓
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,广皮,茯苓,苍术,甘草,厚朴
半夏,陈皮,苏梗,茯苓,厚朴,甘草
半夏,陈皮,枳实,香附,当归,茯苓,川芎
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,杏仁,款冬花,麦门冬,百合,罂粟壳
贝母,半夏,陈皮,茯苓,甘草,知母
贝母,麦门冬,天门冬,知母
半夏,天南星,桔梗,陈皮,僵蚕,菖蒲,川朴
天竺黄,陈皮,百部,竹茹,瓜蒌仁,天冬,麦冬
贝母,麦冬,天门冬,知母
贝母,北沙参,提麦冬,淡天冬,南沙参,知母
竹茹,远志,菖蒲,牡蛎,白芍,泽泻,茯苓
半夏,天南星,白僵蚕,飞过枯矾
半夏,陈皮,黑附子,白姜,草果子,厚朴,甘草
贝母,桔梗,陈皮,元参,前胡,赤芍,黄芩
贝母,桔梗,陈皮,前胡,芍药,黄芩,花粉
半夏,天麻,人参,茯苓,独活,芎,白芷
贝母,半夏,玉竹,广皮,北沙参,麦冬,天冬
半夏,陈皮,茯苓,甘草
山芋,桔梗,陈皮,远志,五味子,麦门冬,桂
贝母,杏仁,葶苈,桔梗,陈皮,代赭石,旋覆花
鱼腥草,陈皮,党参,铁树叶,黄芪,白花蛇舌草,薏仁
贝母,贝母,半夏,半夏,白芥子,杏仁,苏子
贝母,竹茹,蒌仁,郁金,石膏,白芍,菊花炭
半夏,黑牵牛子,粉霜,白矾
陈皮,硼砂,薄荷,乌梅,五味子,甘草
片脑,白豆蔻末,芽茶,白檀香末
贝母,半夏,桔梗,陈皮,玄明粉,香附,神曲
贝母,半夏,桔梗,陈皮,玄明粉,香附,神曲
半夏
半夏,檀香,百药煎,陈皮,薄荷,乌梅肉,五味子
半夏,天南星,皂角,白矾,干姜
半夏,天南星,杏仁,陈皮,紫苏,皂角,香附
半夏,天南星,莱菔,瓜蒌仁,枳实,陈皮,紫苏
竹茹,陈皮,郁金,缩砂,菖蒲,苍术,厚朴
杏仁,百药煎,乌梅,黑矾,甘草
半夏,丁香,草豆蔻,白矾
半夏,枳实,陈皮,薄荷,五味子,白豆蔻,砂仁
半夏,硝石,明矾
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,生干蟾,开金锁
蜈蚣,桔梗,钩藤,知柏,僵蚕,全蝎,生耆
贝母,半夏,远志,桔梗,陈皮,五味子,麻黄浸膏
四季青,鼠曲草,干日红,平地木
半夏,竹茹,陈皮,枳实,麦门冬,石膏,人参
天竺黄,钩藤,枳实,生川军,生石决明,牡蛎,黄芩
贝母,桔梗,陈皮,枳实,片芩,砂仁,当归
杏仁,瓜蒌仁,黄连
半夏,杏仁,牡蛎,桂枝,白芍,瓜蒌皮,生姜
半夏,远志,合桃肉,熟附块,五味子,桂枝,破故纸
桔梗,败酱草,栝蒌实,炮干姜,人参,细辛,厚朴
栝楼,白酒700毫升,薤白
山芋,杏仁,栝楼,甘草
半夏,昆布,海藻,陈皮,牡蛎,夏枯草,莪术
半夏,陈皮,龙涎香,伽楠香
贝母,郁金,香附,白芍,人参
半夏,陈皮,当归,白芍,人参,茯苓,白术
海藻,鸡血藤,黄芪,黄精,丹参,玄参
半夏,党参,陈皮,紫河车,茯苓,破故纸,黄耆
半夏,天南星,百药煎,乌梅肉,五味子,明矾,池矾
半夏,天南星,香墨,白附子,芎,杜仲,续断
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,黄芩,黄芩,泽泻,白矾
贝母,桔梗,薄荷,薄荷,诃子,胖大海,连翘
贝母,天竺黄,半夏,胆南星,白芥子,桔梗,葶苈
半夏,杏仁,海粉,栝楼,诃子,青黛,香附
蛤蚧,款冬花,成炼钟乳,白矾,肉桂,甘草
贝母,半夏,莱菔,白芥子,杏仁,桔梗,党参
半夏,陈皮,藿香,人参,茯苓,苍术,厚朴
半夏,陈皮,藿香,厚朴,甘草
半夏,陈皮,藿香,厚朴,甘草
半夏,陈皮,藿香,丁香,茯苓,生姜
半夏,竹茹,陈广皮,青子芩4,青蒿脑4,碧玉散,茯苓
桔梗,僵蚕,天麻,全蝎,麻黄,川芎,白芷
半夏,朱砂,白矾,雄黄
天南星,海藻,海带,琥珀,血竭,木香,京墨
胆南星,朱砂,钩藤,琥珀,薄荷,制军,苏珠
贝母,半夏,石膏,天冬,百合,京知母,血琥珀
天竺黄,天南星,檀香,朱砂,枳实,琥珀,红参
天竺黄,天南星,檀香,金箔,枳实,粉草,水飞朱砂
天竺黄,天南星,朱砂,僵蚕,全蝎,琥珀,丹参
天竺黄,天南星,檀香,金箔,朱砂,枳实,蜂蜜
贝母,天竺黄,胆南星,僵蚕,全蝎,琥珀,飞腰黄
