甘桑椹,枸杞,黄精,麦门冬,天门冬,牛膝,地黄
巴戟,远志,菖蒲,肉苁蓉,枸杞,山药,五味子
朱砂,麝香,苏枋,蓝叶,羚羊角,人参,枳壳
朱砂,琥珀,远志,菖蒲,丹参,白芍,人参
茯神,枣仁,朱砂,琥珀,远志,菖蒲,乳香
朱砂,檀香,天竺黄,琥珀,天南星,山药,枳实
朱砂,天竺黄,琥珀,丹参,天南星,僵蚕,麝香
朱砂,天竺黄,琥珀,珍珠,钩藤,丹参,僵蚕
茯神,远志,菖蒲,天南星,人参,人乳,大辰砂
茯神,枣仁,琥珀,远志,辰砂,犀角,地黄
茯神,远志,羚羊角,人参,真琥珀,甘草
茯神,朱砂,枣仁,琥珀,远志,沉香,当归
茯神,枣仁,巴戟,远志,琥珀,菖蒲,辰砂
琥珀,辰砂,麝香,乳香,没药
茯神,金箔,远志,辰砂,丹参,山药,滑石
朱砂,琥珀,珍珠,丹参,龙涎香,麝香,羚羊角
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,蛇黄,铁粉,天南星,山药,僵蚕,蜈蚣
茯神,朱砂,金箔,天竺黄,丹参,僵蚕,山药
茯神,朱砂,金箔,天竺黄,远志,铁粉,青龙齿
金箔,辰砂,丹参,麝香,天麻,犀角,防风
天竺黄,金箔,龙齿,铁粉,丹参,麝香,龙脑
茯神,朱砂,金箔,远志,龙齿,铁粉,麦门冬
天竺黄,金箔,辰砂,生白龙脑,白矾,皂荚仁,半夏
天竺黄,金箔,辰砂,生白龙脑,白矾,皂荚仁,半夏
茯神,金箔,远志,菖蒲,辰砂,丹参,乌梅肉
茯神,枣仁,合欢花,丹参,郁金,山栀,白芍
辰砂,明矾,天南星,半夏
茯神,枣仁,朱砂,远志,菖蒲,当归,乳香
枣仁,远志,麦门冬,丹参,白芍,阿胶,丹皮
枣仁,远志,麦冬,丹参,泽兰,丹皮,熟地
朱砂,琥珀,钩藤,丹参,牵牛,僵蚕,天麻
钱,熟军,2钱,土鳖虫,自然铜,当归,乳香
朱砂,减半,山栀仁,雄黄,黄芩,黄柏,黄连
大腹子,随风子,谷蘖,石斛,枇杷叶,五味子,薏仁
川姜,天南星,天麻,白附子,半夏,白僵蚕,川乌
茯神,远志,麦冬,菖蒲,钩藤,丹参,胆南星
枣仁,远志,竹茹,五味子,枳实,半夏,地黄
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,朱砂,远志,菖蒲,柏子仁,地黄,当归
茯神,远志,半夏,紫苏,厚朴,茯苓,甘草
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞,当归
川姜,天南星,天麻,白附子,半夏,白僵蚕,川乌
茯神,枣仁,远志,麦冬,白芍,石斛,丹皮
茯神,远志,麦冬,犀角,羚羊角,当归,知母
茯神,巴戟,阳起石,肉苁蓉,黑附子,牛膝,菟丝子
生川连,肉桂心
琥珀,茯苓,香附
檀香,石灰华,榜嘎,丹参,洪连,高山辣根菜,红景天
檀香,石灰华,榜嘎,丹参,洪连,高山辣根菜,红景天
珍珠母,太子参,五味子,山药,女贞子,地骨皮,菟丝子
远志,菖蒲,龟甲,龙骨
茯神,远志,龙齿,麦门冬,天门冬,山药,五味子
枣仁,琥珀,远志,菖蒲,桂枝,牡蛎,龙骨
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
茯神,朱砂,琥珀,丹参,郁金,沉香,柏仁
磁石,石斛,山药,再用酒调成膏,研为膏,搜下项药,缝定
巴戟,灵砂,钟乳,金铃子,肉蔻,葫芦芭,阳起石
辰砂,蝎梢,真麝香1字,蜈蚣,半夏,白僵蚕,人参
干百合,蜂蜜
茯神,枣仁,五味子,半夏,当归,陈皮,人参
茯神,枣仁,金箔,琥珀,远志,菖蒲,辰砂
茯神,枣仁,远志,当归,黄耆,陈皮,罗参
茯神,天竺黄,钩藤,胆南星,防风,贝母,枳壳
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,麝香,人参,黄蓍
茯神,枣仁,朱砂,远志,龙齿,麦门冬,天门冬
茯神,远志,麦冬,菖蒲,丹参,丹参,黄芩
茯神,紫石英,肉苁蓉,芡实,枸杞,韭子,五味子
枣仁,珍珠母,丹参,合欢皮,钩藤,夏枯草,甘草
大朱砂,梅花片,真豆粉,丹参,甘草
珍珠母,水牛角,猪脱氧胆酸,胆酸,板蓝根,金银花,黄芩
枣仁,枫香脂,牛心粉,沉香,丁香,木香,肉豆蔻
菖蒲,乌梅肉,人参,地黄,当归,芍药,川芎
茯神,枣仁,朱砂,远志,牡蛎,人参,益智
枣仁,茯苓,知母,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,丹参,炒柏子仁,龙骨,生地
光明砂,磁石,神曲
琥珀,辰砂,麝香,滴乳,当归,没药,木香
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,麦冬,菖蒲,辰砂,钩藤,丹参
远志,肉苁蓉,巴戟天,山药,五味子,牛膝,菟丝子
枣仁,山药,人参急者用30克,白术,当归,干姜,莲肉
朱砂,琥珀,天南星
朱砂,琥珀,远志,五味子,白芍,胆南星,当归
朱砂,檀香,琥珀,诃子,僵蚕,天麻,麝香
朱砂,檀香,琥珀,诃子,丹参,郁金,僵蚕
茯神,枣仁,远志,辰砂,龙齿,柏子仁,紫石英
枣仁,檀香,石灰华,诃子,诃子,高山辣根菜,紫檀香
朱砂,金箔,琥珀,天南星,半夏,白附子,枯矾
茯神,金箔,远志,铁粉,丹参,丹参,麝香
巴戟,远志,牛膝,菟丝子,地黄,杜仲,车前子
檀香,三,白芷,川芎,甘草,桔梗
枣仁,远志,柏子仁,麦门冬,丹参,五味子,地黄
茯神,枣仁,远志,菖蒲,柏子仁,麦门冬,丹参
枣仁,朱砂,远志,麦冬,菖蒲,柏子仁,丹参
枣仁,五味子,山药,山萸,党参,破故纸60宽,菊花
枣仁,远志,麦门冬,半夏,人参,萆薢,茯苓
葱,乌灵参,酒,鸡,盐,姜
朱砂,丹参,郁金,黄芩,栀子,黄连
枣仁,柏子仁,丹参,丹皮,莲子心,玄参
茯神,麦门冬,龙齿,人参,犀角屑,黄芩,甘草
琥珀,辰砂,枸杞,白芍,青龙齿,党参,柴胡
茯神,珍珠母,丹参,合欢皮,钩藤,夏枯草
小米,红糖,龙眼肉
小米,鸡蛋
枣仁,小米,蜂蜜
朱砂,真珠,半夏,胆南星,脑,麝,人参
天竺黄,菖蒲,胡连,珠粉,煅青礞石,飞朱砂,麝香
辰砂,远志,牡蛎,肉苁蓉,人参,干姜,茯苓
茯神,枣仁,远志,柏子仁,紫石英,白芍,当归
朱砂,钩藤,白术,人参,茯苓,甘草
枣仁,远志,麦门冬,胆南星,地黄,黄耆,当归
葱,白糖,香油,猪心,玉竹,味精,花椒
枣仁,合欢皮,灵芝,女贞子,浮小麦,何首乌,甘草
枣仁,粳米,白糖,夜交藤
远志,茯苓X克,五味子,地黄,黄耆,陈皮,人参
枣仁,麦冬,山药,大茴,大热地,薏仁,建莲肉
茯神,枣仁,柏子仁,丹参,丹皮,当归,枳壳
茯神,枣仁,远志,柏子仁,龙齿,紫石英,阿胶
寒水石,黄金,丁子香,磁石,犀角,羚羊角,沉香
朱砂,柏子仁,紫石英,肉苁蓉,麝香,人参,龙骨
茯神,枣仁,远志,地黄,羚羊角,当归,人参
