半夏,胆南星,党参,钩藤,天麻,全蝎,橘络
贝母,天竺黄,天南星,僵蚕,桔梗,远志,琥珀
贝母,半夏,胆南星,僵蚕,焦三仙,琥珀,钩藤
贝母,胆南星,僵蚕,朱砂,粉草,梅片,钩藤
天南星,僵蚕,琥珀,辰砂,天麻,白附子,全蝎
半夏,天南星,皂角,生姜,白矾
贝母,琥珀,莲肉,枸杞,麦门冬,薏仁,五味子
半夏,杏仁,豆
半夏,甘菊,干蝎,川芎,独活,防风
半夏,陈皮,黑牵牛,京三棱,槟榔,青皮,木香
半夏,天南星,黑牵牛,猪牙皂角,白矾
天南星,木香
半夏,天南星,干姜
贝母,紫菀,百部,杏仁,瓜蒌仁,瓜蒌皮,桔梗
半夏,蝎尾,胡椒,干姜
半夏,桔梗,僵蚕,活蝎子,蝉蜕,麻黄,大黄
款冬花,杏仁,远志,代赭石,胡桃肉,苏子,枸杞
贝母,僵蚕,杏仁,葶苈,苏子,代赭石,陈皮
半夏,杏仁,款冬花,苏子,黄芩,麻黄,白果
半夏,杏仁,款冬花,苏子,黄芩,麻黄,白果
杏仁,陈皮,石膏,五味子,砂仁,麻黄,甘草
贝母,半夏,莱菔,白芥子,杏仁,苏子,陈皮
天竺黄,银箔,金箔,远志,生犀角,龙脑,真珠末
玄明粉,郁金,煅金礞石,生硼砂,姜汁,竹沥膏,朱砂面
半夏,麦芽,陈皮,广荗,川丁皮,荜澄茄,茯苓
半夏,枳实,款冬花,五味子,苦梗,细辛,茯苓
半夏,天南星,薄荷,藿香,寒水石,白蛤粉,人参
半夏,天南星,薄荷,藿香,蛤粉,寒水石,人参
半夏,杏仁,巴豆,马兜铃
贝母,旋复花,杏仁,陈皮,麦冬,石斛,赭石
天南星,龙脑,天麻,白附子,真珠末,犀角,麝香
天竺黄,龙脑,天麻,铅白霜,人参,麝香,茯苓
真珠,龙脑,瑇瑁,犀角,麝香,丹砂,阿胶
贝母,陈皮,菖蒲,麦门冬,五味子,当归,白术
半夏,白檀香,姜黄,丁香,生姜,人参,白术
半夏,紫团参,鳖甲,甘草,阿胶
贝母,半夏,杏仁,紫苏,紫苏,葶苈,瓜蒌皮
半夏,广皮,茯苓,甘草,羌活,防风
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,陈皮,胆草,茯苓
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,广皮,茯苓,苍术,甘草,厚朴
半夏,陈皮,苏梗,茯苓,甘草,厚朴
半夏,枳实,陈皮,香附,当归,川芎,茯苓
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,紫菀,杏仁,款冬花,百合,麦门冬,罂粟壳
贝母,半夏,陈皮,茯苓,甘草,知母
贝母,麦门冬,知母,天门冬
半夏,天南星,桔梗,僵蚕,陈皮,菖蒲,苏梗
天竺黄,百部,竹茹,瓜蒌仁,陈皮,麦冬,天冬
贝母,麦冬,知母,天门冬
贝母,提麦冬,淡天冬,北沙参,南沙参,知母
竹茹,远志,菖蒲,泽泻,牡蛎,白芍,茯苓
半夏,天南星,白僵蚕,飞过枯矾
半夏,陈皮,黑附子,白姜,草果子,甘草,厚朴
贝母,桔梗,陈皮,元参,花粉,前胡,黄芩
贝母,桔梗,陈皮,芍药,花粉,前胡,黄芩
半夏,天麻,茯苓,人参,独活,芎,白芷
贝母,半夏,玉竹,广皮,麦冬,天冬,蛤粉
半夏,陈皮,茯苓,甘草
山芋,远志,桔梗,陈皮,五味子,麦门冬,芍药
贝母,杏仁,葶苈,桔梗,代赭石,陈皮,旋覆花
鱼腥草,黄芪,党参,铁树叶,陈皮,白花蛇舌草,薏仁
贝母,贝母,半夏,半夏,白芥子,杏仁,瓜蒌皮
贝母,竹茹,蒌仁,郁金,麦冬,石膏,石斛
半夏,黑牵牛子,粉霜,白矾
硼砂,陈皮,五味子,薄荷,乌梅,甘草
片脑,芽茶,白檀香末,白豆蔻末
贝母,半夏,桔梗,玄明粉,陈皮,神曲,香附
贝母,半夏,桔梗,玄明粉,陈皮,神曲,香附
半夏
半夏,檀香,百药煎,薄荷,陈皮,乌梅肉,沉香
半夏,天南星,皂角,干姜,白矾
半夏,天南星,杏仁,紫苏,陈皮,皂角,萝卜子
半夏,天南星,莱菔,瓜蒌仁,紫苏,枳实,陈皮
