甘桑椹,黄精,枸杞,麦门冬,天门冬,牛膝,地黄
远志,巴戟,菖蒲,肉苁蓉,枸杞,山药,地黄
朱砂,蓝叶,苏枋,麝香,人参,羚羊角,枳壳
朱砂,远志,琥珀,菖蒲,丹参,白芍,人参
茯神,枣仁,远志,朱砂,琥珀,菖蒲,人参
天竺黄,檀香,朱砂,琥珀,山药,天南星,枳实
天竺黄,朱砂,琥珀,丹参,天南星,僵蚕,麝香
朱砂,天竺黄,琥珀,珍珠,钩藤,丹参,天麻
茯神,远志,菖蒲,天南星,人参,大辰砂,人乳
茯神,枣仁,远志,琥珀,辰砂,地黄,犀角
茯神,远志,人参,羚羊角,真琥珀,甘草
茯神,枣仁,朱砂,远志,琥珀,沉香,当归
茯神,枣仁,远志,琥珀,巴戟,菖蒲,辰砂
辰砂,琥珀,麝香,乳香,没药
茯神,远志,金箔,辰砂,丹参,山药,人参
朱砂,琥珀,珍珠,丹参,麝香,龙涎香,羚羊角
红糖,粳米,合欢花
鸡蛋,去芯莲子,山药,芡实
朱砂,铁粉,蛇黄,山药,天南星,僵蚕,蜈蚣
茯神,天竺黄,朱砂,金箔,丹参,山药,胆南星
茯神,天竺黄,远志,朱砂,金箔,铁粉,青龙齿
辰砂,金箔,丹参,天麻,麝香,防风,犀角
天竺黄,金箔,铁粉,龙齿,丹参,麝香,丹砂
茯神,远志,金箔,朱砂,铁粉,麦门冬,龙齿
天竺黄,金箔,辰砂,生白龙脑,白矾,皂荚仁,半夏
天竺黄,金箔,辰砂,生白龙脑,白矾,皂荚仁,半夏
茯神,远志,金箔,辰砂,菖蒲,丹参,乌梅肉
茯神,枣仁,丹参,合欢花,山栀,白芍,郁金
辰砂,明矾,天南星,半夏
茯神,枣仁,远志,朱砂,菖蒲,人参,乳香
枣仁,远志,麦门冬,丹参,白芍,阿胶,熟地
枣仁,远志,麦冬,丹参,熟地,丹皮,蝉蜕
朱砂,琥珀,丹参,钩藤,天麻,牵牛,胆南星
土鳖虫,钱,熟军,2钱,自然铜,乳香,当归
朱砂,减半,山栀仁,雄黄,黄芩,黄柏,黄连
谷蘖,随风子,石斛,大腹子,枇杷叶,薏仁,五味子
川姜,天麻,天南星,白附子,白僵蚕,半夏,川乌
茯神,远志,菖蒲,麦冬,钩藤,丹参,胆南星
枣仁,远志,竹茹,地黄,五味子,人参,半夏
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,远志,朱砂,菖蒲,柏子仁,地黄,人参
茯神,远志,半夏,茯苓,紫苏,甘草,厚朴
茯神,枣仁,琥珀,菖蒲,肉苁蓉,枸杞,龙骨
川姜,天麻,天南星,白附子,白僵蚕,半夏,川乌
茯神,枣仁,远志,麦冬,石斛,白芍,丹皮
茯神,远志,麦冬,犀角,羚羊角,当归,知母
茯神,巴戟,阳起石,肉苁蓉,黑附子,牛膝,干姜
生川连,肉桂心
琥珀,茯苓,香附
檀香,石灰华,高山辣根菜,洪连,榜嘎,红景天,丹参
檀香,石灰华,高山辣根菜,洪连,榜嘎,红景天,丹参
珍珠母,太子参,山药,地黄,五味子,女贞子,地骨皮
远志,菖蒲,龟甲,龙骨
茯神,远志,麦门冬,龙齿,天门冬,山药,地黄
枣仁,远志,琥珀,菖蒲,桂枝,牡蛎,龙骨
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
茯神,朱砂,琥珀,丹参,郁金,沉香,灯心100厘米
石斛,搜下项药,入银石器内水熬烂,先将猪肚净洗,锉,面,入先洗猪肚内
巴戟,葫芦芭,肉蔻,灵砂,金铃子,钟乳,阳起石
辰砂,真麝香1字,蝎梢,蜈蚣,人参,白僵蚕,半夏
干百合,蜂蜜
茯神,枣仁,五味子,人参,半夏,当归,陈皮
茯神,枣仁,远志,琥珀,金箔,辰砂,菖蒲
茯神,枣仁,远志,黄耆,当归,陈皮,罗参
茯神,天竺黄,钩藤,胆南星,防风,贝母,枳壳
羊心,食盐,鲜玫瑰花
茯神,远志,辰砂,山药,麝香,人参,黄蓍
茯神,枣仁,远志,朱砂,龙齿,麦门冬,天门冬
茯神,远志,菖蒲,麦冬,丹参,丹参,黄芩
茯神,肉苁蓉,紫石英,枸杞,芡实,韭子,地黄
珍珠母,枣仁,丹参,钩藤,合欢皮,夏枯草,甘草
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,水牛角,板蓝根,胆酸,猪脱氧胆酸,金银花,黄芩
枣仁,牛心粉,沉香,枫香脂,丁香,木香,肉豆蔻
菖蒲,乌梅肉,地黄,人参,当归,芍药,川芎
茯神,枣仁,远志,朱砂,牡蛎,人参,益智
枣仁,茯苓,知母,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,丹参,龙骨,生地,炒柏子仁
光明砂,磁石,神曲
辰砂,琥珀,麝香,滴乳,当归,没药,木香
铁粉,蛇黄,使君子仁,天南星,茯苓
茯神,远志,辰砂,菖蒲,麦冬,钩藤,丹参
远志,白酒,肉苁蓉,山药,巴戟天,地黄,牛膝
枣仁,山药,人参急者用30克,白术,干姜,当归,莲肉
朱砂,琥珀,天南星
朱砂,远志,琥珀,胆南星,白芍,五味子,人参
朱砂,檀香,琥珀,诃子,天麻,僵蚕,麝香
朱砂,檀香,琥珀,诃子,丹参,天麻,僵蚕
茯神,枣仁,远志,辰砂,龙齿,柏子仁,紫石英
枣仁,檀香,石灰华,高山辣根菜,诃子,诃子,紫檀香
朱砂,琥珀,金箔,天南星,白附子,枯矾,半夏
茯神,远志,金箔,铁粉,丹参,丹参,麝香
远志,巴戟,牛膝,地黄,菟丝子,杜仲,车前子
檀香,三,白芷,甘草,桔梗,川芎
枣仁,远志,麦门冬,丹参,柏子仁,地黄,五味子
茯神,枣仁,远志,菖蒲,麦门冬,柏子仁,天门冬
枣仁,远志,朱砂,菖蒲,麦冬,柏子仁,丹参
枣仁,山药,五味子,破故纸60宽,山萸,党参,茯苓
枣仁,远志,麦门冬,人参,半夏,桂心,萆薢
葱,乌灵参,鸡,酒,盐,姜
朱砂,丹参,郁金,黄芩,栀子,黄连
枣仁,丹参,柏子仁,丹皮,莲子心,玄参
茯神,麦门冬,龙齿,人参,犀角屑,甘草,黄芩
辰砂,琥珀,枸杞,青龙齿,白芍,党参,赤芍
茯神,珍珠母,丹参,钩藤,合欢皮,夏枯草
小米,红糖,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,真珠,脑,半夏,人参,麝
天竺黄,菖蒲,胡连,胆南星,珠粉,煅青礞石,飞朱砂
远志,辰砂,牡蛎,肉苁蓉,人参,干姜,茯苓
茯神,枣仁,远志,柏子仁,紫石英,白芍,人参
朱砂,钩藤,人参,白术,茯苓,甘草
枣仁,远志,麦门冬,胆南星,地黄,人参,黄耆
葱,白糖,味精,香油,花椒,食盐,玉竹
枣仁,合欢皮,女贞子,灵芝,浮小麦,何首乌,甘草
枣仁,白糖,粳米,夜交藤
远志,茯苓X克,五味子,地黄,人参,陈皮,黄耆
枣仁,麦冬,山药,薏仁,大茴,桂圆肉,当归
茯神,枣仁,柏子仁,丹参,丹皮,枳壳,当归
茯神,枣仁,远志,柏子仁,龙齿,紫石英,阿胶
丁子香,寒水石,黄金,磁石,犀角,羚羊角,沉香
朱砂,柏子仁,肉苁蓉,紫石英,麝香,人参,龙骨
茯神,枣仁,远志,地黄,人参,羚羊角,当归
