半夏,胆南星,天麻,党参,橘络,钩藤,全蝎
贝母,天竺黄,天南星,桔梗,远志,陈皮,天麻
贝母,半夏,胆南星,焦三仙,陈皮,天麻,琥珀
贝母,胆南星,朱砂,陈皮,天麻,梅片,菖蒲
天南星,辰砂,天麻,琥珀,僵蚕,全蝎,白附子
半夏,天南星,白矾,皂角,生姜
贝母,琥珀,麦门冬,莲肉,薏仁,五味子,枸杞
半夏,杏仁,豆
半夏,甘菊,川芎,干蝎,独活,防风
半夏,陈皮,黑牵牛,京三棱,青皮,槟榔,大黄
半夏,天南星,黑牵牛,白矾,猪牙皂角
天南星,木香
半夏,天南星,干姜
贝母,紫菀,百部,杏仁,桔梗,瓜蒌仁,玄明粉
半夏,蝎尾,胡椒,干姜
半夏,桔梗,僵蚕,活蝎子,麻黄,蝉蜕,羌活
款冬花,杏仁,远志,苏子,代赭石,胡桃肉,五味子
贝母,杏仁,葶苈,陈皮,苏子,代赭石,枇杷叶
半夏,款冬花,杏仁,苏子,麻黄,黄芩,白果
半夏,款冬花,杏仁,苏子,麻黄,黄芩,白果
杏仁,陈皮,石膏,砂仁,麻黄,五味子,甘草
贝母,半夏,莱菔,白芥子,杏仁,陈皮,苏子
天竺黄,银箔,真珠末,生犀角,金箔,远志,龙脑
玄明粉,姜汁,生硼砂,竹沥膏,朱砂面,煅金礞石,郁金
半夏,麦芽,陈皮,川丁皮,广荗,青皮,荜澄茄
半夏,款冬花,枳实,五味子,苦梗,麻黄,茯苓
半夏,天南星,薄荷,寒水石,藿香,白矾,白蛤粉
半夏,天南星,薄荷,寒水石,藿香,白矾,蛤粉
半夏,杏仁,巴豆,马兜铃
贝母,旋复花,杏仁,陈皮,麦冬,石斛,杭菊
天南星,真珠末,天麻,龙脑,丹参,白附子,犀角
天竺黄,天麻,龙脑,丹参,丹砂,铅白霜,麝香
真珠,龙脑,瑇瑁,犀角,丹砂,麝香,阿胶
贝母,陈皮,菖蒲,丹参,麦门冬,五味子,当归
半夏,白檀香,姜黄,丁香,生姜,白术,人参
半夏,紫团参,鳖甲,甘草,阿胶
贝母,半夏,杏仁,紫苏,紫苏,葶苈,青礞石
半夏,广皮,茯苓,羌活,甘草,防风
杏仁,桔梗,麻黄
半夏,昆布,白芥子,海藻,陈皮,胆草,茯苓
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,广皮,茯苓,苍术,甘草,厚朴
半夏,陈皮,苏梗,茯苓,甘草,厚朴
半夏,陈皮,枳实,香附,川芎,当归,茯苓
半夏,陈皮,茯苓,甘草
贝母,石膏,知母
贝母,款冬花,紫菀,杏仁,百合,麦门冬,罂粟壳
贝母,半夏,陈皮,知母,茯苓,甘草
贝母,麦门冬,知母,天门冬
半夏,天南星,桔梗,陈皮,菖蒲,僵蚕,川朴
天竺黄,竹茹,百部,陈皮,瓜蒌仁,麦冬,天冬
贝母,麦冬,知母,天门冬
贝母,淡天冬,提麦冬,南沙参,北沙参,知母
竹茹,远志,菖蒲,牡蛎,泽泻,茯苓,山药
半夏,天南星,白僵蚕,飞过枯矾
半夏,陈皮,黑附子,白姜,草果子,甘草,厚朴
贝母,桔梗,陈皮,元参,赤芍,花粉,前胡
贝母,桔梗,陈皮,花粉,前胡,芍药,黄芩
半夏,天麻,茯苓,独活,人参,芎,白芷
贝母,半夏,玉竹,南沙参,广皮,麦冬,北沙参
半夏,陈皮,茯苓,甘草
山芋,远志,陈皮,桔梗,麦门冬,五味子,芍药
贝母,杏仁,桔梗,葶苈,陈皮,代赭石,旋覆花
鱼腥草,黄芪,陈皮,党参,铁树叶,白花蛇舌草,薏仁
贝母,贝母,半夏,半夏,白芥子,杏仁,苏子
贝母,竹茹,蒌仁,郁金,石膏,麦冬,菊花炭
半夏,黑牵牛子,粉霜,白矾
陈皮,硼砂,薄荷,乌梅,五味子,甘草
片脑,白檀香末,白豆蔻末,芽茶
贝母,半夏,桔梗,陈皮,玄明粉,香附,神曲
贝母,半夏,桔梗,陈皮,玄明粉,香附,神曲
半夏
半夏,檀香,百药煎,陈皮,薄荷,乌梅肉,五味子
半夏,天南星,白矾,皂角,干姜
半夏,天南星,杏仁,紫苏,陈皮,香附,皂角
半夏,天南星,莱菔,紫苏,陈皮,瓜蒌仁,枳实
竹茹,陈皮,菖蒲,郁金,缩砂,苍术,厚朴
杏仁,百药煎,乌梅,黑矾,甘草
半夏,丁香,白矾,草豆蔻
半夏,陈皮,薄荷,枳实,白豆蔻,五味子,丁香
半夏,硝石,明矾
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,生干蟾,开金锁
蜈蚣,桔梗,僵蚕,知柏,全蝎,钩藤,丹参
贝母,半夏,桔梗,远志,陈皮,五味子,麻黄浸膏
四季青,鼠曲草,干日红,平地木
半夏,竹茹,陈皮,枳实,麦门冬,石膏,茯苓
天竺黄,生川军,生石决明,枳实,钩藤,牡蛎,黄芩
贝母,桔梗,陈皮,片芩,枳实,砂仁,当归
杏仁,瓜蒌仁,黄连
半夏,杏仁,牡蛎,桂枝,瓜蒌皮,生姜,枣仁
半夏,远志,合桃肉,熟附块,五味子,桂枝,白术
败酱草,桔梗,栝蒌实,炮干姜,细辛,人参,厚朴
山芋,杏仁,栝楼,甘草
半夏,昆布,海藻,陈皮,夏枯草,牡蛎,青皮
半夏,陈皮,龙涎香,伽楠香
贝母,郁金,香附,人参,白芍
半夏,陈皮,当归,茯苓,白术,人参,甘草
海藻,黄芪,鸡血藤,黄精,丹参,玄参
半夏,陈皮,党参,黄耆,紫河车,茯苓,白术
半夏,天南星,百药煎,明矾,乌梅肉,五味子,池矾
半夏,天南星,香墨,白附子,芎,杜仲,续断
贝母,半夏,杏仁,皂荚,知母
半夏,天南星,陈皮,泽泻,黄芩,黄芩,白矾
贝母,桔梗,薄荷,薄荷,诃子,川芎,胖大海
贝母,天竺黄,半夏,胆南星,白芥子,葶苈,桔梗
半夏,杏仁,海粉,栝楼,香附,诃子,青黛
款冬花,成炼钟乳,蛤蚧,白矾,肉桂,甘草
贝母,半夏,莱菔,白芥子,杏仁,桔梗,苏子
半夏,陈皮,藿香,茯苓,苍术,人参,甘草
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,藿香,甘草,厚朴
半夏,陈皮,丁香,藿香,生姜,茯苓
半夏,竹茹,陈广皮,碧玉散,青子芩4,青蒿脑4,茯苓
桔梗,僵蚕,天麻,全蝎,川芎,麻黄,甘草
半夏,朱砂,白矾,雄黄
天南星,海藻,海带,琥珀,血竭,京墨,麝香
胆南星,朱砂,琥珀,薄荷,钩藤,地龙,制军
贝母,半夏,百合,石膏,天冬,京知母,血琥珀
天竺黄,天南星,檀香,朱砂,琥珀,枳实,红参
天竺黄,天南星,檀香,金箔,枳实,粉草,水飞朱砂
天竺黄,天南星,朱砂,琥珀,丹参,僵蚕,全蝎
天竺黄,天南星,檀香,金箔,朱砂,蜂蜜,琥珀
贝母,天竺黄,胆南星,琥珀,僵蚕,全蝎,飞腰黄
天竺黄,胆南星,辰砂,琥珀,月石,腰黄,沉香
天竺黄,天南星,辰砂,真麝香,琥珀,僵蚕,钩藤
贝母,天竺黄,胆南星,桔梗,朱砂,天麻,琥珀
天南星,远志,菖蒲,大辰砂,人乳,茯神,真琥珀
贝母,天竺黄,青礞石,月石,伽楠香,羚羊角,枣仁
贝母,青礞石,月石,天竹黄,沉香,羚羊角,枣仁
远志,金箔,辰砂,桔梗,麝香3厘,甘松,丹参
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,昆布,海藻,海带,陈皮,川芎
昆布,海藻,柴胡,小麦,龙胆草
海石,香附
海石,石礞,蚶壳,红花,香附,桃仁,莪术
透骨草,烧酒,老葱胡,马前子,三七,川羌,红花
半夏,昆布,陈皮,红花,川芎,青皮,当归
半夏,陈皮,川芎,当归,茯苓,地黄,甘草
贝母,桔梗,麦冬,枸杞,桃仁,黄芩,青皮
天竺黄,朱砂,油松节,天麻,梅片,白蔻,盔沉香
半夏,旋覆花,麦门冬,枳实,桂心,防己,芍药
葶苈,杏仁,蛤蚧,商陆,防己,麻黄,茯苓
白芥子,陈皮,上肉桂,全丝瓜,白僵蚕,麻黄,莪术
天竺黄,天南星,桔梗,陈皮,天麻,薄荷,僵蚕
半夏,丁香,生姜,枣仁,甘草,厚朴
杏仁,陈皮,紫苏,麻黄,茯苓,桑白皮,甘草
天南星,天麻,全蝎,粉草,川芎,荆芥,独活
天南星,天麻,全蝎,粉草,川芎,荆芥,独活
半夏,天南星,寒水石,白附子,皂角,白矾,干生姜
天南星,蒌仁,陈皮,陈皮,元芩,海浮石,清夏
贝母,半夏,昆布,海藻,海带,枳实,牡蛎
半夏,桔梗,茯苓,干姜
半夏,天南星,杏仁,紫苏,陈皮,麦蘖,香附
半夏,天南星,明矾,白附子
半夏,天南星,白矾,皂角,生姜
半夏,天南星,巴豆,枯矾,干姜,滑石
半夏,天南星,杏仁,紫苏,陈皮,瓜蒌仁,香附
半夏,杏仁,葶苈,桔梗,陈皮,旋覆花,五味子
半夏,紫苏,葶苈,桔梗,硼砂,陈皮,旋覆花
半夏,天南星,辰砂,陈皮,腻粉,皂,人参
半夏,紫菀,杏仁,桔梗,葶苈,陈皮,五味子
贝母,紫菀,款冬花,杏仁,桔梗,葶苈,陈皮
半夏,款冬花,杏仁,葶苈,桔梗,陈皮,旋覆花
檀香,柿霜,紫苏,硼砂,白冰糖,白葛粉,薄荷
半夏,紫菀,杏仁,葶苈,桔梗,瓜蒌仁,远志
天南星,真麝香,直僵蚕,明天麻,代赭石,赤金箔,净全蝎
半夏,陈皮,黑牵牛,京三棱,青皮,槟榔,大黄
天南星,蜈蚣,朱砂,蝉壳,僵蚕,全蝎,蛇黄
天竺黄,胆南星,金箔,真麝香,朱砂,片脑,丹参
半夏,天南星,金箔,天麻,龙脑,丁香,白矾
半夏,旋覆花,前胡,芍药,麻黄,荆芥,甘草
半夏,陈皮,当归,茯苓,甘草,熟地
贝母,半夏,天南星,葶苈,瓜蒌仁,桔梗,麦芽
半夏,天南星,白矾,皂角
白芥子,透骨草,片姜黄,鸡血藤膏,僵蚕,橘络,菖蒲
半夏,天麻,杭白菊,夏枯草,牡蛎,秦艽,葛根
海粉,陈皮,桔梗,瓜蒌仁,丹参,香附,青黛
天南星,陈皮,天麻,川芎,当归,羚羊角,羌活
天南星,远志,天麻,菖蒲,僵蚕,全蝎,白附子
贝母,半夏,杏仁,紫苏,桔梗,陈皮,花粉
贝母,杏仁,紫苏,桔梗,陈皮,石膏,麻黄
贝母,半夏,杏仁,紫苏,桔梗,陈皮,花粉
贝母,紫菀,小蓟,桃仁,甘草,枳壳,丹皮
海藻,黄芪,党参,大青叶,板蓝根,丹参,柴胡
贝母,陈皮,薄荷,麦门冬,香附,柴胡,当归
贝母,桔梗,远志,广皮,柴胡,银花,赤苓
贝母,半夏,紫菀,款冬花,杏仁,桔梗,远志
贝母,半夏,紫菀,款冬花,杏仁,紫苏,桔梗
贝母,半夏,紫菀,杏仁,陈皮,马兜铃,五味子
贝母,杏仁,陈皮,五味子,白矾,净金灯,米壳
贝母,半夏,紫菀,款冬花,杏仁,紫苏,桔梗
贝母,半夏,紫菀,杏仁,桔梗,陈皮,陈皮
粳米,陈皮
半夏,莱菔,陈皮,香附,神曲,山楂,川芎
半夏,陈皮,枳实,白术
半夏,桔梗,陈皮,黑山栀,黄芩,茯苓,黄连
紫菀,鱼腥草,四季青,金荞麦,前胡,麻黄,甘草
天竺黄,胆南星,朱砂,天麻,薄荷,钩藤,僵蚕
杏仁,米仁,麦门冬,百合,五味子,知母,人参
半夏,天南星,白芥子,杏仁,桔梗,麦芽,瓜蒌仁
贝母,杏仁,桔梗,片芩,石膏,麻黄,知母
半夏,杏仁,小枳实,1,栝楼,石膏,广皮红
半夏,杏仁,桔梗,陈皮,五味子,麻黄,桂枝
半夏,广皮,青皮,草果,生姜,人参
半夏,桔梗,黄芩,黄柏,黄连,大黄,人参
半夏,桔梗,陈皮,柴胡,黄芩,当归,茯苓
半夏,陈皮,粉草,香附,茯苓,益智,人参
半夏,三七,党参,干姜炭,枳实,牡蛎,桂枝
贝母,党参,麦冬,五味子,山药,沙参,熟地
紫菀,旋复花,桔梗,陈皮,嫩苏梗,香附,白前
半夏,陈皮,五味子,茯苓,细辛,白术,干姜
半夏,竹茹,桔梗,陈皮,枳实,麦冬,香附
半夏,竹茹,陈皮,丹参,枳实,钩藤,生磁石
杏仁,远志,陈皮,佩兰,羚羊粉,琥珀粉,郁金
半夏,紫苏,陈皮,北梗,辣桂,槟榔,茯苓
半夏,紫苏,远志,茯神,茯苓,甘草,厚朴
半夏,天南星,陈皮,枳实,益智仁,神曲,白豆蔻
半夏,紫苏,菖蒲,茯苓,木香,白芷,厚朴
杏仁,陈皮,玫瑰花,生瓦楞,藕节,刀豆子,代赭石
半夏,海藻,陈皮,党参,夏枯草,蛇六谷,炒白芍
半夏,桔梗,枳实,香附,前胡,茯苓,白术
款冬花,杏仁,桔梗,枇杷叶,麦冬,前胡,黄芩
半夏,昆布,海藻,陈皮,白僵蚕,当归,白术
半夏,竹茹,桔梗,陈皮,当归,茯苓,黄连
半夏,陈皮,茅术,生姜,茯苓,甘草,枳壳
玄明粉,硼砂,柿霜,白粉,薄荷,寒水石,乌梅肉
胆南星,陈皮,小枳实,苏叶子,蒌子,羚羊,蒌皮
竹茹,焦三仙,陈皮,干青果
胆南星,陈皮,天麻,全蝎,郁金,菖蒲,僵蚕
贝母,海藻,元参,皂刺,漏芦,香附,柴胡
半夏,黄芩,桂枝,麻黄,细辛,干姜,甘草
半夏,天南星,辰砂,桔梗,陈皮,栝楼,枳实
贝母,半夏,陈皮,柴胡,黄耆,黄芩,当归
贝母,半夏,天南星,陈皮,栝楼,枳实,香附
百部,穿心莲,玉竹,葎草,黄精,白及
半夏,半夏,紫苏,桔梗,陈皮,净洗,藿香
杏仁,陈皮,薄荷,苏叶,桂枝,麻黄,茯苓
葶苈,杏仁,百合,石膏,天冬,木通,桑白皮
半夏,醋2500毫升
款冬花,钟乳粉,川姜,白术,甘草,人参
款冬花,杏仁,麻黄,甘草
陈皮,玄胡,川朴,榔片,生芍,巴豆,灵脂
半夏,桔梗,桂,枳壳
半夏,天南星,葶苈,枳实,黑牵牛,白矾,或加旋复花
半夏,大腹子,京三棱,青皮,木香
生龙脑,生犀角,朱砂,麦门冬,石膏,川芎,细辛
生龙脑,生犀角,朱砂,麦门冬,石膏,川芎,细辛
鸡苏叶,紫苏,桔梗,龙脑,黍粘子,瓜蒌根,荆芥
半夏,天南星,草龙脑,白矾
半夏,附片,牡蛎,生姜,茯苓,白术,龙骨
白芥子,杏仁,瓜蒌皮,紫苏,蛤壳,石膏,龙延香
白芥子,杏仁,瓜蒌皮,紫苏,回克,蛤壳,石膏
白芥子,杏仁,紫苏,瓜萎皮,蛤壳,丹参,石膏
青礞石,硼砂,万年干,石膏
桔梗,京元参,细川连,淡条芩,上广皮,香附,甘草
紫菀,款冬花,杏仁,紫苏,桔梗,五味子,桑白皮
粳米,新鲜萝卜约
贝母,莱菔,冰糖,白糖,白果仁,豆腐皮
莱菔,粳米
莱菔
贝母,款冬花,鹅管石,肉桂,甘草
缩砂仁,巴豆,乌梅,丁香,胡椒
葶苈,杏仁,桔梗,陈皮,马兜铃,茯苓
半夏,桔梗,陈皮,党参,苏叶,前胡,黄芩
半夏,苏子,茯苓,白术,干姜,甘草,人参
半夏,茯苓,白术,干姜,甘草,人参
贝母,萝卜,麦冬,鲜藕,鲜姜,秋梨
半夏,香附,草乌,茴香,细辛,茯苓
莱菔,桔梗,麦芽,陈皮,果仁,制野军,茅术
贝母,桔梗,元参,薄荷,石膏,花粉,牛蒡
半夏,紫菀,胆南星,款冬花,杏仁,生白矾,生乌
半夏,杏仁,陈皮,茯苓,甘草
半夏,陈皮,茯苓,白术,人参,甘草
半夏,款冬花,杏仁,苏子,麻黄,黄芩,桑白皮
半夏,明天麻,钩藤钩,广红皮,清炙草,川芎,荆芥
贝母,杏仁,陈皮,石膏,麻黄,牛蒡,甘草
半夏,杏仁,豆腐1小块,麻黄,甘草
半夏,莱菔,白芥子,杏仁,陈皮,苏子,茶叶
半夏,杏仁,巴豆,马兜铃
蜂蜜,白萝卜
远志,陈皮,罗参,粉草,莲肉,黄耆,当归
贝母,天竺黄,胆南星,桔梗,陈皮,明天麻,薄荷
半夏,桔梗,陈皮,皂刺,大力子,重楼,当归
梅花脑,牙硝,硼砂,五,寒水石,麝香,甘草
梅花脑,牙消,硼砂,寒水石,麝香,甘草
贝母,麦冬,枇杷叶,莲子,天冬,枣仁,玄参
粳米,冰糖,枇杷叶
粳米,冰糖,枇杷叶
半夏,莱菔,麦芽,陈皮,枳实,香附,神曲
半夏,天南星,枳实,黄芩,礞石,法制消
半夏,竹茹,旋复花,胆草,黄芩,黄连,枳壳
贝母,半夏,杏仁,桔梗,陈皮,瓜蒌仁,石膏
贝母,半夏,紫菀,杏仁,桔梗,百合,防己
紫菀,百部,白芥子,苏子,剖麦冬,东白薇,牛蒡
贝母,桔梗,陈皮,瓜蒌仁,麦门冬,黄芩,知母
半夏,陈皮,神曲,香附,川芎,苍术,茯苓
半夏,陈皮,神曲,香附,川芎,苍术,茯苓
贝母,胆南星,海石,陈皮,木通
半夏,乌梅,良姜,青皮,草果,甘草,厚朴
葶苈,杏仁,丹参,地龙,石膏,麻黄,牛蒡
贝母,桔梗,前胡,花粉,黄芩,知母,黄柏
贝母,天竺黄,紫菀,鱼腥草,杏仁,陈皮,元参
贝母,杏仁,鱼腥草,桔梗,败酱草,薏仁,黄芩
昆布,海粉,牙皂,芦荟,川芎,青皮,当归
贝母,海藻,僵蚕,夏枯草,柴胡,昆布海带,当归
半夏,白芥子,桔梗,苏子,枳实,蝉衣,柴胡
檀香,薄荷,石膏,荆芥,细辛,羌活,甘草
檀香,四,一了,二,薄荷,石膏,荆芥
檀香,薄荷,石膏,荆芥,细辛,羌活,甘草
半夏,瓜蒌仁,香附,黄芩,苍术,黄连
贝母,半夏,天南星,白芥子,陈皮,玄明粉,枳实
半夏,天南星,杏仁,陈皮,枳实,黄芩,瓜蒌仁霜
半夏,天南星,莱菔,海粉,麦芽,瓜蒌仁,陈皮
