贝母,胆南星,梅片,朱砂,粉草,钩藤,天麻
天南星,天麻,辰砂,僵蚕,白附子,琥珀,全蝎
半夏,天南星,皂角,白矾,生姜
贝母,五味子,琥珀,莲肉,枸杞,麦门冬,薏仁
半夏,杏仁,豆
半夏,甘菊,独活,干蝎,川芎,防风
半夏,陈皮,京三棱,黑牵牛,木香,槟榔,大黄
半夏,天南星,黑牵牛,白矾,猪牙皂角
天南星,木香
半夏,天南星,干姜
贝母,紫菀,瓜蒌仁,百部,杏仁,桔梗,柿霜
半夏,蝎尾,胡椒,干姜
半夏,桔梗,僵蚕,活蝎子,蝉蜕,麻黄,甘草
款冬花,杏仁,远志,苏子,代赭石,五味子,胡桃肉
贝母,杏仁,葶苈,陈皮,苏子,代赭石,僵蚕
半夏,款冬花,杏仁,苏子,黄芩,麻黄,白果
半夏,款冬花,杏仁,苏子,黄芩,麻黄,白果
杏仁,陈皮,五味子,石膏,砂仁,麻黄,甘草
陈皮,桔梗,五味子,石膏,麻黄,木香
贝母,半夏,莱菔,杏仁,白芥子,苏子,陈皮
天竺黄,银箔,生犀角,远志,金箔,真珠末,龙脑
玄明粉,姜汁,竹沥膏,朱砂面,生硼砂,煅金礞石,郁金
朱砂,天麻,薄荷,细辛,甘草,川芎,白芷
半夏,陈皮,麦芽,广荗,荜澄茄,川丁皮,茯苓
半夏,款冬花,五味子,人参,枳实,苦梗,细辛
半夏,天南星,藿香,薄荷,寒水石,人参,白矾
半夏,天南星,藿香,薄荷,寒水石,人参,白矾
半夏,杏仁,马兜铃,巴豆
贝母,旋复花,杏仁,陈皮,麦冬,石斛,杭菊
天南星,龙脑,天麻,真珠末,白附子,丹参,犀角
天竺黄,龙脑,天麻,丹参,人参,丹砂,铅白霜
龙脑,真珠,瑇瑁,犀角,丹砂,麝香,阿胶
贝母,陈皮,菖蒲,五味子,丹参,麦门冬,当归
半夏,白檀香,姜黄,丁香,人参,白术,甘草
半夏,紫团参,鳖甲,甘草,阿胶
贝母,半夏,杏仁,葶苈,青礞石,紫苏,紫苏
半夏,广皮,甘草,羌活,茯苓,防风
杏仁,桔梗,麻黄
半夏,海藻,昆布,白芥子,胆草,陈皮,甘草
半夏,陈皮,甘草,茯苓
半夏,陈皮,甘草,茯苓
半夏,广皮,甘草,茯苓,厚朴,苍术
半夏,陈皮,甘草,茯苓,苏梗,厚朴
半夏,陈皮,枳实,香附,当归,甘草,川芎
半夏,陈皮,甘草,茯苓
贝母,石膏,知母
贝母,紫菀,款冬花,杏仁,麦门冬,百合,罂粟壳
贝母,半夏,陈皮,甘草,茯苓,知母
贝母,麦门冬,知母,天门冬
半夏,天南星,桔梗,陈皮,菖蒲,僵蚕,川朴
天竺黄,竹茹,瓜蒌仁,百部,陈皮,天冬,麦冬
贝母,麦冬,知母,天门冬
贝母,提麦冬,南沙参,淡天冬,北沙参,知母
竹茹,远志,菖蒲,牡蛎,泽泻,白芍,山药
半夏,天南星,白僵蚕,飞过枯矾
半夏,陈皮,黑附子,白姜,草果子,甘草,厚朴
贝母,桔梗,陈皮,元参,黄芩,前胡,花粉
贝母,桔梗,陈皮,芍药,黄芩,前胡,花粉
半夏,天麻,人参,独活,芎,茯苓,白芷
贝母,半夏,天冬,玉竹,麦冬,南沙参,北沙参
半夏,陈皮,甘草,茯苓
山芋,远志,陈皮,桔梗,五味子,麦门冬,芍药
贝母,杏仁,葶苈,桔梗,陈皮,代赭石,旋覆花
鱼腥草,党参,陈皮,黄芪,铁树叶,白花蛇舌草,薏仁
贝母,贝母,半夏,半夏,白芥子,杏仁,苏子
贝母,竹茹,蒌仁,麦冬,石膏,郁金,石斛
半夏,黑牵牛子,粉霜,白矾
陈皮,硼砂,五味子,薄荷,乌梅,甘草
贝母,半夏,桔梗,陈皮,玄明粉,香附,神曲
贝母,半夏,桔梗,陈皮,玄明粉,香附,神曲
半夏
半夏,檀香,百药煎,陈皮,五味子,薄荷,乌梅肉
半夏,天南星,皂角,白矾,干姜
半夏,天南星,杏仁,陈皮,紫苏,香附,皂角
半夏,天南星,莱菔,瓜蒌仁,陈皮,紫苏,香附
竹茹,陈皮,菖蒲,缩砂,郁金,苍术,厚朴
杏仁,百药煎,乌梅,黑矾,甘草
半夏,丁香,白矾,草豆蔻
半夏,陈皮,五味子,薄荷,丁香,白豆蔻,枳实
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
鱼腥草,百部,穿心莲,开金锁,生干蟾
蜈蚣,桔梗,僵蚕,钩藤,知柏,丹参,全蝎
贝母,半夏,桔梗,远志,陈皮,五味子,麻黄浸膏
半夏,竹茹,陈皮,石膏,麦门冬,人参,枳实
天竺黄,生川军,钩藤,生石决明,黄芩,枳实,牡蛎
贝母,桔梗,陈皮,片芩,当归,枳实,木香
半夏,杏仁,桂枝,瓜蒌皮,牡蛎,白芍,甘草
半夏,远志,五味子,合桃肉,熟附块,桂枝,云苓
山芋,栝楼,杏仁,甘草
半夏,海藻,昆布,陈皮,莪术,夏枯草,牡蛎
