芡实,白芥子,诃黎勒,白术,益智
枳实,苦梗,款冬花,茯苓,甘草
藿香,白矾,干姜,茯苓,寒水石
藿香,白矾,干姜,茯苓,寒水石
马兜铃,巴豆,杏仁,半夏
桑叶,贝母,赭石,杭菊,白蒺藜
干蝎,真珠末,白附子,丹砂,龙脑
甘草,茯苓,丹砂,天竺黄,龙脑
真珠,丹砂,犀角,瑇瑁,阿胶
当归,菖蒲,甘草,陈皮,黄连
人参,白术,生姜,甘草,丁香
皂荚,鹅梨,薄荷,防风,白蒺藜
甘草,鳖甲,阿胶,紫团参,半夏
枇杷叶,黄芩,青礞石,菖蒲,白前
茯苓,羌活,广皮,甘草,半夏
麻黄,杏仁,桔梗
茯苓,白芥子,甘草,昆布,陈皮
茯苓,甘草,陈皮,半夏
茯苓,甘草,陈皮,半夏
茯苓,苍术,广皮,甘草,厚朴
茯苓,甘草,厚朴,苏梗,半夏
滑石,当归,茯苓,枳实,甘草
茯苓,甘草,陈皮,半夏
陈皮,甘草
贝母,石膏,知母
麦门冬,知母,款冬花,杏仁,玄参
茯苓,甘草,知母,陈皮,贝母
麦门冬,天门冬,贝母,知母
菖蒲,甘草,沙参,生地,茯苓
百部,瓜蒌仁,天冬,竹茹,麦冬
知母,贝母,天门冬,麦冬
知母,贝母,淡天冬,南沙参,北沙参
竹茹,白芍,龙骨,菖蒲,泽泻
白僵蚕,飞过枯矾,天南星,半夏
白姜,黑附子,草果子,厚朴,甘草
黄芩,花粉,贝母,陈皮,元参
芍药,陈皮,花粉,贝母,黄芩
芎,白芷,人参,茯苓,防风
杏仁,木香,防己
天冬,黄连,贝母,石斛,茯苓
蜂蜜,白皮大萝卜
茯苓,甘草,陈皮,半夏
白鲜,枳实,茯神,黄芩,羚羊角
金银花,苇根,陈皮,冬瓜子,薏仁
白花蛇舌草,黄芪,党参,白术,茯苓
白芥子,桑叶,瓜蒌皮,枳壳,梨膏
竹茹,白芍,贝母,黄芩,丹皮
白矾,粉霜,黑牵牛子,半夏
陈皮
陈皮,五味子,乌梅,薄荷,甘草
片脑,白檀香末,芽茶,白豆蔻末
甘草,白术,茯苓,陈皮,神曲
甘草,白术,茯苓,陈皮,神曲
半夏
花粉,山楂,沉香,乌梅肉,五味子
干姜,白矾,天南星,半夏,皂角
干姜,山楂,白矾,葛根,神曲
瓜蒌仁,紫苏,黄芩,枳实,黄连
菖蒲,竹茹,苍术,陈皮,郁金
甘草,乌梅,百药煎,杏仁,黑矾
白矾,丁香,草豆蔻,半夏
枳实,丁香,白豆蔻,川芎,肉桂
明矾,硝石,半夏
海藻,贝母,黄药子,白酒
百部,生干蟾,开金锁,鱼腥草,穿心莲
蜈蚣,白芍,知柏,钩藤,当归
甘草,五味子,陈皮,贝母,麻黄浸膏
四季青,平地木,鼠曲草,干日红
竹茹,枳实,茯苓,麦门冬,陈皮
钩藤,丹皮,生川军,茯苓,枳实
麦门冬,甘草,桔梗
当归,枳实,陈皮,甘草,茯苓
瓜蒌仁,杏仁,黄连
橄榄,萝卜
白芍,黄连,甘草,龙骨,生姜
白术,山药,破故纸,桂枝,熟地
败酱草,厚朴,细辛,桔梗,人参
白酒700毫升,薤白,栝楼
山芋,甘草,杏仁,栝楼
海藻,陈皮,昆布,玄参,牡蛎
陈皮,伽楠香,龙涎香,半夏
白芍,人参,贝母,香附,郁金
当归,白芍,茯苓,白术,甘草
黄芪,玄参,海藻,鸡血藤,黄精
黄耆,白术,破故纸,茯苓,陈皮
猪牙皂角,乌梅肉,百药煎,明矾,五味子
香墨,白附子,续断,杜仲,天南星
皂荚,知母,贝母,杏仁,半夏
泽泻,白矾,枳壳,黄连,天南星
甘草,川芎,胖大海,连翘,贝母
白芥子,甘草,花粉,浮海石,胆南星
海粉,香附,杏仁,青黛,诃子
蛤蚧,白矾,款冬花,甘草,肉桂
白芥子,天冬,生草,山药,薏仁
栀子,虎睛,犀角屑,远志,大黄
藿香,茯苓,人参,甘草,厚朴
藿香,甘草,厚朴,陈皮,半夏
藿香,甘草,厚朴,陈皮,半夏
藿香,茯苓,丁香,生姜,陈皮
竹茹,枳壳,茯苓,青蒿脑4,碧玉散
白芷,川芎,麻黄,僵蚕,苏木
白矾,雄黄,朱砂,半夏
五灵脂,血竭,海带,琥珀,海藻
钩藤,地龙,薄荷,胆南星,制军
天冬,血琥珀,茯苓,贝母,百合
山药,枳壳,甘草,枳实,茯苓
山药,枳实,水飞朱砂,金箔,真琥珀
麝香,琥珀,朱砂,僵蚕,天南星
黄蜡,山药,金箔,枳实,枳壳
麝香,飞朱砂,茯苓,胆南星,琥珀
山药,枳壳,甘草,月石,胆南星
钩藤,茯苓,雄黄,琥珀,人参
钩藤,蝉退,甘草,白附子,琥珀
真琥珀,茯苓,菖蒲,天南星,人参
羚羊角,月石,青礞石,枣仁,伽楠香
青礞石,羚羊角,月石,沉香,麝香
金箔,麝香3厘,木香,滑石,黄耆
海粉,黄芩,神曲,青黛
海蜇皮,荸荠
海蜇,荸荠
海带,当归,陈皮,甘草,连翘
柴胡,海藻,龙胆草,小麦,昆布
香附,海石
