明矾,天南星,辰砂,半夏
菖蒲,朱砂,芍药,人参,乳香
枣仁,阿胶,远志,45克,丹皮
枣仁,远志,生于术,桔梗,厚朴
钩藤,朱砂,冰片,天麻,牵牛
当归,熟军,硼砂,没药,土鳖虫
朱砂,黄柏,山栀仁,减半,黄连
谷蘖,随风子,大腹子,石斛,人参
川姜,干蝎,天麻,白附子,天南星
钩藤,茯神,代赭石,菖蒲,胆南星
枣仁,枳实,人参,远志,竹茹
菖蒲,人参,茯神,柏子仁,枣仁
菖蒲,枣仁,人参,朱砂,当归
茯神,厚朴,远志,紫苏,甘草
白人参,甘草,菖蒲,龙骨,茯神
川姜,干蝎,天麻,白附子,天南星
麦冬,茯神,生地,枣仁,石斛
犀角,茯神,羚羊角,知母,麦冬
阳起石,巴戟,茯神,肉桂,人参
生川连,肉桂心
琥珀,香附,茯苓
高山辣根菜,石灰华,甘草,檀香,洪连
高山辣根菜,石灰华,甘草,檀香,洪连
珍珠母,太子参,地骨皮,何首乌,山药
菖蒲,龙骨,龟甲,远志
地骨皮,桂心,茯神,远志,龙齿
芍药,菖蒲,龙骨,枣仁,琥珀
龙眼肉,粳米,枣仁
粳米,莲子粉,红糖
朱砂,郁金,茯神,琥珀,柏仁
五味子,人参,当归,研为膏,入先洗猪肚内
葫芦芭,阳起石,灵砂,钟乳,金铃子
蜈蚣,真麝香1字,辰砂,甘草,蝎梢
干百合,蜂蜜
枣仁,茯神,人参,甘草,当归
菖蒲,茯神,琥珀,人参,枣仁
茯神,枣仁,罗参,粉草,莲肉
茯神,钩藤,天竺黄,明天麻,桔梗
鲜玫瑰花,羊心,食盐
山药,茯神,麝香,桔梗,人参
朱砂,肉桂,人参,茯神,车前子
茯神,菖蒲,麦冬,花粉,黄连
茯神,龙骨,莲花须,芡实,紫石英
珍珠母,钩藤,合欢皮,枣仁,甘草
甘草,真豆粉,大朱砂,丹参,梅花片
珍珠母,水牛角,板蓝根,胆酸,猪脱氧胆酸
枣仁,肉豆蔻,沉香,枫香脂,丁香
菖蒲,人参,乌梅肉,芍药,当归
益智,人参,朱砂,牡蛎,茯神
枣仁,知母,芎藭,茯苓,甘草
粳米,枣仁
枣仁,龙骨,夜交藤,生地,炒柏子仁
光明砂,磁石,神曲
琥珀,没药,辰砂,麝香,木香
铁粉,蛇黄,使君子仁,天南星,茯苓
钩藤,茯神,菖蒲,胆南星,天冬
白酒,地黄,远志,牛膝,杜仲
枣仁,莲肉,人参急者用30克,山药,当归
天南星,朱砂,琥珀
朱砂,肉桂,人参,远志,琥珀
檀香,冰片,朱砂,琥珀,诃子
檀香,郁金,朱砂,诃子,琥珀
阿胶,茯神,枣仁,人参,肉桂
高山辣根菜,石灰华,檀香,枣仁,肉豆蔻
朱砂,白附子,天南星,琥珀,全蝎
铁粉,银箔,白附子,茯神,麝香
巴戟,地黄,杜仲,车前子,牛膝
檀香,白芷,桔梗,三,川芎
枣仁,人参,当归,桔梗,远志
菖蒲,茯神,枣仁,人参,桔梗
菖蒲,枣仁,党参,当归,柏子仁
枣仁,党参,川芎,茯苓,山药
枣仁,人参,远志,桂心,麦门冬
葱,盐,姜,鸡,酒
朱砂,栀子,郁金,黄芩,黄连
枣仁,莲子心,丹皮,柏子仁,玄参
茯神,人参,黄芩,甘草,犀角屑
青龙齿,党参,辰砂,琥珀,桑白皮
珍珠母,合欢皮,钩藤,茯神,丹参
龙眼肉,红糖,小米
鸡蛋,小米
