百草霜,陈皮,厚朴,真芦荟,甘草
白术,高良姜,生姜,砂仁,陈皮
党参,白术,车前子,鸡血藤,猪苓
白术,炒干姜,甘草,黑附子,人参
党参,白术,干姜,附片,甘草
白术,干生姜,拣桂,泽泻,茯苓
白术,高良姜,肉豆蔻,干姜,桂枝
白术,黄芪,甘草,苍术,当归
党参,白术,鸡血藤,黄芪,甘草
白术,茯神,甘草,龙眼肉,人参
白术,当归,甘草,茯苓,枣仁
白术,党参,黄芪,甘草,当归
白术,芡实,山药,茯神,甘草
白术,神曲,黄连,山楂,槟榔
白术,何首乌,螵蛸,岗稔根,白芍
龟版,螵蛸,五味子,当归,茱萸
白术,柴胡,甘草,茯苓,归身
大蒜,黑豆,红糖
马料豆,白蒺藜
苍术,夏,春,地黄,川姜冬
炒白芥子,黑丑,甘草,陈皮,半夏
黄豆,芫荽
黄芪,赤小豆,薏仁,糯米,金橘饼
黄芪,白糖,冬瓜皮,生姜皮,茯苓皮
赤小豆,昆布,黄耆
白术,灶中黄土,甘草,黑附子,黄芩
白术,灶中黄土,甘草,黑附子,黄芩
马钱子,穿山甲,黑附子
藿香,陈皮,麦芽,厚朴,半夏
薏仁,厚朴,白蔻,半夏,藿香
冬瓜皮,西瓜皮,葫芦壳,枣仁
粳米,新鲜胡萝卜
胡萝卜,玉米渣
白术,扁豆,山药,甘草,桂枝
白糖,粳米,新鲜红薯
山药,砂仁,花粉,丹皮,滑石
神曲,黄芩,海粉,青黛
黄芪,山药,泽泻,车前子,泽兰
白术,神曲,巴戟天,山楂,当归
白于术,槐角米
茵陈,板蓝根,猪胆粉,绿豆,五味子
白术,陈皮,黄芩,天南星,黄柏
神曲,甘草,片姜黄,全瓜蒌,郁金
白术,陈皮,甘草,乌梅,砂糖
干生姜,陈皮,甘草,木瓜,人参
陈皮,干姜,厚朴,甘草
扁豆,神曲,神曲,君子,甘草
神曲,青皮,生姜,陈皮,皂角
神曲,生姜,三棱,青皮,麦芽
白术,神曲,炒麦芽,莪术,香附
鸡内金
粳米,食盐,鲜韭菜
白术,山药,槟榔,山楂,三棱
白术,神曲,贝母,萝卜子,草乌
砂仁,槟榔,乌药,白豆蔻,陈皮
白术,神曲,麦糵,肉豆蔻,陈皮
白术,砂仁,薄荷,茯苓,当归
白术,黄连,玄参,金银花,薏仁
白术,黄连,山药,茯苓,秦皮
白术,泽泻,茯苓
山楂,菊花
白术,甘草,黄连,当归,黄芩
