水牛角浓缩粉,白芍,黄芪,郁金,川芎
贝母,陈皮,旋复花,白蒺藜,白蒺藜
天南星,干蝎,龙脑,人参,真珠末
龙脑,天竺黄,铅白霜,丹参,天麻
真珠,瑇瑁,犀角,龙脑,阿胶
贝母,黄连,当归,五味子,陈皮
半夏,白术,白檀香,人参,丁香
鹅梨,天麻,皂荚,威灵仙,白蒺藜
半夏,鳖甲,阿胶,紫团参,甘草
半夏,贝母,青礞石,葶苈,瓜蒌皮
半夏,茯苓,广皮,甘草,羌活
桔梗,杏仁,麻黄
陈皮,半夏,白芥子,昆布,海藻
半夏,陈皮,茯苓,甘草
半夏,陈皮,茯苓,甘草
半夏,苍术,厚朴,广皮,茯苓
半夏,苏梗,陈皮,厚朴,茯苓
半夏,川芎,当归,滑石,陈皮
二陈汤加炒山栀,黄连,生姜
半夏,陈皮,茯苓,甘草
贝母,知母,石膏
紫菀,贝母,款冬花,百合,知母
贝母,半夏,知母,陈皮,茯苓
贝母,知母,天门冬,麦门冬
半夏,天南星,桔梗,陈皮,川朴
竹茹,瓜蒌仁,陈皮,麦冬,百部
贝母,知母,天门冬,麦冬
贝母,知母,北沙参,淡天冬,提麦冬
白芍,远志,竹茹,山药,山萸
天南星,白僵蚕,飞过枯矾,半夏
半夏,黑附子,陈皮,白姜,厚朴
贝母,元参,陈皮,防风,赤芍
贝母,芍药,陈皮,桔梗,白芷
半夏,芎,天麻,白芷,人参
木香,杏仁,防己
半夏,贝母,黄连,麦冬,北沙参
蜂蜜,白皮大萝卜
半夏,陈皮,茯苓,甘草
白鲜,羚羊角,麦门冬,人参,黄芩
白术,远志,桂,山芋,芍药
贝母,葶苈,杏仁,薏仁,陈皮
白术,黄芪,薏仁,党参,陈皮
贝母,贝母,半夏,半夏,瓜蒌皮
贝母,白芍,竹茹,麦冬,郁金
半夏,白矾,粉霜,黑牵牛子
陈皮,五味子,硼砂,薄荷,乌梅
片脑,白檀香末,芽茶,白豆蔻末
半夏,贝母,白术,玄明粉,陈皮
半夏,贝母,白术,玄明粉,陈皮
半夏
半夏,人参,檀香,陈皮,山楂
天南星,半夏,白矾,干姜,皂角
天南星,半夏,山楂,葛根,陈皮
天南星,半夏,瓜蒌仁,黄连,莱菔
陈皮,郁金,苍术,竹茹,厚朴
杏仁,乌梅,百药煎,黑矾,甘草
半夏,草豆蔻,丁香,白矾
半夏,白豆蔻,川芎,沉香,陈皮
半夏,硝石,明矾
黄药子,贝母,白酒,海藻
穿心莲,百部,生干蟾,鱼腥草,开金锁
白芍,白蒺藜,僵蚕,蜈蚣,知柏
远志,陈皮,半夏,贝母,五味子
四季青,鼠曲草,平地木,干日红
半夏,陈皮,人参,竹茹,麦门冬
天竺黄,生石决明,钩藤,槐花,生川军
麦门冬,桔梗,甘草
贝母,陈皮,当归,片芩,瓜蒌
黄连,杏仁,瓜蒌仁
萝卜,橄榄
半夏,黄连,桂枝,瓜蒌皮,白芍
半夏,远志,白术,桂枝,熟地
桔梗,人参,败酱草,炮干姜,栝蒌实
薤白,栝楼,白酒700毫升
栝楼,山芋,杏仁,甘草
半夏,夏枯草,陈皮,昆布,青皮
半夏,陈皮,龙涎香,伽楠香
郁金,贝母,白芍,人参,香附
半夏,当归,白术,白芍,陈皮
黄芪,鸡血藤,海藻,黄精,丹参
半夏,白术,黄耆,陈皮,破故纸
天南星,半夏,猪牙皂角,明矾,乌梅肉
半夏,天南星,续断,杜仲,芎
贝母,皂荚,半夏,知母,杏仁
天南星,半夏,白术,陈皮,黄连
贝母,川芎,蝉蜕,桔梗,诃子
大黄,贝母,槟榔,半夏,葶苈
半夏,栝楼,海粉,香附,青黛
款冬花,成炼钟乳,白矾,蛤蚧,肉桂
贝母,半夏,扁豆,莱菔,桔梗
虎睛,远志,大黄,栀子,犀角屑
半夏,藿香,苍术,陈皮,人参
半夏,藿香,厚朴,陈皮,甘草
半夏,藿香,厚朴,陈皮,甘草
半夏,藿香,陈皮,生姜,茯苓
半夏,竹茹,枳壳,茯苓,青蒿脑4
川芎,白芷,僵蚕,天麻,苏木
半夏,朱砂,雄黄,白矾
天南星,琥珀,血竭,京墨,木香
琥珀,胆南星,地龙,犀角,钩藤
半夏,贝母,京知母,百合,天冬
天南星,檀香,天竺黄,琥珀,朱砂
天南星,檀香,天竺黄,山药,枳壳
天南星,天竺黄,赤苓,琥珀,丹参
天南星,天竺黄,檀香,琥珀,蜂蜜
贝母,琥珀,天竺黄,飞腰黄,飞朱砂
天竺黄,琥珀,胆南星,辰砂,沉香
天南星,辰砂,天竺黄,钩藤,琥珀
贝母,琥珀,天竺黄,朱砂,钩藤
天南星,远志,人参,真琥珀,茯神
贝母,青礞石,月石,羚羊角,天竺黄
青礞石,贝母,月石,羚羊角,沉香
远志,麝香3厘,辰砂,黄耆,桔梗
海粉,青黛,黄芩,神曲
荸荠,海蜇皮
荸荠,海蜇
贝母,半夏,川芎,当归,陈皮
小麦,柴胡,昆布,海藻,龙胆草
海石,香附
海石,莪术,石礞,香附,红花
马前子,老葱胡,烧酒,食盐,透骨草
半夏,川芎,当归,白芍,昆布
半夏,当归,白芍,川芎,陈皮
贝母,当归,白芍,白术,麦冬
油松节,没药,白蔻,何首乌,乌药
葶苈,杏仁,商陆,防己,桑白皮
山慈菇,黄酒,核桃肉
白芥子,白僵蚕,莪术,熟地,陈皮
天南星,柴胡,天竺黄,大黄,陈皮
半夏,丁香,枣仁,厚朴,生姜
陈皮,杏仁,紫苏,桑白皮,麻黄
天南星,川芎,天麻,人参,独活
天南星,川芎,天麻,人参,独活
半夏,天南星,轻粉,白矾,白附子
天南星,大黄,陈皮,陈皮,花粉
五倍子
明矾,白僵蚕
连翘,半夏,贝母,山楂,蛇莓
半夏,桔梗,干姜,茯苓
天南星,半夏,麦蘖,干葛,陈皮
天南星,半夏,明矾,白附子
半夏,天南星,白矾,皂角,生姜
天络丝
天南星,半夏,巴豆,滑石,枯矾
天南星,半夏,瓜蒌仁,陈皮,萝卜子
半夏,炙草,陈皮,葶苈,桔梗
半夏,旋覆花,葶苈,麦蘖,鳖甲
天南星,半夏,辰砂,人参,陈皮
紫菀,半夏,陈皮,桔梗,葶苈
紫菀,贝母,陈皮,款冬花,桔梗
半夏,陈皮,人参,桔梗,葶苈
柿霜,檀香,紫苏,薄荷,硼砂
半夏,紫菀,远志,黄芩,白芍
天南星,乳香,代赭石,明天麻,赤金箔
半夏,槟榔,陈皮,大黄,京三棱
天南星,蛇黄,雄黄,蜈蚣,川芎
片脑,天竺黄,胆南星,朱砂,白附
天南星,半夏,龙脑,白矾,丁香
半夏,芍药,旋覆花,前胡,荆芥
当归,半夏,陈皮,熟地,茯苓
川甜消,大黄,干葛,甘草
黄柏,蒲黄,天南星,贝母,半夏
天南星,半夏,白矾,皂角
白芥子,片姜黄,苏梗,芍药,当归
秦艽,半夏,葛根,夏枯草,白芍
