白术,熟地,白芥子,薏仁,芡实
生犀屑,白芷,菊花,细辛,龙脑
苦梗,麻黄,款冬花,人参,阿胶
天南星,干姜,白蛤粉,寒水石,半夏
天南星,干姜,寒水石,人参,藿香
杏仁,马兜铃,半夏,巴豆
旋复花,陈皮,白蒺藜,白蒺藜,麦冬
真珠末,龙脑,天麻,天南星,白附子
天麻,龙脑,铅白霜,天竺黄,丹参
瑇瑁,真珠,阿胶,犀角,龙脑
白术,贝母,黄连,麦门冬,菖蒲
白术,姜黄,白檀香,丁香,人参
天麻,皂荚,薄荷,白蒺藜,甘草
紫团参,鳖甲,阿胶,半夏,甘草
贝母,菖蒲,紫苏,紫苏,杏仁
广皮,半夏,羌活,茯苓,防风
麻黄,杏仁,桔梗
昆布,陈皮,海藻,茯苓,白芥子
茯苓,陈皮,半夏,甘草
茯苓,陈皮,半夏,甘草
厚朴,广皮,苍术,半夏,茯苓
苏梗,厚朴,陈皮,茯苓,半夏
当归,滑石,陈皮,川芎,香附
茯苓,陈皮,半夏,甘草
陈皮,甘草
贝母,知母,石膏
紫菀,玄参,麦门冬,知母,杏仁
知母,陈皮,贝母,茯苓,半夏
天门冬,知母,贝母,麦门冬
天南星,陈皮,苏梗,菖蒲,半夏
麦冬,瓜蒌仁,竹茹,天冬,百部
天门冬,麦冬,知母,贝母
贝母,北沙参,知母,南沙参,提麦冬
天南星,白僵蚕,飞过枯矾,半夏
厚朴,半夏,陈皮,白姜,草果子
白芷,赤芍,陈皮,花粉,桔梗
芍药,白芷,桔梗,苍术,玄参
白芷,天麻,芎,人参,半夏
木香,杏仁,防己
黄连,麦冬,贝母,广皮,蛤粉
白皮大萝卜,蜂蜜
茯苓,陈皮,半夏,甘草
白术,芍药,陈皮,麦门冬,山芋
杏仁,桃仁,连翘,金银花,冬瓜子
黄芪,白花蛇舌草,铁树叶,猪苓,陈皮
为细粉,另兑龙涎香,陈皮,陈皮,陈皮
竹茹,贝母,白芍,麦冬,菊花炭
黑牵牛子,粉霜,半夏,白矾
陈皮
五味子,陈皮,薄荷,乌梅,甘草
白豆蔻末,白檀香末,芽茶,片脑
白术,玄明粉,神曲,桔梗,香附
白术,玄明粉,神曲,桔梗,香附
半夏
檀香,百药煎,陈皮,白硼砂,细茶
干姜,天南星,半夏,皂角,白矾
天南星,干姜,紫苏,陈皮,皂角
瓜蒌仁,天南星,莱菔,紫苏,黄连
厚朴,苍术,陈皮,菖蒲,缩砂
百药煎,杏仁,黑矾,乌梅,甘草
白矾,丁香,草豆蔻,半夏
薄荷,枳壳,陈皮,肉桂,丁香
半夏,硝石,明矾
白酒,海藻,贝母,黄药子
穿心莲,百部,鱼腥草,开金锁,生干蟾
钩藤,白蒺藜,生耆,白芍,桔梗
陈皮,贝母,桔梗,远志,五味子
四季青,平地木,鼠曲草,干日红
竹茹,麦门冬,人参,枣仁,陈皮
钩藤,生石决明,天竺黄,茯苓,黄芩
麦门冬,甘草,桔梗
陈皮,贝母,山栀,片芩,桔梗
黄连,瓜蒌仁,杏仁
萝卜,橄榄
桂枝,黄连,枣仁,半夏,龙骨
桂枝,白术,熟地,合桃肉,熟附块
厚朴,败酱草,人参,炮干姜,桔梗
栝楼,白酒700毫升,薤白
杏仁,山芋,栝楼,甘草
昆布,半夏,海藻,陈皮,三棱
陈皮,龙涎香,伽楠香,半夏
香附,人参,白芍,贝母,郁金
白术,茯苓,白芍,当归,陈皮
黄芪,海藻,丹参,鸡血藤,玄参
白术,茯苓,黄耆,陈皮,党参
天南星,百药煎,半夏,五味子,明矾
天南星,白附子,芎,半夏,杜仲
知母,皂荚,杏仁,贝母,半夏
天南星,白术,黄连,半夏,枳壳
胖大海,诃子,蝉蜕,连翘,大黄
葶苈,胆南星,苏子,花粉,贝母
海粉,诃子,香附,半夏,杏仁
成炼钟乳,款冬花,肉桂,白矾,蛤蚧
贝母,薏仁,生草,花粉,天冬
栀子,虎睛,犀角屑,大黄,远志
苍术,厚朴,陈皮,半夏,茯苓
厚朴,藿香,陈皮,半夏,甘草
厚朴,藿香,陈皮,半夏,甘草
丁香,茯苓,陈皮,藿香,半夏
竹茹,枳壳,茯苓,半夏,碧玉散
天麻,麻黄,苏木,白芷,桔梗
白矾,朱砂,雄黄,半夏
琥珀,天南星,海藻,木香,海带
琥珀,钩藤,薄荷,朱砂,苏珠
贝母,天冬,茯苓,京知母,百合
檀香,琥珀,天南星,红参,茯苓
檀香,天南星,粉草,金箔,茯苓
天南星,琥珀,天竺黄,丹参,朱砂
檀香,琥珀,天南星,金箔,人参
琥珀,飞腰黄,贝母,飞朱砂,胆南星
琥珀,腰黄,辰砂,天竺黄,麝香
钩藤,天南星,真麝香,琥珀,辰砂
琥珀,白附子,钩藤,桔梗,天麻
菖蒲,天南星,人参,大辰砂,茯苓
羚羊角,贝母,青礞石,月石,伽楠香
羚羊角,贝母,青礞石,月石,天竹黄
金箔,麝香3厘,滑石,桔梗,香附
神曲,海粉,黄芩,青黛
海蜇皮,荸荠
荸荠,海蜇
昆布,当归,海带,连翘,海藻
海藻,小麦,昆布,龙胆草,柴胡
香附,海石
香附,海石,莪术,桃仁,蚶壳
透骨草,三七,牛膝,老葱胡,红花
昆布,陈皮,熟地,半夏,红花
当归,地黄,白芍,茯苓,陈皮
白术,桃仁,山栀,麦冬,白芍
牛膝,白蔻,油松节,丹参,桂枝
葶苈,杏仁,商陆,桑白皮,茯苓
核桃肉,黄酒,山慈菇
白僵蚕,熟地,陈皮,麻黄,干姜
天南星,陈皮,白附子,黄连,桔梗
梓朴,干姜,益智仁,川椒,黑附子
厚朴,枣仁,丁香,半夏,生姜
麻黄,紫苏,茯苓,杏仁,陈皮
天南星,天麻,粉草,人参,荆芥
天南星,天麻,粉草,人参,荆芥
天南星,干生姜,轻粉,白附子,寒水石
天南星,枳壳,沉香,花粉,陈皮
五倍子
白僵蚕,明矾
连翘,海带,青皮,昆布,神曲
干姜,桔梗,茯苓,半夏
青皮,紫苏,天南星,麦蘖,陈皮
白附子,天南星,半夏,明矾
天南星,半夏,皂角,生姜,白矾
天络丝
天南星,滑石,干姜,半夏,巴豆
天南星,紫苏,瓜蒌仁,陈皮,枳壳
冬花,葶苈,陈皮,炙草,知母
桔梗,麦蘖,鳖甲,紫苏,白术
天南星,辰砂,皂,陈皮,人参
紫菀,葶苈,杏仁,麻黄,陈皮
知母,紫菀,葶苈,陈皮,北沙参
陈皮,麻黄,知母,桔梗,款冬花
檀香,紫苏,薄荷,柿霜,硼砂
白芍,瓜蒌仁,麦冬,紫菀,杏仁
天南星,真麝香,代赭石,直僵蚕,明天麻
木香,陈皮,半夏,黑牵牛,槟榔
蛇黄,天南星,铁粉,脑子,蜈蚣
蝉蜕,金箔,真麝香,胆南星,天竺黄
金箔,天麻,龙脑,丁香,犀角
熟地,陈皮,茯苓,当归,半夏
连翘,瓜蒌仁,厚朴,白术,蒲黄
天南星,白矾,半夏,皂角
芍药,透骨草,片姜黄,香附,当归
天麻,半夏,葛根,白芍,白芷
竹沥,海粉,瓜蒌仁,香附,陈皮
天南星,天麻,陈皮,当归,肉桂
天南星,天麻,菖蒲,木香,白附子
紫苏,木香,桔梗,杏仁,葛根
紫苏,麻黄,杏仁,桔梗,陈皮
紫苏,木香,桔梗,杏仁,葛根
贝母,紫菀,滑石,桃仁,栀子
黄芪,海藻,白芷,丹参,党参
地骨皮,白术,薄荷,陈皮,麦门冬
生地,玄参,广皮,桔梗,银花
橘饼
贝母,紫菀,杏仁,肉桂,花粉
紫菀,地黄,麦门冬,紫苏,杏仁
紫菀,五味子,生草,杏仁,陈皮
净金灯,陈皮,贝母,杏仁,白矾
紫菀,麦冬,地黄,杏仁,紫苏
贝母,杏仁,紫菀,冬花,陈皮
陈皮,粳米
白术,连翘,莱菔,神曲,香附
白术,陈皮,半夏,枳实
黄连,桔梗,黑山栀,黄芩,陈皮
紫菀,麻黄,四季青,枳壳,鱼腥草
钩藤,羚羊,犀角,胆南星,薄荷
人参,杏仁,百合,麦门冬,五味子
白术,天南星,瓜蒌仁,白芥子,黄芩
麻黄,片芩,贝母,杏仁,知母
小枳实,麻黄,杏仁,栝楼,广皮红
干姜,陈皮,桔梗,麻黄,白芍
广皮,半夏,草果,生姜,青皮
桔梗,黄连,黄芩,黄柏,半夏
白术,桔梗,白芷,陈皮,白芍
粉草,香附,陈皮,益智,半夏
