水牛角浓缩粉,郁金,羚羊角,黄芪,珍珠
贝母,杏仁,陈皮,旋复花,桑叶
天南星,龙脑,白附子,丹砂,真珠末
天竺黄,龙脑,丹参,茯苓,丹砂
龙脑,瑇瑁,真珠,丹砂,阿胶
贝母,黄连,丹参,五味子,陈皮
半夏,人参,白檀香,生姜,姜黄
天麻,防风,白蒺藜,鹅梨,薄荷
半夏,甘草,阿胶,紫团参,鳖甲
贝母,半夏,板蓝根,前胡,石膏
半夏,广皮,甘草,羌活,茯苓
杏仁,桔梗,麻黄
半夏,胆草,白芥子,茯苓,海藻
半夏,甘草,茯苓,陈皮
半夏,甘草,茯苓,陈皮
半夏,广皮,苍术,茯苓,甘草
半夏,茯苓,苏梗,陈皮,厚朴
半夏,茯苓,当归,香附,枳实
半夏,甘草,茯苓,陈皮
陈皮,甘草
贝母,石膏,知母
贝母,玄参,紫菀,百合,杏仁
贝母,茯苓,半夏,甘草,陈皮
贝母,麦门冬,知母,天门冬
半夏,天南星,苏梗,玄参,茯苓
天竺黄,天冬,瓜蒌仁,竹茹,百部
贝母,知母,天门冬,麦冬
贝母,南沙参,北沙参,提麦冬,知母
半夏,天南星,飞过枯矾,白僵蚕
半夏,黑附子,陈皮,草果子,甘草
贝母,元参,前胡,白芷,桔梗
贝母,玄参,陈皮,芍药,桔梗
半夏,天麻,白芷,茯苓,人参
杏仁,木香,防己
贝母,半夏,黄连,天冬,广皮
白皮大萝卜,蜂蜜
半夏,甘草,茯苓,陈皮
白鲜,甘草,枳实,龙齿,茯神
贝母,陈皮,杏仁,桔梗,代赭石
铁树叶,鱼腥草,茯苓,陈皮,黄芪
贝母,贝母,白芥子,半夏,半夏
贝母,蒌仁,竹茹,菊花炭,石膏
半夏,粉霜,黑牵牛子,白矾
陈皮
硼砂,五味子,乌梅,陈皮,甘草
白豆蔻末,片脑,白檀香末,芽茶
贝母,半夏,桔梗,茯苓,黄芩
贝母,半夏,桔梗,茯苓,黄芩
半夏
半夏,山楂,百药煎,五味子,陈皮
半夏,天南星,白矾,干姜,皂角
半夏,天南星,山楂,香附,杏仁
瓜蒌仁,半夏,天南星,莱菔,黄连
竹茹,厚朴,苍术,陈皮,郁金
杏仁,百药煎,甘草,乌梅,黑矾
半夏,白矾,丁香,草豆蔻
半夏,沉香,肉桂,五味子,陈皮
半夏,明矾,硝石
贝母,海藻,白酒,黄药子
百部,鱼腥草,穿心莲,开金锁,生干蟾
僵蚕,知柏,桔梗,生耆,白蒺藜
贝母,半夏,远志,桔梗,五味子
四季青,干日红,平地木,鼠曲草
半夏,茯苓,龙眼肉,竹茹,陈皮
天竺黄,生石决明,钩藤,槐花,茯苓
桔梗,麦门冬,甘草
贝母,砂仁,山栀,当归,桔梗
瓜蒌仁,杏仁,黄连
橄榄,萝卜
半夏,白芍,龙骨,黄连,杏仁
半夏,远志,五味子,熟地,山药
桔梗,人参,炮干姜,败酱草,厚朴
栝楼,白酒700毫升,薤白
杏仁,栝楼,山芋,甘草
半夏,玄参,夏枯草,海藻,昆布
半夏,陈皮,伽楠香,龙涎香
贝母,郁金,白芍,人参,香附
半夏,当归,陈皮,人参,白芍
海藻,鸡血藤,丹参,玄参,黄芪
半夏,黄耆,陈皮,防风,茯苓
百药煎,半夏,天南星,五味子,猪牙皂角
半夏,香墨,天南星,白附子,杜仲
贝母,杏仁,半夏,皂荚,知母
半夏,天南星,黄连,陈皮,黄芩
贝母,川芎,桔梗,大黄,连翘
贝母,白芥子,天竺黄,半夏,胆南星
栝楼,半夏,海粉,杏仁,香附
蛤蚧,款冬花,甘草,白矾,成炼钟乳
贝母,半夏,白芥子,蛤蚧,天冬
远志,虎睛,大黄,犀角屑,栀子
半夏,苍术,陈皮,藿香,茯苓
半夏,甘草,藿香,陈皮,厚朴
半夏,甘草,藿香,陈皮,厚朴
半夏,茯苓,生姜,陈皮,藿香
半夏,茯苓,竹茹,青蒿脑4,枳壳
天麻,白芷,桔梗,僵蚕,全蝎
半夏,雄黄,朱砂,白矾
天南星,五灵脂,海带,琥珀,京墨
胆南星,竺黄,朱砂,犀角,茯神
天冬,贝母,半夏,石膏,茯苓
天南星,天竺黄,茯苓,琥珀,朱砂
金箔,天竺黄,天南星,茯苓,人参
天南星,天竺黄,僵蚕,麝香,全蝎
金箔,天南星,天竺黄,茯苓,朱砂
贝母,天竺黄,茯苓,僵蚕,胆南星
胆南星,天竺黄,山药,茯苓,辰砂
天南星,天竺黄,茯苓,僵蚕,钩藤
贝母,天竺黄,白附子,胆南星,朱砂
天南星,茯苓,远志,茯神,人参
贝母,天竺黄,青礞石,枣仁,麝香
贝母,沉香,青礞石,枣仁,麝香
