珍珠母,磁石,酒曲,酒曲,赭石
自然铜,硼砂,土鳖虫,2钱,钱
朱砂,减半,雄黄,黄芩,山栀仁
随风子,大腹子,石斛,谷蘖,五味子
干蝎,川姜,天南星,天麻,白附子
茯神,菖蒲,代赭石,远志,麦冬
远志,枣仁,竹茹,五味子,人参
茯神,远志,人参,菖蒲,柏子仁
远志,人参,菖蒲,朱砂,柏子仁
厚朴,茯神,远志,紫苏,甘草
茯神,熟地,龙骨,琥珀,菖蒲
干蝎,川姜,天南星,天麻,白附子
远志,茯神,麦冬,白芍,石斛
茯神,远志,犀角,麦冬,知母
巴戟,茯神,阳起石,厚朴,沉香
肉桂心,生川连
茯苓,琥珀,香附
石灰华,檀香,丹参,甘草,洪连
石灰华,檀香,丹参,甘草,洪连
珍珠母,滑石,菟丝子,太子参,山药
远志,菖蒲,龙骨,龟甲
桂心,茯神,龙齿,远志,地骨皮
桂枝,菖蒲,芍药,龙骨,远志
粳米,枣仁,龙眼肉
粳米,红糖,莲子粉
茯神,郁金,朱砂,琥珀,青皮
蜜,石斛,五味子,鳖甲,人参
巴戟,肉桂,沉香,黑附子,鹿茸
蝎梢,白僵蚕,半夏,甘草,辰砂
干百合,蜂蜜
茯神,甘草,赤芍,人参,五味子
人参,远志,茯神,菖蒲,琥珀
茯神,远志,枣仁,粉草,莲肉
茯神,桔梗,明天麻,钩藤,胆南星
食盐,鲜玫瑰花,羊心
茯神,麝香,远志,桔梗,木香
远志,龙齿,茯神,五味子,人参
茯神,远志,菖蒲,麦冬,花粉
茯神,芡实,龙骨,茱萸,五味子
珍珠母,合欢皮,甘草,钩藤,枣仁
丹参,真豆粉,甘草,大朱砂,梅花片
珍珠母,金银花,水牛角,板蓝根,胆酸
枣仁,枫香脂,木香,牛心粉,沉香
菖蒲,乌梅肉,芍药,人参,川芎
远志,茯神,牡蛎,人参,枣仁
枣仁,知母,甘草,芎藭,茯苓
粳米,枣仁
枣仁,夜交藤,龙骨,生地,丹参
神曲,光明砂,磁石
滴乳,琥珀,没药,麝香,辰砂
铁粉,蛇黄,天南星,使君子仁,茯苓
茯神,菖蒲,钩藤,远志,贝母
远志,白酒,五味子,牛膝,山药
人参急者用30克,枣仁,白术,干姜,山药
琥珀,朱砂,天南星
朱砂,远志,琥珀,人参,白术
僵蚕,诃子,琥珀,朱砂,檀香
僵蚕,诃子,琥珀,朱砂,檀香
龙齿,枣仁,茯神,远志,人参
枣仁,石灰华,红花,紫檀香,诃子
金箔,羌活,琥珀,真铁粉,朱砂
远志,茯神,金箔,升麻,麝香
远志,巴戟,苁蓉,车前子,菟丝子
檀香,三,白芷,桔梗,川芎
远志,枣仁,桔梗,五味子,麦门冬
茯神,远志,菖蒲,桔梗,麦门冬
远志,朱砂,甘草,菖蒲,枣仁
破故纸60宽,枣仁,党参,川芎,五味子
桂心,枣仁,远志,麦门冬,黄芩
葱,乌灵参,盐,酒,鸡
朱砂,郁金,丹参,黄连,黄芩
枣仁,柏子仁,丹参,丹皮,玄参
茯神,麦门冬,龙齿,甘草,人参
青龙齿,琥珀,白芍,桑白皮,木通
珍珠母,茯神,合欢皮,钩藤,丹参
红糖,龙眼肉,小米
小米,鸡蛋
枣仁,小米,蜂蜜
朱砂,胆南星,脑,真珠,人参
天竺黄,菖蒲,贝母,麝香,半夏
远志,牡蛎,人参,辰砂,干姜
茯神,远志,人参,白芍,甘草
朱砂,钩藤,白术,人参,甘草
远志,淡竹叶,麦门冬,枣仁,人参
葱,食盐,白糖,生姜,玉竹
合欢皮,枣仁,浮小麦,甘草,灵芝
粳米,枣仁,夜交藤,白糖
远志,桂心,芍药,白术,茯苓X克
枣仁,薏仁,木香,麦冬,甘杞子
茯神,枣仁,栀子,丹皮,川芎
龙齿,熟地,远志,茯神,阿胶
犀角,丁子香,黄金,升麻,滑石
朱砂,龙骨,麝香,肉苁蓉,人参
茯神,远志,人参,枣仁,甘草
