贝母,沙参,白蒺藜,白蒺藜,桑叶
天南星,真珠末,白附子,龙脑,丹砂
天竺黄,甘草,丹砂,天麻,麝香
龙脑,丹砂,瑇瑁,真珠,麝香
当归,贝母,五味子,黄连,陈皮
半夏,生姜,白术,姜黄,甘草
天麻,薄荷,甘草,防风,皂荚
半夏,阿胶,甘草,鳖甲,紫团参
贝母,半夏,细辛,白前,薄荷
半夏,防风,羌活,茯苓,广皮
杏仁,麻黄,桔梗
半夏,茯苓,甘草,昆布,海藻
半夏,茯苓,甘草,陈皮
半夏,茯苓,甘草,陈皮
半夏,苍术,厚朴,茯苓,广皮
半夏,厚朴,茯苓,苏梗,甘草
半夏,当归,滑石,甘草,茯苓
半夏,茯苓,甘草,陈皮
甘草,陈皮
贝母,知母,石膏
款冬花,杏仁,罂粟壳,紫菀,贝母
知母,甘草,半夏,贝母,茯苓
贝母,麦门冬,知母,天门冬
天南星,苏梗,玄参,半夏,生地
天竺黄,麦冬,百部,瓜蒌仁,天冬
贝母,麦冬,天门冬,知母
贝母,提麦冬,知母,南沙参,淡天冬
竹茹,泽泻,龙骨,远志,茯苓
白僵蚕,半夏,天南星,飞过枯矾
半夏,黑附子,厚朴,甘草,草果子
贝母,前胡,黄芩,防风,赤芍
芍药,贝母,苍术,玄参,防风
芎,半夏,天麻,独活,防风
木香,杏仁,防己
半夏,贝母,黄连,南沙参,天冬
白皮大萝卜,蜂蜜
半夏,茯苓,甘草,陈皮
连翘,杏仁,葶苈,代赭石,陈皮
铁树叶,鱼腥草,白术,黄芪,党参
半夏,半夏,贝母,贝母,苏梗
生地,贝母,白芍,丹皮,竹茹
半夏,白矾,粉霜,黑牵牛子
陈皮
薄荷,五味子,陈皮,甘草,乌梅
白豆蔻末,白檀香末,片脑,芽茶
半夏,玄明粉,贝母,黄芩,神曲
半夏,玄明粉,贝母,黄芩,神曲
半夏
五味子,檀香,沉香,百药煎,薄荷
干姜,天南星,半夏,皂角,白矾
天南星,干姜,半夏,萝卜子,葛根
天南星,莱菔,半夏,黄连,黄芩
竹茹,苍术,缩砂,厚朴,陈皮
杏仁,百药煎,甘草,乌梅,黑矾
半夏,白矾,草豆蔻,丁香
木香,半夏,沉香,薄荷,五味子
半夏,硝石,明矾
海藻,贝母,黄药子,白酒
百部,鱼腥草,穿心莲,开金锁,生干蟾
钩藤,白芍,全蝎,蜈蚣,当归
甘草,五味子,远志,贝母,半夏
平地木,四季青,鼠曲草,干日红
半夏,竹茹,茯苓,枣仁,枳实
天竺黄,钩藤,丹皮,黄芩,生石决明
甘草,麦门冬,桔梗
贝母,当归,木香,片芩,山栀
杏仁,瓜蒌仁,黄连
橄榄,萝卜
半夏,白芍,龙骨,杏仁,生姜
半夏,破故纸,五味子,山药,熟地
炮干姜,栝蒌实,厚朴,桔梗,防风
薤白,栝楼,白酒700毫升
杏仁,甘草,山芋,栝楼
半夏,夏枯草,玄参,莪术,三棱
半夏,陈皮,伽楠香,龙涎香
贝母,白芍,人参,香附,郁金
半夏,当归,白芍,甘草,白术
鸡血藤,海藻,黄芪,玄参,丹参
半夏,破故纸,黄耆,紫河车,白术
百药煎,天南星,五味子,半夏,猪牙皂角
天南星,香墨,芎,半夏,杜仲
杏仁,知母,半夏,皂荚,贝母
半夏,天南星,泽泻,黄连,白矾
贝母,连翘,大黄,川芎,桔梗
大黄,天竺黄,半夏,槟榔,胆南星
杏仁,半夏,栝楼,海粉,诃子
款冬花,成炼钟乳,甘草,肉桂,白矾
莱菔,生耆,贝母,半夏,白前
虎睛,远志,大黄,栀子,犀角屑
