焦三仙,枳壳,佩兰,苍术,茵陈
真芦荟,芜荑,厚朴,甘草,青黛
高良姜,肉桂,白术,草豆蔻,枣仁
白术,党参,肉桂,黑附子,当归
白术,肉桂,人参,黑附子,炒干姜
干姜,白术,肉桂,党参,甘草
干生姜,白术,半夏,泽泻,茯苓
干姜,荜茇,桂枝,白术,肉豆蔻
白芍,白术,柴胡,苍术,黄芪
当归,白术,党参,黄芪,木香
茯神,白术,黄耆,龙眼肉,人参
当归,白术,黄耆,人参,龙眼肉
当归,白术,党参,黄芪,枣仁
茯神,五味子,山药,黄耆,当归
白术,虾蟆,神曲,黄连,龙胆草
螵蛸,白芷,白术,甘草,白芍
柴胡,白术,白芍,甘草,茯苓
红糖,大蒜,黑豆
白蒺藜,马料豆
地黄,苍术,夏,春,川姜冬
半夏,茯苓,木香,黑丑,甘草
黄豆,芫荽
赤小豆,黄芪,糯米,薏仁,金橘饼
枣仁,黄芪,冬瓜皮,白糖,茯苓皮
赤小豆,黄耆,昆布
白术,阿胶,灶中黄土,地黄,黄芩
白术,阿胶,灶中黄土,地黄,黄芩
黑附子,穿山甲,马钱子
半夏,厚朴,麦芽,陈皮,木香
杏仁,厚朴,半夏,白蔻,藿香
枣仁,冬瓜皮,西瓜皮,葫芦壳
新鲜胡萝卜,粳米
玉米渣,胡萝卜
扁豆,芍药,人参,山药,陈皮
白糖,粳米,新鲜红薯
山药,莪术,桔梗,益智仁,紫河车
黄芩,神曲,青黛,海粉
山药,黄芪,大腹皮,茯苓皮,泽兰
柴胡,神曲,白术,山楂,白芍
白于术,槐角米
柴胡,茵陈,猪胆粉,板蓝根,五味子
神曲,郁金,片姜黄,甘草,全瓜蒌
白术,乌梅,砂糖,芍药,粟壳
干生姜,木瓜,陈皮,甘草,人参
黄连,扁豆,生地,神曲,神曲
神曲,萝卜子,杏仁,香附,天南星
乌药,神曲,枳壳,蓬术,三棱
神曲,白术,莪术,炒麦芽,连翘
鸡内金
粳米,食盐,鲜韭菜
冰片,槟榔,山楂,山药,莪术
神曲,白术,白芍,苏子,独活
白芍,乌药,莲肉,砂仁,槟榔
槟榔,神曲,白术,木香,肉豆蔻
白术,白芍,薄荷,当归,枳壳
黄连,白术,金银花,玄参,茯苓
山药,白芍,黄连,白术,猪苓
白术,泽泻,茯苓
菊花,山楂
白术,白芍,黄连,阿胶,艾叶
白术,常山,枣仁,黄芩,柴胡
神曲,山药,石斛,香附,半夏
白术,白芍,柴胡,薄荷,贝母
肉桂,山药,白术,茵陈,芡实
肉豆蔻,沉香,诃子,红花,寒水石
肉豆蔻,沉香,诃子,红花,寒水石
盐花,巴戟,硇砂,白蒺藜,黑附子
干姜,神曲,黑附子,肉豆蔻,赤石脂
汉椒,厚朴,青盐,茴香
扁豆,滑石,厚朴,猪苓,姜连
干姜,茱萸,神曲,肉豆蔻,人参
生姜,韭菜,牛奶
神曲,生姜,食糖
杜仲,枇杷叶,谷蘖,白术,槟榔
白术,牡蛎,芍药,官桂,黄耆
白术,柴胡,五味子,木香,枳壳
白术,芍药,柴胡,当归,茯苓
白术,白芍,柴胡,当归,薄荷
狗脊,当归,白术,党参,山药
狗脊,白术,枣仁,当归,山药
白术,橘络,茯神,天南星,炒柏子仁
