珍珠母,牛膝,酒曲,酒曲,赭石
朱砂,琥珀,黄连,天麻,胆南星
钱,土鳖虫,2钱,自然铜,硼砂
朱砂,黄连,黄芩,山栀仁,黄柏
随风子,枇杷叶,谷蘖,大腹子,神曲
天南星,白附子,天麻,干蝎,川姜
茯神,贝母,远志,陈皮,菖蒲
枣仁,远志,人参,枳实,地黄
人参,远志,枣仁,茯神,菖蒲
枣仁,地黄,黄连,远志,茯苓
茯神,远志,厚朴,茯苓,甘草
枣仁,茯神,琥珀,熟地,菖蒲
天南星,白附子,天麻,干蝎,川姜
枣仁,白芍,生地,石斛,茯神
茯神,犀角,远志,麦冬,羚羊角
茯神,破故纸,巴戟,阳起石,鹿茸
肉桂心,生川连
琥珀,香附,茯苓
石灰华,檀香,甘草,红花,榜嘎
石灰华,檀香,甘草,红花,榜嘎
珍珠母,滑石,女贞子,地黄,地骨皮
龙骨,远志,菖蒲,龟甲
茯神,远志,龙齿,车前子,五味子
琥珀,枣仁,芍药,远志,龙骨
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,沉香,郁金
山药,麝香,入先洗猪肚内,大猪肚,研为膏
破故纸,巴戟,金铃子,灵砂,阳起石
辰砂,蝎梢,甘草,真麝香1字,藿香
干百合,蜂蜜
枣仁,茯神,人参,甘草,五味子
金箔,琥珀,人参,枣仁,甘草
枣仁,茯神,茯苓,黄耆,远志
茯神,桔梗,贝母,薄荷,明天麻
食盐,羊心,鲜玫瑰花
茯神,远志,辰砂,桔梗,茯苓
龙齿,枣仁,车前子,远志,茯神
茯神,黄连,黄芩,远志,菖蒲
茯神,韭子,地黄,茱萸,枸杞
甘草,枣仁,夏枯草,珍珠母,钩藤
丹参,甘草,大朱砂,梅花片,真豆粉
珍珠母,栀子,黄芩,金银花,胆酸
枣仁,沉香,丁香,肉豆蔻,木香
菖蒲,芍药,地黄,乌梅肉,人参
人参,茯苓,茯神,枣仁,远志
枣仁,甘草,茯苓,知母,芎藭
枣仁,粳米
枣仁,生地,龙骨,夜交藤,丹参
光明砂,磁石,神曲
辰砂,琥珀,麝香,当归,没药
铁粉,茯苓,蛇黄,天南星,使君子仁
茯神,贝母,远志,菖蒲,辰砂
远志,山药,牛膝,地黄,巴戟天
枣仁,干姜,人参急者用30克,甘草,白术
朱砂,琥珀,天南星
朱砂,远志,琥珀,人参,黄耆
朱砂,琥珀,檀香,藿香,甘草
朱砂,藿香,琥珀,檀香,沉香
阿胶,茯神,枣仁,地黄,黄耆
枣仁,檀香,沉香,石灰华,红花
金箔,天南星,琥珀,羌活,白附子
铁粉,金箔,马牙消,茯神,白附子
远志,巴戟,牛膝,苁蓉,车前子
桔梗,檀香,三,白芷,甘草
枣仁,远志,人参,桔梗,茯苓
茯神,地黄,枣仁,远志,人参
枣仁,桔梗,远志,朱砂,天冬
枣仁,益智仁,茯苓,山药,川芎
枣仁,远志,人参,黄芩,萆薢
葱,乌灵参,姜,酒,盐
朱砂,黄连,栀子,黄芩,郁金
枣仁,丹皮,玄参,柏子仁,丹参
茯神,龙齿,麦门冬,黄芩,甘草
辰砂,琥珀,柴胡,白芍,荆芥
夏枯草,合欢皮,茯神,钩藤,珍珠母
红糖,龙眼肉,小米
小米,鸡蛋
枣仁,小米,蜂蜜
朱砂,人参,茯苓,胆南星,麝
菖蒲,贝母,黄连,西丹参,胆南星
远志,干姜,辰砂,人参,肉苁蓉
