天南星,白附子,真珠末,干蝎,天麻
天竺黄,丹砂,天麻,铅白霜,茯苓
瑇瑁,丹砂,犀角,阿胶,龙脑
白术,贝母,麦门冬,黄连,当归
白术,半夏,姜黄,丁香,生姜
威灵仙,天麻,鹅梨,薄荷,皂荚
半夏,鳖甲,紫团参,甘草,阿胶
半夏,前胡,黄芩,枇杷叶,瓜蒌皮
半夏,广皮,茯苓,甘草,羌活
杏仁,桔梗,麻黄
半夏,昆布,海藻,白芥子,茯苓
半夏,茯苓,甘草,陈皮
半夏,茯苓,甘草,陈皮
半夏,苍术,茯苓,广皮,厚朴
半夏,茯苓,甘草,厚朴,陈皮
半夏,枳实,当归,滑石,茯苓
半夏,茯苓,甘草,陈皮
陈皮,甘草
贝母,石膏,知母
杏仁,款冬花,麦门冬,贝母,百合
贝母,半夏,茯苓,知母,甘草
麦门冬,贝母,天门冬,知母
半夏,桔梗,川朴,僵蚕,茯苓
天竺黄,百部,瓜蒌仁,竹茹,陈皮
贝母,天门冬,麦冬,知母
贝母,知母,南沙参,北沙参,提麦冬
半夏,白僵蚕,天南星,飞过枯矾
黑附子,半夏,白姜,陈皮,草果子
贝母,前胡,黄芩,元参,赤芍
芍药,贝母,苍术,玄参,前胡
芎,半夏,独活,茯苓,天麻
杏仁,防己,木香
半夏,黄连,贝母,茯苓,广皮
白皮大萝卜,蜂蜜
半夏,茯苓,甘草,陈皮
白鲜,枳实,麦门冬,黄芩,茯神
金银花,杏仁,贝母,旋覆花,连翘
白术,黄芪,鱼腥草,猪苓,铁树叶
白芥子,杏仁,瓜蒌皮,半夏,半夏
贝母,竹茹,丹皮,白芍,黄芩
半夏,粉霜,白矾,黑牵牛子
陈皮
乌梅,五味子,薄荷,陈皮,甘草
白檀香末,芽茶,白豆蔻末,片脑
半夏,白术,桔梗,玄明粉,黄芩
半夏,白术,桔梗,玄明粉,黄芩
半夏
沉香,半夏,山楂,檀香,薄荷
半夏,干姜,皂角,天南星,白矾
杏仁,半夏,山楂,葛根,干姜
半夏,白术,枳实,莱菔,黄连
苍术,竹茹,郁金,缩砂,陈皮
杏仁,乌梅,甘草,百药煎,黑矾
丁香,半夏,草豆蔻,白矾
半夏,沉香,枳实,肉桂,砂仁
半夏,硝石,明矾
贝母,海藻,黄药子,白酒
百部,鱼腥草,生干蟾,穿心莲,开金锁
桔梗,白芍,僵蚕,生耆,赤芍
远志,半夏,贝母,桔梗,陈皮
四季青,平地木,鼠曲草,干日红
半夏,枳实,茯苓,竹茹,石膏
天竺黄,黄芩,枳实,钩藤,牡蛎
桔梗,麦门冬,甘草
枳实,贝母,片芩,当归,桔梗
杏仁,黄连,瓜蒌仁
橄榄,萝卜
半夏,白芍,黄连,龙骨,生姜
远志,白术,半夏,五味子,合桃肉
栝蒌实,炮干姜,厚朴,细辛,防风
栝楼,薤白,白酒700毫升
杏仁,山芋,栝楼,甘草
半夏,昆布,牡蛎,海藻,玄参
半夏,龙涎香,陈皮,伽楠香
贝母,白芍,香附,人参,郁金
半夏,白术,当归,白芍,茯苓
黄芪,海藻,玄参,鸡血藤,丹参
白术,半夏,黄耆,茯苓,破故纸
半夏,天南星,乌梅肉,池矾,百药煎
半夏,天南星,白附子,续断,芎
半夏,知母,杏仁,贝母,皂荚
贝母,连翘,蝉蜕,薄荷,薄荷
天竺黄,槟榔,半夏,贝母,大黄
杏仁,海粉,半夏,诃子,栝楼
款冬花,成炼钟乳,肉桂,蛤蚧,甘草
白芥子,半夏,莱菔,生耆,贝母
远志,大黄,犀角屑,栀子,虎睛
半夏,藿香,苍术,茯苓,陈皮
藿香,半夏,厚朴,陈皮,甘草
藿香,半夏,厚朴,陈皮,甘草
半夏,藿香,茯苓,丁香,生姜
半夏,茯苓,枳壳,竹茹,青子芩4
天麻,桔梗,僵蚕,白芷,川芎
半夏,朱砂,雄黄,白矾
京墨,海藻,天南星,琥珀,血竭
胆南星,琥珀,竺黄,冰片,薄荷
半夏,贝母,石膏,百合,茯苓
天竺黄,天南星,枳实,琥珀,茯苓
天南星,枳实,天竺黄,檀香,金箔
天竺黄,天南星,僵蚕,赤苓,朱砂
天南星,天竺黄,枳实,黄蜡,檀香
贝母,天竺黄,飞腰黄,茯苓,琥珀
天竺黄,沉香,腰黄,茯苓,胆南星
天竺黄,真正丹参,雄黄,天南星,茯苓
天竺黄,僵蚕,贝母,白附子,蝉退
远志,天南星,茯苓,大辰砂,人乳
天竺黄,贝母,羚羊角,月石,枣仁
