山药,糯米,胡椒末,白糖
芡实,山药,白术,薏仁,肉豆蔻
白术,茯苓皮,冬葵子,人参,天仙藤
白术,续断,地黄,条芩,麦冬
神曲,麦曲,陈皮,枳壳,三棱
白术,茯苓,干葛,甘草
苍术,陈皮,半夏,厚朴,藿香
砂仁,槟榔,肉豆蔻,术香,丁香
扁豆,芡实,覆盆子,青盐,菟丝子
韭子,巨胜子,锁阳,巴戟,枸杞
山萸,覆盆子,菟丝子,巴戟,山药
鸡汤,赤小豆,辣椒,草果,葱
白术,炮裂,阿胶,黑附子lt,芍药
赤小豆
白术,柴胡,草豆蔻,陈皮,甘草
缩砂仁,桔梗,草果仁,茯苓,生姜
苍术,地榆
苍术,芍药,川椒,茴香,厚朴
苍术,茯芩
苍术,茯苓
苍术
精羊肉,粳米2茎,生姜,肉苁蓉
精羊肉,肉苁蓉
诃子,白术,肉豆蔻,党参,赤石脂
扁豆,山药,苍术,莲子,诃子
白术,肉豆蔻,藿香,生姜,茯苓
使君子
苍术,山药,砂仁,良姜,黑牵牛
海马,仙灵脾,麝香,葫芦巴,蛇床子
白术,茯苓,柴胡,黄芩,猪苓
白术,山楂,茯苓,陈皮,白豆蔻
九肋鳖甲,山楂,薏仁,淡竹叶,茯苓
硇砂,斑猫,荆三棱,川苦楝子,青皮
黄芪,天冬,白术,山药,川芎
白术,山药,陈皮,木香,甘草
白术,菟丝子,续断,茯苓,女贞子
菟丝子,覆盆子,陈皮,党参,阿胶
砂仁,菟丝子,白术,党参,鹿角霜
白术,枸杞,茯苓,陈皮,生地
白术,枸杞,茯苓,陈皮,生地
苍术,桂,山药,檀香,白术
青盐,何首乌,茯苓,大黑豆,甘草
砂仁,山楂,白术,木香,谷芽
苍术,黄芪,白术,升麻,茯苓
苍术,白术,陈皮,茯苓,木通
芡实,山药,苍术,山楂,神曲
陈皮,木香,诃黎勒,白豆蔻,枳壳
小白菜,苡米
芡实,山药,薏仁,白豆蔻,白术
干柿不拘多少
上好片术
白术,绵白糖
白术,生姜,槟榔
白术,橘络,荆芥,茯苓,甘草
白术,茯苓,人参,甘草
白术,牡蛎,川椒,芎藭
白术,茯苓,木香,葛根,人参
白术,陈皮,生姜,茯苓,大腹皮
白术,人参,厚朴,干姜
扁豆,粳米
扁豆,粳米,人参
苍术,莲子,砂仁,川芎,白术
苍术,茯苓,厚朴,广皮,半夏
红豆蔻,草豆蔻,黑附子,陈皮,陈皮
白术,茯苓,陈皮,枳实,宿姜
白术,半夏,天麻
白术,贝母,茯苓,半夏,人参
扁豆,芡实,山药,薏仁,茯苓
扁豆,芡实,山药,白砂糖,米仁
扁豆,芡实,山药,砂仁,使君子
扁豆,山药,茯苓,粳米,莲子
扁豆,芡实,山药,薏仁,莲肉
山萸,灯心,黄连,茯苓,香附
扁豆,山药,薏仁,白术,黄连
玫瑰花,菟丝子,韭子,胡桃仁,破故纸
苍术,茯苓,白术,黄连,陈皮
肉豆蔻,7钱半,1两半,1两半,厚朴
椒子,削术,甘草,白盐
肉豆蔻,红糖,生姜,面粉
白术,草豆蔻,白豆蔻,茯苓,陈皮
白术,白蔻仁,茯苓,木香,厚朴
白术,炙草,神曲,木香,莲子
蜂王浆
橘子,生姜,甘草,盐
芡实,山药,五味子,麦冬,人参
白术,茯苓,川芎,芍药,当归
白术,茯苓,芍药,芎,当归
白术,芎藭,芍药,黄芩,当归
白术,陈皮,茯苓,木香,桑白皮
苍术,陈皮,厚朴,甘草
苍术,陈皮,厚朴,甘草,桑白皮
苍术,陈皮,厚朴,甘草
良姜,羊肉1脚子,草果
白术,糯米,川芎,芍药,茯苓
白术,菟丝子,茯神,枸杞,紫菀
竹叶,陈皮,枣仁
木香,枣仁
山楂,豆蔻,白术,姜连,谷芽
诃子,胡椒,白术,肉豆蔻,厚朴
良姜,丁香,甘草,藿香
扁豆,山药,白术,桂,神曲
谷芽,山楂,白术,黄连,枳实
白术,谷芽,白蔻仁,山楂,黄连
扁豆,冬瓜皮,丹皮,槿皮,干姜皮
扁豆,冬瓜皮,槿皮,丹皮,干姜皮
黄芪,赤小豆,白术,菟丝子,覆盆子
粳米,薏仁,冬麻子
桂圆肉,熟地,升麻,党参,紫河车
白术,麦门冬
桂园肉,党参,绵黄耆,于潜术
白术,生姜,薄荷,茯苓,柴胡
丹皮,山栀
黄芪,山楂,白术,炒麦芽,山药
陈皮,茯苓,甘草,半夏
陈皮,甘草
白术,苍术,茯苓皮,薏仁,牛膝
苍术,白术,茱萸,神曲,广皮
酒白芍,熟地,当归,人参,旱莲草
菟丝子,茯苓,熟地,凤尾草,匾蓄
白术,黑附子,党参,甘草,干姜
柿饼,枣仁,栗子,胡桃
白术,苍术,麻黄,防风
白术,防己,甘草,黄耆
白糖等份,茯苓细粉,米粉
粳米,白糖,茯苓粉,车前子
粳米,枣仁,茯苓粉
粳米,茯苓
鸡肝,茯苓
白术,茯苓
白术,茯苓,桂枝,甘草
白术,茯苓,戎盐
粳米,白糖,茯苓粉,枣仁
扁豆,大麦芽,苍术,车前,白术
苍术,佩兰,茯苓,陈皮,地肤子
白术,天冬,山药,茱萸,茯苓
扁豆,芡实,山药,白术,莲子
神曲,鸡内金,花椒,胡连,大黄
扁豆,芡实,山药,白术,薏仁
使君子,肉豆蔻,黄连,神曲,槟榔
使君子,白术,麦芽,黄连,黄连
扁豆,芡实,胡连,白术,厚朴
白术,麦芽,神曲,肉豆蔻,枳实
扁豆,芡实,山药,神曲,黄连
白术,胡连,炒麦芽,芜荑,生草
神曲,肉豆蔻,黄连,使君子仁,木香
青皮子,山楂,白术,黄连,神曲
山楂,山药,使君子,白术,缩砂仁
生白芍,生黄耆,山萸,枸杞,白术
莱菔,糖球子,黄连,白术,茯苓
苍术,竹茹,陈皮,菖蒲,厚朴
草豆蔻,生姜,半夏,晋州绛矾,丁皮
白术,陈皮,益智仁,黑附子,芍药
巨胜子,蛇床子,山萸,巴戟,枸杞
砂仁,白术,党参,薄荷,茯苓
使君子,砂仁,杜仲炭,牡蛎,绿七爪
木香,高良姜,七叶一枝花,蓍草,肉桂
胎盘粉,麦芽,党参,陈皮,黄耆
黄芪,红参,扶芳藤
扁豆,白术,山药,苍术,薏仁
扁豆,山药,白术,赤苓,苍术
茯苓,太子参,党参,泽泻,五加皮
佛手柑
谷芽,白蔻,橘饼,白术,厚朴
砂仁,鸡肫皮,山楂,锅焦,神曲
麦芽,神曲,陈皮,莪术,三棱
白术,砂仁,神曲,干生姜,木香
白术,神曲,缩砂仁,木香,干生姜
山药,熟地,防风,生地,细辛
苍术,木香,佩兰,陈皮,厚朴
芜荑,旋覆花,真芦荟,百草霜,陈皮
诃子,砂仁,白术,厚朴,生姜
鸡血藤,白术,丹参,茯苓,党参
白术,炒干姜,黑附子,人参,肉桂
白术,附片,党参,甘草,肉桂
苍术,肉豆蔻,陈皮,厚朴,三棱
白术,茯苓,干生姜,拣桂,半夏
白术,肉豆蔻,桂枝,缩砂仁,丁香
黄芪,苍术,白术,柴胡,陈皮
鸡血藤,黄芪,白术,木香,丹参
白术,龙眼肉,木香,茯神,人参
白术,龙眼肉,茯苓,木香,黄耆
白术,黄芪,党参,龙眼肉,茯苓
芡实,山药,白术,熟地,五味子
青皮子,山楂,黄连,白术,菔子
白术,菟丝子,岗稔根,何首乌,白芷
白术,熟地,柴胡,茯苓,甘草
红糖,大蒜,黑豆
马料豆,白蒺藜
苍术,地黄,川姜冬,夏,春
黑丑,木香,炒白芥子,陈皮,茯苓
黄豆,芫荽
黄芪,赤小豆,薏仁,糯米,金橘饼
黄芪,冬瓜皮,茯苓皮,白糖,生姜皮
赤小豆,黄耆,昆布
白术,灶中黄土,黑附子,地黄,阿胶
白术,灶中黄土,黑附子,地黄,阿胶
马钱子,黑附子,穿山甲
麦芽,木香,厚朴,藿香,甘草
白蔻,薏仁,茯苓,杏仁,半夏
