珍珠母,磁石,酒曲,酒曲,赭石
枣仁,小麦,甘草
朱砂,珍珠,琥珀,天竺黄,天麻
辰砂,郁金,丹参,山栀仁,黄芩
琥珀,干蝎,天麻,麝香,雄黄
远志,枣仁,陈皮,瓜蒌,贝母
茯神,当归,川芎,益智,柏子仁
金箔,茯神,远志,枣仁,珍珠
枣仁,人参,茯神,琥珀,辰砂
远志,朱砂,枣仁,当归,茯神
枣仁,辰砂,人参
菖蒲,五味子,安神膏,丹参
菖蒲,珍珠母,地黄,夜交藤,女贞子
远志,人参,莲须,麦冬,石莲肉
茯神,党参,琥珀,远志,枣仁
茯神,远志,朱砂,人参,白附子
茯神,枣仁,远志,党参,酒地
茯神,远志,枣仁,莲须,当归
茯神,远志,菖蒲,陈皮,麦冬
菖蒲,龙齿
朱砂,当归,地黄,甘草,黄连
天竺黄,枣仁,琥珀,珍珠,陈皮
合欢皮,合欢花,桑椹子,女贞子,夜交藤
金箔,朱砂,琥珀,人参,天麻
茯神,当归,菖蒲,全蝎,黄连
茯神,朱砂,枣仁,当归,白术
茯神,麦冬,枣仁,琥珀,珍珠母
朱砂,天冬,知母,麦冬,黄连
茯神,远志,菖蒲,铁粉,山芋
茯神,远志,菖蒲,铁粉,山芋
朱砂,茯神,枣仁,麝香,乳香
辰砂,天南星,白矾,半夏
辰砂,天南星,白矾,半夏
远志,菖蒲,牛膝,人参,黑附子
枣仁,桂枝,人参,铅丹,茯苓
大龟
茯神,远志,牛膝,海狗肾,川芎
枣仁,淮小麦,夜交藤,甘草,百合
朱砂,当归,天麻,神曲,黄土
天竺黄,朱砂,陈皮,钩藤,神曲
粳米,白糖,杏仁,鲜百合
大米,糯米,芡实,莲肉,山药
郁金,白矾
枣仁,朱砂,生龙脑,人参,茯苓
远志,枣仁,川芎,当归,人参
远志,朱砂,枣仁,党参,川芎
茯神,当归,菖蒲,柏子仁,元参
粳米,柏子仁,蜂蜜
粳米,柏子仁,蜂蜜
党参,枣仁,半夏,柏子仁,白术
鹿角霜,柏子仁,鹿角胶,地黄,菟丝子
铅,水银
朱砂,黄丹,白矾,半夏
茯神,远志,菖蒲,人参,白术
大米,枣仁,扁豆,薏仁,山药
枣仁,天竺黄,檀香,紫檀香,肉豆蔻
枣仁,天竺黄,檀香,紫檀香,肉豆蔻
枣仁,石灰华,诃子,木棉花,肉豆蔻
枣仁,石灰华,诃子,木棉花,肉豆蔻
朱砂,人中黄,赤石脂,磁石,禹余粮
朱砂,胆南星,神曲,巴豆
金箔,腻粉
茯神,天竺黄,琥珀,珍珠,远志
远志,天竺黄,珍珠,琥珀,钩藤
枣仁,覆盆子,柏子仁,巴戟,牛膝
琥珀,辰砂,蝉退,麝香,天麻
茯神,朱砂,琥珀,犀角,人参
琥珀,珍珠,龙涎香,马宝,丹参
檀香,雄黄,牵牛,赤小豆,鹤虱
远志,牛膝,覆盆子,菖蒲,巴戟
茯神,丹皮,生地,原麦冬,益元散
茯神,龙齿,陈皮,当归,人参
茯神,远志,川芎,当归,枣仁
茯神,朱砂,远志,人参,菖蒲
远志,人参,枣仁,茯神,五味子
枣仁,茯神,粟米
枣仁,辰砂,大赭石,木香,白术
金箔,枣仁,木香,大赭石,辰砂
人参,地黄,甘草,当归,芍药
陈曲,肉苁蓉,地黄,枸杞,桂
朱砂,天竺黄,生龙脑,人参,天麻
远志,茯神,天竺黄,琥珀,菖蒲
菖蒲,五味子,黄连,知母,贝母
丹参,米酒
菖蒲,辰砂,灵磁石,琥珀末,半夏
枣仁,麦冬,生地,木通,茯苓
远志,覆盆子,白酒,菖蒲,柏子仁
石灰华,珍珠,麝香等药味加工制成的丸剂,丹参,草果
茯神,远志,菖蒲,人参,地黄
桂枝,赤石脂,紫石英,寒水石,甘草
茯神,远志,细辛,人参,枣仁
