珍珠母,牛膝,酒曲,赭石,酒曲
朱砂,黄柏,雄黄,黄芩,减半
薏仁,沉香,杜仲,谷蘖,大腹子
川姜,天麻,半夏,白僵蚕,川乌
茯神,麦冬,代赭石,陈皮,菖蒲
枣仁,远志,茯苓,人参,陈皮
茯神,人参,枣仁,菖蒲,远志
人参,朱砂,枣仁,远志,菖蒲
茯神,紫苏,厚朴,远志,茯苓
茯神,菖蒲,枣仁,琥珀,肉苁蓉
川姜,天麻,半夏,白僵蚕,川乌
麦冬,茯神,石斛,枣仁,白芍
麦冬,茯神,犀角,远志,羚羊角
茯神,巴戟,杜仲,肉桂,黑附子
生川连,肉桂心
茯苓,琥珀,香附
檀香,石灰华,甘草,高山辣根菜,红花
檀香,石灰华,甘草,高山辣根菜,红花
珍珠母,滑石,地骨皮,五味子,菟丝子
远志,菖蒲,龟甲,龙骨
茯神,茯苓,远志,桂心,地骨皮
桂枝,枣仁,琥珀,远志,菖蒲
枣仁,粳米,龙眼肉
粳米,红糖,莲子粉
茯神,沉香,姜皮,琥珀,郁金
杜仲,沉香,石斛,蜜,槐角子
巴戟,沉香,黑附子,肉桂,鹿茸
辰砂,藿香,真麝香1字,蝎梢,人参
干百合,蜂蜜
茯神,枣仁,五味子,陈皮,人参
金箔,茯神,枣仁,麝香,生地
陈皮,茯神,枣仁,茯苓,远志
茯神,枳壳,陈皮,薄荷,贝母
鲜玫瑰花,羊心,食盐
远志,茯神,茯苓,麝香,人参
茯神,肉桂,枣仁,茯苓,车前子
茯神,麦冬,丹参,丹参,黄芩
茯神,芡实,龙骨,紫石英,枸杞
珍珠母,枣仁,钩藤,夏枯草,甘草
大朱砂,丹参,真豆粉,梅花片,甘草
珍珠母,金银花,栀子,胆酸,板蓝根
沉香,枣仁,木香,枫香脂,丁香
菖蒲,人参,芍药,当归,乌梅肉
茯神,人参,枣仁,茯苓,益智
枣仁,茯苓,甘草,知母,芎藭
枣仁,粳米
枣仁,炒柏子仁,夜交藤,丹参,龙骨
光明砂,神曲,磁石
琥珀,辰砂,木香,没药,当归
铁粉,使君子仁,蛇黄,茯苓,天南星
茯神,麦冬,陈皮,连翘,菖蒲
远志,山萸,白酒,肉苁蓉,杜仲
枣仁,人参急者用30克,白术,山药,干姜
天南星,朱砂,琥珀
远志,朱砂,肉桂,琥珀,白芍
檀香,朱砂,天麻,琥珀,诃子
檀香,天麻,朱砂,琥珀,冰片
茯神,肉桂,枣仁,远志,阿胶
檀香,枣仁,石灰华,木香,木藤蓼
金箔,琥珀,真铁粉,天南星,枯矾
金箔,升麻,茯神,银箔,麝香
巴戟,远志,车前子,菟丝子,苁蓉
檀香,白芷,三,川芎,桔梗
枣仁,远志,人参,茯苓,玄参
茯神,枣仁,人参,菖蒲,远志
麦冬,枣仁,甘草,远志,菖蒲
枣仁,党参,山萸,茯苓,川芎
枣仁,远志,人参,茯苓,黄芩
葱,酒,姜,盐,乌灵参
朱砂,丹参,栀子,黄芩,郁金
枣仁,丹参,玄参,莲子心,丹皮
茯神,黄芩,人参,龙齿,甘草
辰砂,琥珀,柴胡,党参,枸杞
茯神,珍珠母,夏枯草,钩藤,合欢皮
龙眼肉,红糖,小米
鸡蛋,小米
枣仁,蜂蜜,小米
朱砂,人参,胆南星,茯苓,脑
菖蒲,西丹参,飞朱砂,煅青礞石,黄连
远志,辰砂,茯苓,人参,牡蛎
茯神,木香,枣仁,白芍,人参
朱砂,茯苓,钩藤,白术,人参
枣仁,远志,茯苓,人参,胆南星
葱,白糖,生姜,香油,食盐
枣仁,浮小麦,甘草,合欢皮,何首乌
粳米,夜交藤,枣仁,白糖
茯苓X克,远志,白术,人参,当归
麦冬,甘杞子,薏仁,枣仁,木香
茯神,枣仁,陈皮,柴胡,枳壳
茯神,枣仁,熟地,柏子仁,龙齿
黄金,沉香,丁子香,升麻,玄参
朱砂,肉苁蓉,人参,龙骨,麝香
枣仁,茯神,人参,远志,当归
