半夏,麻黄,五味子,阿胶,苦梗
天南星,半夏,藿香,白蛤粉,干姜
藿香,天南星,半夏,寒水石,干姜
半夏,巴豆,马兜铃,杏仁
贝母,麦冬,杏仁,旋复花,白蒺藜
天南星,龙脑,丹砂,真珠末,白附子
天竺黄,天麻,龙脑,丹参,丹砂
真珠,瑇瑁,龙脑,丹砂,麝香
贝母,五味子,菖蒲,当归,黄连
丁香,半夏,姜黄,白术,生姜
天麻,皂荚,白蒺藜,鹅梨,威灵仙
半夏,鳖甲,甘草,阿胶,紫团参
贝母,白前,半夏,葶苈,麻黄
半夏,甘草,防风,广皮,羌活
杏仁,麻黄,桔梗
半夏,海藻,甘草,昆布,陈皮
半夏,甘草,茯苓,陈皮
半夏,甘草,茯苓,陈皮
半夏,厚朴,苍术,广皮,甘草
半夏,苏梗,厚朴,甘草,陈皮
半夏,当归,香附,滑石,川芎
二陈汤加炒山栀,生姜,黄连
半夏,甘草,茯苓,陈皮
贝母,知母,石膏
贝母,紫菀,杏仁,百合,罂粟壳
贝母,半夏,知母,陈皮,茯苓
贝母,天门冬,知母,麦门冬
天南星,苏梗,菖蒲,半夏,桔梗
竹茹,麦冬,天冬,百部,天竺黄
贝母,麦冬,天门冬,知母
贝母,知母,南沙参,提麦冬,北沙参
天南星,半夏,白僵蚕,飞过枯矾
半夏,草果子,黑附子,厚朴,陈皮
贝母,元参,赤芍,黄芩,桔梗
贝母,芍药,黄芩,苍术,桔梗
半夏,天麻,芎,独活,茯苓
杏仁,木香,防己
贝母,半夏,天冬,蛤粉,南沙参
白皮大萝卜,蜂蜜
半夏,甘草,茯苓,陈皮
白鲜,黄芩,茯神,龙齿,枳实
山芋,芍药,地黄,五味子,桔梗
贝母,金银花,葶苈,杏仁,薏仁
黄芪,猪苓,鱼腥草,党参,薏仁
贝母,贝母,苏子,半夏,半夏
贝母,竹茹,石斛,麦冬,黄芩
半夏,黑牵牛子,白矾,粉霜
陈皮
五味子,甘草,硼砂,薄荷,陈皮
白豆蔻末,片脑,芽茶,白檀香末
贝母,半夏,神曲,黄芩,玄明粉
贝母,半夏,神曲,黄芩,玄明粉
半夏
半夏,檀香,五味子,细茶,沉香
天南星,干姜,皂角,半夏,白矾
天南星,半夏,皂角,葛根,干姜
莱菔,半夏,天南星,甘草,黄芩
菖蒲,厚朴,竹茹,缩砂,苍术
杏仁,甘草,黑矾,乌梅,百药煎
半夏,草豆蔻,丁香,白矾
半夏,丁香,肉桂,五味子,砂仁
半夏,明矾,硝石
贝母,白酒,海藻,黄药子
穿心莲,百部,鱼腥草,生干蟾,开金锁
钩藤,桔梗,全蝎,丹参,蜈蚣
贝母,远志,五味子,半夏,陈皮
干日红,四季青,平地木,鼠曲草
枣仁,半夏,竹茹,龙眼肉,茯苓
钩藤,牡蛎,生石决明,天竺黄,丹皮
桔梗,甘草,麦门冬
贝母,砂仁,当归,木香,枳实
杏仁,黄连,瓜蒌仁
橄榄,萝卜
半夏,枣仁,龙骨,生姜,杏仁
半夏,熟附块,五味子,远志,破故纸
栝蒌实,厚朴,炮干姜,防风,桔梗
栝楼,薤白,白酒700毫升
栝楼,杏仁,山芋,甘草
半夏,莪术,昆布,海藻,三棱
半夏,龙涎香,陈皮,伽楠香
贝母,白芍,香附,郁金,人参
半夏,当归,白芍,人参,茯苓
玄参,海藻,黄芪,丹参,黄精
黄耆,半夏,防风,破故纸,茯苓
天南星,五味子,猪牙皂角,半夏,明矾
天南星,续断,芎,半夏,香墨
贝母,皂荚,半夏,知母,杏仁
泽泻,天南星,半夏,黄芩,黄芩
贝母,胖大海,连翘,蝉蜕,大黄
贝母,半夏,天竺黄,大黄,白芥子
半夏,栝楼,海粉,杏仁,青黛
肉桂,款冬花,成炼钟乳,甘草,蛤蚧
莱菔,天冬,半夏,贝母,杏仁
虎睛,远志,犀角屑,大黄,栀子
藿香,半夏,苍术,厚朴,茯苓
藿香,半夏,厚朴,甘草,陈皮
藿香,半夏,厚朴,甘草,陈皮
半夏,藿香,丁香,生姜,陈皮
半夏,竹茹,陈广皮,青蒿脑4,枳壳
麻黄,天麻,全蝎,桔梗,苏木
半夏,雄黄,朱砂,白矾
天南星,琥珀,海藻,麝香,木香
地龙,琥珀,钩藤,薄荷,雄黄
贝母,半夏,天冬,百合,血琥珀
天南星,琥珀,檀香,山药,朱砂
天南星,山药,檀香,金箔,天竺黄
天南星,琥珀,丹参,全蝎,雄黄
天南星,琥珀,丹参,檀香,金箔
贝母,琥珀,全蝎,胆南星,麝香
琥珀,天竺黄,胆南星,腰黄,月石
天南星,琥珀,雄黄,钩藤,天竺黄
琥珀,贝母,丹参,全蝎,钩藤
天南星,远志,菖蒲,人参,茯神
贝母,枣仁,麝香,月石,青礞石
贝母,枣仁,沉香,麝香,天竹黄
粉草,黄耆,麝香3厘,桔梗,甘松
神曲,海粉,黄芩,青黛
荸荠,海蜇皮
海蜇,荸荠
贝母,昆布,半夏,当归,连翘
昆布,海藻,柴胡,小麦,龙胆草
香附,海石
海石,莪术,香附,三棱,蚶壳
三七,透骨草,烧酒,马前子,老葱胡
半夏,当归,昆布,肉桂,熟地
半夏,当归,地黄,白芍,甘草
贝母,当归,麦冬,黄芩,丹皮
蝎子,天竺黄,白附子,何首乌,天麻
杏仁,麻黄,葶苈,蛤蚧,桑白皮
槐实,木香,芎,菊花,皂荚
黄酒,核桃肉,山慈菇
麻黄,熟地,白芥子,三棱,全丝瓜
天南星,荆芥,天竺黄,白附子,葛根
梓朴,茴香,益智仁,黑附子,干姜
